Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2020-10-13T18:02:43Z,39.000973,-74.913818,17,1.01,1.60,1.90,3,11,118
2020-10-14T18:42:04Z,39.000931,-74.913834,16,1.00,1.57,1.86,3,10,90
2020-10-14T20:44:07Z,39.000950,-74.913788,18,1.06,1.64,1.95,3,10,90
2020-10-14T22:46:10Z,39.000984,-74.913879,6,1.02,1.34,1.68,3,10,96
2020-10-15T00:47:43Z,39.000904,-74.913712,21,0.80,1.36,1.58,3,12,101
2020-10-15T02:50:11Z,39.000900,-74.913788,6,0.89,1.76,2.10,3,11,94
2020-10-15T04:51:34Z,39.000946,-74.913841,5,0.99,1.55,1.84,3,10,100
2020-10-15T06:53:47Z,39.000942,-74.913818,2,1.17,2.16,2.46,3,10,97
2020-10-15T08:56:08Z,39.000889,-74.913803,13,1.11,1.91,2.21,3,10,90
2020-10-15T10:58:07Z,39.000996,-74.913765,-13,1.52,2.52,2.95,3,10,94
2020-10-15T12:59:23Z,39.000946,-74.913841,10,1.24,2.18,2.50,3,10,93
2020-10-15T15:02:51Z,39.001019,-74.913742,15,1.61,2.27,2.79,3,8,136
2020-10-15T17:04:45Z,39.000896,-74.913879,12,0.80,1.15,1.41,3,11,91
2020-10-15T19:06:22Z,39.000992,-74.913750,3,1.19,1.93,2.27,3,8,115
2020-10-15T21:09:03Z,39.000931,-74.913849,9,1.77,3.31,3.75,3,9,102
2020-10-15T23:11:57Z,39.000938,-74.913834,16,0.85,1.39,1.71,3,12,109
2020-10-16T01:14:27Z,39.000961,-74.913887,13,1.08,1.20,1.62,3,9,107
2020-10-16T03:16:21Z,39.000942,-74.913811,-5,1.72,1.75,2.46,3,7,103
2020-10-16T05:18:42Z,39.000950,-74.913818,8,1.01,1.54,1.84,3,9,98
2020-10-16T07:20:57Z,39.000980,-74.913879,0,1.57,2.22,2.72,3,8,113
2020-10-16T09:23:16Z,39.000938,-74.913803,17,1.81,2.48,3.07,3,6,101
2020-10-16T11:25:27Z,39.000942,-74.913795,8,0.97,1.34,1.66,3,9,91
2020-10-16T13:27:45Z,39.001007,-74.913818,13,1.62,2.25,2.77,3,9,90
2020-10-16T15:29:25Z,39.000900,-74.913765,12,1.36,2.25,2.64,3,10,90
2021-04-22T13:51:03Z,28.553305,-80.890739,0,0.68,1.12,1.32,3,12,90
2021-07-06T14:20:35Z,28.565491,-80.894180,-7,1.81,2.47,3.06,3,8,90
2021-07-06T16:22:17Z,28.563787,-80.894173,8,0.70,1.11,1.32,3,12,90
2021-07-06T18:23:59Z,28.563824,-80.894211,1,0.67,1.34,1.50,3,12,90
2021-07-06T20:25:41Z,28.563822,-80.894180,3,0.81,1.19,1.44,3,12,90
2021-07-06T22:27:22Z,28.563801,-80.894188,2,0.69,1.08,1.29,3,12,90
2021-07-07T00:28:59Z,28.563816,-80.894180,5,0.82,1.09,1.36,3,12,90
2021-07-07T02:30:37Z,28.563822,-80.894188,4,0.67,1.20,1.38,3,12,90
2021-07-07T04:32:14Z,28.563801,-80.894196,8,0.82,1.35,1.58,3,12,90
2021-07-07T06:33:51Z,28.563820,-80.894196,2,0.78,1.11,1.36,3,12,90
2021-07-07T08:35:33Z,28.563828,-80.894218,-4,0.62,0.97,1.14,3,12,90
2021-07-07T10:37:15Z,28.563812,-80.894203,8,0.69,1.23,1.41,3,12,90
2021-07-07T12:38:55Z,28.563814,-80.894180,3,0.70,0.93,1.15,3,12,90
2021-07-07T14:40:37Z,28.563803,-80.894165,6,0.74,0.97,1.23,3,12,90
2021-07-07T16:42:19Z,28.563795,-80.894218,2,0.68,1.20,1.38,3,12,90
2021-07-07T18:43:59Z,28.563829,-80.894203,4,0.69,1.00,1.21,3,12,90
2021-07-07T20:45:41Z,28.563803,-80.894188,4,0.93,1.24,1.55,3,11,90
2021-07-07T22:47:23Z,28.563808,-80.894188,5,0.78,1.26,1.48,3,12,90
2021-07-08T00:49:04Z,28.563810,-80.894173,8,0.73,1.05,1.28,3,12,91
2021-07-08T02:50:41Z,28.563808,-80.894203,6,0.72,1.19,1.39,3,12,90
2021-07-08T04:52:22Z,28.563810,-80.894196,0,0.74,1.14,1.37,3,12,90
2021-07-08T06:54:01Z,28.563824,-80.894196,1,0.79,1.24,1.47,3,12,90
2021-07-08T08:55:43Z,28.563822,-80.894218,4,0.80,1.06,1.33,3,12,90
2021-07-08T10:57:25Z,28.563845,-80.894173,2,0.61,0.99,1.15,3,12,90
2021-07-08T12:59:07Z,28.563799,-80.894180,4,0.75,0.99,1.25,3,12,90
2021-07-08T15:00:45Z,28.563421,-80.893883,3,0.72,1.04,1.27,3,12,90
2021-07-08T17:02:27Z,28.563469,-80.893913,2,0.61,1.06,1.23,3,12,90
2021-07-08T19:04:09Z,28.563442,-80.893906,3,0.70,0.94,1.18,3,12,90
