Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2020-10-13T15:27:05Z,39.000950,-74.913826,8,1.04,1.21,1.59,3,9,93
2020-10-13T17:28:43Z,39.000977,-74.913811,13,1.27,1.80,2.20,3,7,97
2020-10-14T18:41:48Z,39.000923,-74.913902,19,2.37,3.93,4.59,3,6,124
2020-10-14T20:43:29Z,39.000862,-74.913902,-11,1.26,1.70,2.12,3,8,97
2020-10-14T22:45:44Z,39.000999,-74.913818,9,1.05,1.11,1.54,3,9,90
2020-10-15T00:47:11Z,39.000927,-74.913773,21,1.04,1.63,1.94,3,8,93
2020-10-15T02:49:58Z,39.000908,-74.913795,-2,1.05,1.68,1.98,3,9,95
2020-10-15T04:51:34Z,39.000977,-74.913795,15,1.07,1.66,1.97,3,9,94
2020-10-15T06:53:55Z,39.000961,-74.913788,24,0.99,1.68,2.04,3,12,90
2020-10-15T08:55:35Z,39.000862,-74.913773,16,0.86,1.24,1.51,3,12,90
2020-10-15T10:57:31Z,39.000854,-74.913841,-10,1.22,1.92,2.33,3,7,92
2020-10-15T12:59:19Z,39.000912,-74.913780,16,0.91,3.70,4.38,1,10,99
2020-10-15T15:01:16Z,39.000992,-74.913795,9,1.05,2.91,3.32,3,10,90
2020-10-15T16:30:14Z,39.000935,-74.913788,21,1.33,1.70,2.16,3,9,90
2020-10-15T18:31:31Z,39.000908,-74.913795,11,1.06,1.30,1.68,3,10,112
2020-10-15T20:33:43Z,39.001049,-74.913734,17,1.54,2.65,3.07,3,10,117
2020-10-15T22:36:07Z,39.001022,-74.913818,15,0.98,1.20,1.55,3,8,111
2020-10-16T00:38:35Z,39.000946,-74.913757,11,1.09,1.73,2.04,3,8,114
2020-10-16T02:40:49Z,39.000896,-74.913773,17,1.24,2.59,2.88,3,7,104
2020-10-16T04:43:37Z,39.000965,-74.913872,7,0.84,1.46,1.74,3,12,114
2020-10-16T06:45:16Z,39.000927,-74.913834,-6,1.37,2.48,2.84,3,8,98
2020-10-16T08:47:42Z,39.000896,-74.913788,11,1.03,1.69,1.98,3,10,114
2020-10-16T10:50:14Z,39.000927,-74.913795,6,1.02,1.45,1.77,3,10,110
2020-10-16T12:52:34Z,39.000992,-74.913834,14,1.22,1.94,2.29,3,8,90
2020-10-16T14:54:49Z,39.000938,-74.913849,12,1.02,1.42,1.78,3,9,91
2020-10-16T16:57:07Z,39.000923,-74.913864,5,1.06,2.73,3.29,3,10,108
2020-10-16T18:58:22Z,39.000969,-74.913910,11,2.46,3.27,4.09,3,7,114
2020-10-17T11:05:36Z,39.000969,-74.913780,12,0.71,0.97,1.18,3,12,109
2020-10-17T13:07:05Z,39.000957,-74.913780,13,0.76,0.97,1.23,3,12,116
2020-10-17T15:10:22Z,39.000927,-74.913803,4,1.31,1.90,2.31,3,7,112
2020-10-17T17:11:29Z,39.000973,-74.913834,7,1.43,2.54,2.92,3,7,105
2020-10-17T19:13:30Z,39.000950,-74.913811,11,1.51,1.54,2.16,3,9,103
2020-10-17T21:15:22Z,39.000931,-74.913818,13,0.93,1.42,1.69,3,11,101
2020-10-17T23:18:23Z,39.000988,-74.913849,9,1.00,1.44,1.80,3,11,107
2020-10-18T01:19:49Z,39.000935,-74.913780,10,0.79,1.17,1.41,3,12,114
2020-10-18T03:22:08Z,39.000927,-74.913727,8,0.96,1.50,1.78,3,10,110
2020-10-18T05:24:46Z,39.000916,-74.913788,14,1.12,3.53,3.86,3,11,101
2020-10-18T07:26:04Z,39.000885,-74.913742,22,0.98,1.62,1.90,3,10,108
2020-10-18T09:28:36Z,39.000942,-74.913773,18,0.92,1.40,1.67,3,11,115
2020-10-18T11:31:22Z,39.001007,-74.913742,16,1.04,2.66,3.02,3,11,112
2020-10-18T13:33:37Z,39.000950,-74.913887,12,0.96,3.70,6.00,1,10,102
2020-10-18T15:35:33Z,39.001007,-74.913795,18,1.21,1.63,2.02,3,8,111
2020-10-18T17:38:18Z,39.000954,-74.913803,19,1.05,1.88,2.31,3,12,105
2020-10-18T19:39:59Z,39.000999,-74.913788,9,1.46,1.60,2.16,3,8,110
2020-10-18T21:43:30Z,39.000946,-74.913811,13,0.70,1.18,1.57,3,12,114
2020-10-18T23:44:55Z,39.000935,-74.913811,16,1.13,1.76,2.10,3,9,105
2020-10-19T01:48:06Z,39.000954,-74.913765,13,0.77,2.37,2.98,3,12,104
