Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-03-08T22:38:35Z,39.000908,-74.913841,12,1.41,0.98,1.72,3,6,98
2022-03-14T15:02:30Z,39.000996,-74.913780,15,0.89,0.85,1.23,3,11,91
2022-03-14T17:04:31Z,39.001102,-74.913818,15,0.78,0.83,1.13,3,12,90
2022-03-14T19:06:25Z,39.000935,-74.913818,18,1.09,0.83,1.37,3,9,90
2022-03-14T21:08:20Z,39.000923,-74.913750,28,1.12,0.83,1.40,3,9,90
2022-03-14T23:10:38Z,39.000942,-74.913933,-15,0.84,0.90,1.41,3,11,103
2022-03-15T01:12:52Z,39.000912,-74.913864,0,1.00,0.88,1.33,3,9,125
2022-03-15T03:15:43Z,39.001003,-74.913879,17,1.22,0.81,1.38,3,9,90
2022-03-15T05:17:50Z,39.000904,-74.913788,14,0.82,0.74,1.10,3,13,90
2022-03-15T07:19:52Z,39.000942,-74.913742,11,0.97,0.84,1.28,3,11,90
2022-03-15T09:21:46Z,39.000935,-74.913788,14,0.84,0.80,1.15,3,12,90
2022-03-15T11:23:27Z,39.000973,-74.913803,3,0.87,0.75,1.14,3,10,90
2022-03-15T13:25:47Z,39.000954,-74.913811,17,1.21,0.95,1.63,3,9,123
2080-01-05T23:59:43Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,5
2023-05-12T17:45:35Z,31.255728,-81.280045,11,0.73,0.69,1.00,3,13,90
2023-05-12T19:47:14Z,31.255690,-81.280052,15,0.64,1.18,1.34,3,16,90
2023-05-12T21:48:52Z,31.255714,-81.280060,14,0.74,1.10,1.32,3,13,90
2023-05-12T23:50:31Z,31.255707,-81.280037,6,0.73,1.04,1.36,3,14,90
2023-05-13T01:52:09Z,31.255682,-81.280067,7,0.62,0.88,1.08,3,17,90
2023-05-13T03:53:52Z,31.255646,-81.280067,0,0.62,1.11,1.28,3,16,90
2023-05-13T05:55:32Z,31.255713,-81.280052,5,0.63,0.89,1.09,3,17,90
2023-05-13T07:57:11Z,31.255697,-81.280037,2,0.80,1.08,1.34,3,14,90
2023-05-13T09:58:50Z,31.255676,-81.280014,8,0.64,1.02,1.21,3,16,91
2023-05-13T12:00:33Z,31.255697,-81.280037,-3,0.68,1.17,1.36,3,14,90
2023-05-13T14:02:12Z,31.255686,-81.280060,8,0.73,1.03,1.26,3,15,90
2023-05-13T16:03:50Z,31.255690,-81.280060,4,0.72,1.10,1.35,3,14,90
2023-05-13T18:05:33Z,31.255707,-81.280052,2,0.69,1.15,1.35,3,14,90
2023-05-13T20:07:13Z,31.255667,-81.280067,-1,0.81,1.30,1.53,3,13,90
2023-05-13T22:08:52Z,31.255676,-81.280052,14,0.70,1.05,1.26,3,15,90
2023-05-14T00:10:31Z,31.255707,-81.280045,15,0.73,1.11,1.33,3,15,90
2023-05-14T02:12:10Z,31.255690,-81.280029,14,1.10,0.86,1.39,3,10,90
2023-05-14T04:13:49Z,31.255667,-81.280060,3,0.63,1.00,1.18,3,16,90
2023-05-14T06:15:29Z,31.255699,-81.280067,14,0.70,1.02,1.23,3,16,90
2023-05-14T08:17:08Z,31.255676,-81.280029,4,0.80,1.18,1.43,3,14,90
2023-05-14T10:18:47Z,31.255697,-81.280029,5,0.70,1.10,1.30,3,14,90
2023-05-14T12:20:28Z,31.255684,-81.280037,1,0.76,1.47,1.65,3,11,90
2023-05-14T14:22:06Z,31.255688,-81.280045,1,0.80,1.11,1.38,3,14,90
2023-05-14T16:23:44Z,31.255703,-81.280037,13,0.73,0.96,1.21,3,14,90
2023-05-14T18:25:23Z,31.255688,-81.280052,0,0.69,1.08,1.25,3,15,90
2023-05-14T20:27:02Z,31.255669,-81.280029,9,0.64,0.99,1.18,3,16,90
2023-05-14T22:28:43Z,31.255720,-81.280037,8,0.73,1.06,1.29,3,15,90
2023-05-15T00:30:21Z,31.255705,-81.280037,15,0.84,1.42,1.65,3,14,90
2023-05-15T02:32:01Z,31.255690,-81.280029,5,0.77,1.21,1.44,3,12,90
2023-05-15T04:33:42Z,31.255676,-81.280037,6,0.59,0.89,1.07,3,18,91
2023-05-15T06:35:22Z,31.255718,-81.280037,9,0.73,1.02,1.25,3,14,90
2023-05-15T08:37:00Z,31.255667,-81.280006,1,0.90,0.71,1.13,3,11,90
2023-05-15T10:38:38Z,31.255682,-81.280045,6,0.72,1.02,1.25,3,14,90
2023-05-15T12:40:17Z,31.255699,-81.280014,4,0.64,1.11,1.28,3,15,90
2023-05-15T14:41:57Z,31.255686,-81.280037,1,0.75,0.90,1.17,3,15,90
2023-05-15T16:43:36Z,31.255718,-81.280045,13,0.79,1.04,1.31,3,12,90
2023-05-15T18:45:17Z,31.255657,-81.279991,12,0.63,1.15,1.33,3,16,90
2023-05-15T20:46:57Z,31.255714,-81.280052,12,0.79,1.12,1.38,3,13,90
2023-05-15T22:48:35Z,31.255701,-81.280045,6,0.95,0.81,1.25,3,11,90
2023-05-16T00:50:15Z,31.255703,-81.280014,7,0.81,1.11,1.37,3,12,90
2023-05-16T02:51:55Z,31.255682,-81.280022,4,0.67,1.06,1.26,3,15,90
2023-05-16T04:53:42Z,31.255690,-81.280060,6,0.75,1.26,1.47,3,14,90
2023-05-16T06:55:23Z,31.255695,-81.280014,10,0.81,1.10,1.36,3,13,90
2023-05-16T08:57:03Z,31.255716,-81.280029,5,0.78,1.18,1.42,3,12,90
2023-05-16T10:58:43Z,31.255686,-81.280045,6,0.91,1.37,1.61,3,12,90
2023-05-16T13:00:22Z,31.255676,-81.280014,9,0.64,0.91,1.11,3,16,90
2023-05-16T15:02:00Z,31.255705,-81.280060,3,0.84,1.32,1.56,3,13,90
2023-05-16T17:03:40Z,31.255713,-81.279991,15,0.84,1.21,1.48,3,12,91
2023-05-16T19:05:19Z,31.255707,-81.280037,11,0.63,1.05,1.23,3,16,90
2023-05-16T21:07:00Z,31.255701,-81.280022,12,0.61,0.81,1.01,3,17,90
2023-05-16T23:08:42Z,31.255672,-81.280006,8,1.22,0.82,1.47,3,9,90
2023-05-17T01:10:21Z,31.255707,-81.280045,6,0.80,1.00,1.28,3,12,90
2023-05-17T03:12:01Z,31.255672,-81.280045,9,0.60,0.95,1.11,3,17,90
2023-05-17T05:13:40Z,31.255682,-81.280083,10,0.68,1.06,1.27,3,15,90
2023-05-17T07:15:20Z,31.255753,-81.280075,3,0.77,0.98,1.25,3,13,90
2023-05-17T09:17:00Z,31.255676,-81.280022,13,0.72,1.00,1.24,3,14,90
2023-05-17T11:18:39Z,31.255661,-81.280045,-1,0.61,0.91,1.09,3,17,90
2023-05-17T13:20:18Z,31.255686,-81.280029,7,0.71,1.03,1.25,3,15,90
2023-05-17T15:21:57Z,31.255692,-81.280029,12,0.88,1.43,1.68,3,13,90
2023-05-17T17:23:37Z,31.255682,-81.280006,0,0.74,1.00,1.25,3,13,91
2023-05-17T19:25:19Z,31.255684,-81.280037,3,0.67,1.28,1.44,3,15,90
2023-05-17T21:27:02Z,31.255703,-81.280045,6,0.81,1.11,1.37,3,11,90
2023-05-17T23:28:40Z,31.255711,-81.280045,9,0.84,1.10,1.38,3,12,90
2023-05-18T01:30:19Z,31.255711,-81.280052,6,0.61,0.83,1.03,3,17,90
2023-05-18T03:31:59Z,31.255682,-81.280052,9,0.64,1.09,1.26,3,16,90
2023-05-18T05:33:39Z,31.255705,-81.280075,6,0.56,0.79,0.98,3,19,90
2023-05-18T07:35:22Z,31.255720,-81.280006,9,0.92,1.17,1.49,3,13,90
2023-05-18T09:37:00Z,31.255695,-81.280037,7,0.62,0.97,1.14,3,17,90
2023-05-18T11:38:39Z,31.255701,-81.280037,4,0.66,1.20,1.37,3,15,90
2023-05-18T13:40:17Z,31.255686,-81.280022,6,0.71,0.99,1.22,3,15,90
2023-05-18T15:41:56Z,31.255707,-81.280045,9,0.76,1.05,1.30,3,14,91
2023-05-18T17:43:35Z,31.255730,-81.280022,10,0.68,1.15,1.35,3,14,90
2023-05-18T19:45:18Z,31.255686,-81.280029,7,0.69,1.11,1.31,3,14,90
2023-05-18T21:47:01Z,31.255674,-81.280029,13,0.75,1.22,1.43,3,12,90
2023-05-18T23:48:39Z,31.255726,-81.280083,4,0.91,0.77,1.19,3,11,90
2023-05-19T01:50:18Z,31.255716,-81.280083,10,0.80,1.31,1.53,3,13,90
2023-05-19T03:51:57Z,31.255665,-81.280045,9,0.60,1.03,1.19,3,17,90
2023-05-19T05:53:39Z,31.255703,-81.280029,10,0.77,0.93,1.20,3,14,90
2023-05-19T07:55:19Z,31.255667,-81.280029,1,0.72,1.03,1.25,3,15,91
2023-05-19T09:56:58Z,31.255682,-81.280022,2,0.64,1.13,1.31,3,16,90
2023-05-19T11:58:40Z,31.255680,-81.280006,13,0.63,1.25,1.40,3,16,90
2023-05-19T14:00:19Z,31.255655,-81.280052,6,0.84,1.17,1.44,3,14,90
2023-05-19T16:01:59Z,31.255730,-81.280029,13,0.81,1.18,1.43,3,12,90
2023-05-19T18:03:38Z,31.255693,-81.280022,6,0.64,1.09,1.26,3,15,90
2023-05-19T20:05:17Z,31.255672,-81.280083,0,0.69,1.00,1.22,3,15,90
