Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-18T14:00:39Z,39.000946,-74.913795,6,0.89,0.79,1.19,3,12,101
2022-02-18T16:02:17Z,39.001087,-74.913750,-5,0.85,1.33,1.58,3,12,125
2022-02-18T18:04:24Z,39.000935,-74.913742,0,0.90,0.79,1.19,3,11,109
2022-02-18T20:06:26Z,39.000973,-74.913864,15,0.82,0.74,1.11,3,12,113
2023-05-11T16:39:51Z,31.259796,-81.300461,0,1.59,0.99,1.87,3,4,90
2023-05-11T18:41:33Z,31.261177,-81.302261,37,1.22,0.84,1.48,3,8,90
2023-05-11T20:43:12Z,31.247366,-81.285088,28,0.77,0.78,1.10,3,12,90
2023-05-11T22:44:54Z,31.261831,-81.301735,54,1.38,0.93,1.67,3,6,90
2023-05-12T00:46:37Z,31.261156,-81.302261,48,1.11,0.96,1.47,3,7,90
2023-05-12T02:48:19Z,31.261192,-81.302376,15,0.89,0.86,1.29,3,10,90
2023-05-12T04:50:01Z,31.261154,-81.302513,20,1.10,0.91,1.43,3,7,90
2023-05-12T06:51:43Z,31.261297,-81.302391,10,1.01,0.82,1.30,3,8,90
2023-05-12T08:53:25Z,31.261141,-81.302345,26,0.94,0.88,1.29,3,10,90
2023-05-12T10:55:07Z,31.252834,-81.280472,3,0.79,0.75,1.09,3,12,90
2023-05-12T12:56:47Z,31.253391,-81.281334,8,0.55,0.93,1.09,3,19,90
2023-05-12T14:58:26Z,31.253454,-81.281403,3,0.87,1.01,1.33,3,12,90
2023-05-12T17:00:04Z,31.253450,-81.281380,9,0.67,0.98,1.19,3,14,90
2023-05-12T19:01:43Z,31.253365,-81.281364,13,0.81,1.68,1.88,3,14,90
2023-05-12T21:03:22Z,31.253431,-81.281403,1,0.64,0.95,1.13,3,16,90
2023-05-12T23:05:00Z,31.253412,-81.281403,2,0.83,0.91,1.24,3,14,90
2023-05-13T01:06:40Z,31.253384,-81.281380,4,0.75,0.98,1.23,3,13,90
2023-05-13T03:08:18Z,31.253399,-81.281372,7,0.69,0.73,1.00,3,15,90
2023-05-13T05:09:57Z,31.253429,-81.281425,3,0.71,1.11,1.32,3,15,90
2023-05-13T07:11:35Z,31.253439,-81.281418,5,0.68,0.91,1.13,3,15,90
2023-05-13T09:13:14Z,31.253429,-81.281380,6,0.70,1.09,1.30,3,14,90
2023-05-13T11:14:53Z,31.253439,-81.281387,-4,0.81,0.95,1.24,3,16,90
2023-05-13T13:16:32Z,31.253395,-81.281380,5,0.63,0.97,1.15,3,16,90
2023-05-13T15:18:12Z,31.253454,-81.281403,-2,0.75,1.11,1.34,3,14,90
2023-05-13T17:19:52Z,31.253433,-81.281364,7,0.84,1.15,1.43,3,12,91
2023-05-13T19:21:31Z,31.253448,-81.281387,2,0.64,1.12,1.30,3,16,90
2023-05-13T21:23:11Z,31.253420,-81.281395,4,0.63,0.89,1.09,3,17,90
2023-05-13T23:24:50Z,31.253410,-81.281380,10,0.77,1.11,1.35,3,14,90
2023-05-14T01:26:30Z,31.253441,-81.281372,3,0.57,0.85,1.03,3,18,90
2023-05-14T03:28:09Z,31.253418,-81.281395,5,0.74,1.18,1.39,3,13,90
2023-05-14T05:29:48Z,31.253416,-81.281403,6,0.57,0.88,1.05,3,19,90
2023-05-14T07:31:27Z,31.253468,-81.281395,8,0.82,0.89,1.21,3,13,90
2023-05-14T09:33:06Z,31.253403,-81.281380,5,0.65,0.98,1.17,3,16,91
2023-05-14T11:34:45Z,31.253387,-81.281364,-2,0.72,1.13,1.35,3,14,90
2023-05-14T13:36:28Z,31.253428,-81.281357,5,0.69,0.85,1.10,3,15,90
2023-05-14T15:38:07Z,31.253424,-81.281410,5,0.72,1.08,1.30,3,15,90
2023-05-14T17:39:50Z,31.253414,-81.281349,9,0.67,0.97,1.18,3,14,90
2023-05-14T19:41:28Z,31.253412,-81.281380,9,0.73,1.37,1.55,3,15,90
2023-05-14T21:44:11Z,31.253416,-81.281395,17,0.65,0.97,1.18,3,17,153
2023-05-14T23:45:50Z,31.253445,-81.281387,12,0.78,1.18,1.42,3,13,90
2023-05-15T01:47:28Z,31.253433,-81.281372,7,0.64,0.66,0.92,3,16,90
2023-05-15T03:49:06Z,31.253416,-81.281364,4,0.57,0.98,1.13,3,18,90
2023-05-15T05:50:44Z,31.253435,-81.281418,16,0.63,0.89,1.09,3,17,90
2023-05-15T07:52:22Z,31.253443,-81.281410,-2,0.96,0.77,1.23,3,11,90
2023-05-15T09:54:00Z,31.253443,-81.281387,7,0.81,1.13,1.40,3,11,90
2023-05-15T11:55:39Z,31.253431,-81.281380,-2,0.61,1.11,1.28,3,16,90
2023-05-15T13:57:17Z,31.253389,-81.281349,5,0.77,1.04,1.30,3,14,90
2023-05-15T15:58:56Z,31.253443,-81.281387,6,0.79,0.72,1.06,3,14,90
2023-05-15T18:00:35Z,31.253462,-81.281364,6,0.65,1.09,1.27,3,15,90
2023-05-15T20:02:14Z,31.253450,-81.281395,5,0.61,1.08,1.25,3,17,90
2023-05-15T22:03:54Z,31.253422,-81.281357,12,0.77,1.00,1.26,3,13,90
2023-05-16T00:05:32Z,31.253447,-81.281380,17,0.70,0.72,1.00,3,14,90
2023-05-16T02:07:11Z,31.253399,-81.281372,1,0.96,0.80,1.25,3,13,90
2023-05-16T04:08:51Z,31.253420,-81.281395,9,0.57,1.04,1.19,3,18,90
2023-05-16T06:10:30Z,31.253429,-81.281418,17,0.80,1.05,1.32,3,13,90
2023-05-16T08:12:08Z,31.253443,-81.281349,13,0.82,1.15,1.42,3,12,90
2023-05-16T10:13:46Z,31.253414,-81.281380,9,0.76,1.10,1.34,3,12,90
2023-05-16T12:15:25Z,31.253416,-81.281380,10,0.69,1.33,1.52,3,14,90
2023-05-16T14:17:05Z,31.253416,-81.281387,0,0.85,1.27,1.53,3,13,90
2023-05-16T16:18:43Z,31.253445,-81.281349,13,0.75,0.95,1.21,3,14,90
2023-05-16T18:20:22Z,31.253405,-81.281364,7,0.63,1.06,1.23,3,16,90
2023-05-16T20:22:00Z,31.253437,-81.281403,12,0.67,0.99,1.19,3,15,90
2023-05-16T22:23:40Z,31.253418,-81.281380,11,0.80,0.72,1.08,3,14,90
2023-05-17T00:25:23Z,31.253431,-81.281395,11,0.87,1.18,1.46,3,10,90
2023-05-17T02:27:03Z,31.253393,-81.281372,8,0.82,1.11,1.38,3,12,90
2023-05-17T04:28:42Z,31.253395,-81.281403,0,0.73,1.08,1.31,3,16,90
2023-05-17T06:30:22Z,31.253414,-81.281410,13,0.74,1.03,1.27,3,13,90
2023-05-17T08:32:01Z,31.253469,-81.281410,9,0.77,0.78,1.12,3,13,90
