Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-28T12:14:17Z,39.000938,-74.913872,25,1.37,0.86,1.61,3,8,92
2022-02-28T14:15:51Z,39.001133,-74.913757,12,0.85,1.44,1.67,3,12,93
2022-02-28T16:17:50Z,39.000984,-74.913780,12,0.79,0.78,1.11,3,11,91
2022-02-28T18:20:01Z,39.000984,-74.913887,-1,1.13,0.92,1.47,3,7,122
2022-02-28T20:21:47Z,39.000961,-74.913780,11,1.27,0.92,1.57,3,8,97
2022-02-28T22:24:06Z,39.000996,-74.913849,20,1.03,0.82,1.32,3,9,97
2022-03-01T00:26:57Z,39.000912,-74.913841,6,0.76,0.82,1.15,3,12,94
2022-03-01T02:28:40Z,39.000938,-74.913818,8,0.76,0.85,1.13,3,12,134
2022-03-01T04:31:49Z,39.000942,-74.913757,33,1.07,0.90,1.40,3,9,90
2022-03-01T06:33:28Z,39.000946,-74.913834,12,0.90,0.82,1.22,3,12,90
2022-03-01T08:35:53Z,39.000912,-74.913734,10,0.91,0.83,1.43,3,9,96
2022-03-01T10:37:12Z,39.000908,-74.913773,6,1.00,0.84,1.31,3,9,91
2022-03-01T12:39:56Z,39.000946,-74.913788,11,1.18,0.82,1.43,3,9,90
2022-03-01T14:41:39Z,39.000954,-74.913834,4,0.87,0.86,1.22,3,9,122
2023-05-11T16:38:41Z,31.259706,-81.300430,13,2.45,0.97,2.63,3,5,90
2023-05-11T18:40:31Z,31.261761,-81.302666,-157,1.14,0.00,0.00,1,7,98
2023-05-11T20:42:10Z,31.247353,-81.285011,14,0.70,1.17,1.39,3,13,90
2023-05-11T22:43:48Z,31.260897,-81.301498,20,1.08,0.91,1.41,3,9,90
2023-05-12T00:45:31Z,31.261183,-81.302338,14,1.11,0.97,2.12,3,6,91
2023-05-12T02:47:13Z,31.261267,-81.302544,43,0.99,0.88,1.32,3,8,90
2023-05-12T04:48:56Z,31.261158,-81.302460,26,1.23,0.94,1.55,3,8,90
2023-05-12T06:50:38Z,31.261267,-81.302444,0,1.27,0.88,1.54,3,9,90
2023-05-12T08:52:20Z,31.261175,-81.302437,21,1.24,0.89,1.53,3,8,90
2023-05-12T10:54:02Z,31.252825,-81.280441,2,0.69,0.72,1.00,3,14,90
2023-05-12T12:55:41Z,31.254478,-81.279137,11,0.72,0.81,1.08,3,12,90
2023-05-12T14:57:21Z,31.244362,-81.282700,0,0.65,0.83,1.05,3,16,90
2023-05-12T16:59:01Z,31.244377,-81.282692,13,0.67,0.98,1.19,3,14,90
2023-05-12T19:00:41Z,31.244373,-81.282661,12,0.65,1.14,1.32,3,16,90
2023-05-12T21:02:22Z,31.244343,-81.282692,6,0.74,0.94,1.20,3,15,90
2023-05-12T23:04:02Z,31.244343,-81.282692,13,0.72,0.93,1.18,3,15,90
2023-05-13T01:05:44Z,31.244339,-81.282692,4,0.69,0.93,1.15,3,15,90
2023-05-13T03:07:26Z,31.244318,-81.282700,9,0.63,0.93,1.12,3,17,90
2023-05-13T05:09:04Z,31.244343,-81.282669,10,0.60,0.85,1.04,3,18,90
