Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-15T21:04:30Z,39.000957,-74.913826,37,2.09,0.00,0.00,1,5,265
2022-03-03T14:41:26Z,39.000942,-74.913826,16,1.12,0.86,1.42,3,8,90
2022-03-03T16:29:07Z,39.000973,-74.913788,18,0.86,0.83,1.31,3,11,93
2022-03-03T18:30:26Z,39.001060,-74.913788,12,0.70,0.74,1.02,3,14,98
2022-03-03T20:33:25Z,39.000916,-74.913834,-4,1.07,1.97,2.23,3,10,91
2022-03-03T22:35:00Z,39.000961,-74.913803,30,1.04,0.83,1.34,3,9,103
2022-03-04T00:37:55Z,39.000851,-74.913773,18,0.81,1.26,1.52,3,12,120
2022-03-04T02:40:00Z,39.000927,-74.913811,16,0.77,0.74,1.06,3,13,122
2022-03-04T04:42:20Z,39.000942,-74.913826,15,1.25,0.90,1.55,3,8,104
2022-03-04T06:44:32Z,39.000828,-74.913773,25,0.86,1.22,1.49,3,12,123
2022-03-04T08:46:58Z,39.000870,-74.913696,24,0.84,0.83,1.18,3,10,91
2022-03-04T10:48:45Z,39.000935,-74.913841,-3,0.95,0.91,1.55,3,11,92
2022-03-04T12:50:31Z,39.001034,-74.913872,7,1.35,0.83,1.59,3,9,95
2022-03-04T14:53:18Z,39.000908,-74.913780,17,1.01,0.86,1.28,3,10,90
2022-03-04T16:55:35Z,39.000931,-74.913780,2,0.75,1.25,1.43,3,14,126
2022-03-04T18:57:47Z,39.000935,-74.913811,9,0.86,0.77,1.14,3,12,115
2022-03-04T20:59:40Z,39.000900,-74.913795,5,1.07,1.40,1.76,3,12,116
2080-01-05T23:59:43Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,5
2023-05-12T16:55:23Z,31.251228,-81.280289,17,0.89,1.21,1.50,3,11,90
2023-05-12T18:57:02Z,31.251228,-81.280342,17,0.74,1.43,1.61,3,14,90
2023-05-12T20:58:40Z,31.251213,-81.280357,15,0.66,0.98,1.18,3,16,90
2023-05-12T23:00:20Z,31.251196,-81.280327,6,0.71,0.92,1.17,3,15,90
2023-05-13T01:02:03Z,31.251204,-81.280342,2,0.64,0.92,1.11,3,16,90
2023-05-13T03:03:42Z,31.251205,-81.280334,5,0.66,1.01,1.20,3,17,90
2023-05-13T05:05:24Z,31.251196,-81.280350,0,0.67,1.04,1.24,3,16,90
2023-05-13T07:07:03Z,31.251217,-81.280327,8,0.78,0.95,1.23,3,13,90
2023-05-13T09:08:42Z,31.251209,-81.280319,8,0.68,1.01,1.22,3,15,90
2023-05-13T11:10:21Z,31.251198,-81.280312,4,0.92,1.15,1.48,3,16,90
2023-05-13T13:11:59Z,31.251226,-81.280296,4,0.65,0.99,1.19,3,16,90
2023-05-13T15:13:38Z,31.251204,-81.280312,-4,0.80,1.17,1.42,3,13,90
2023-05-13T17:15:16Z,31.251209,-81.280304,6,0.91,1.34,1.62,3,12,90
2023-05-13T19:16:54Z,31.251209,-81.280342,0,0.61,1.01,1.18,3,18,90
2023-05-13T21:18:33Z,31.251173,-81.280334,12,0.63,0.87,1.08,3,17,90
2023-05-13T23:20:14Z,31.251192,-81.280327,12,0.85,1.19,1.46,3,13,90
2023-05-14T01:21:57Z,31.251238,-81.280304,15,0.61,0.88,1.07,3,17,90
2023-05-14T03:23:39Z,31.251169,-81.280319,10,0.63,1.00,1.18,3,16,90
2023-05-14T05:25:21Z,31.251209,-81.280342,8,0.63,0.92,1.11,3,17,90
2023-05-14T07:27:03Z,31.251186,-81.280312,8,0.77,1.06,1.31,3,14,90
2023-05-14T09:28:45Z,31.251160,-81.280289,11,0.76,1.09,1.33,3,14,90
2023-05-14T11:30:23Z,31.251179,-81.280319,2,0.69,1.13,1.33,3,14,90
2023-05-14T13:32:02Z,31.251207,-81.280296,7,0.67,0.97,1.18,3,15,90
2023-05-14T15:33:40Z,31.251215,-81.280357,7,0.85,1.39,1.63,3,13,90
2023-05-14T17:35:21Z,31.251200,-81.280296,15,0.66,0.88,1.11,3,16,90
2023-05-14T19:36:59Z,31.251188,-81.280319,8,0.72,1.43,1.60,3,15,90
2023-05-14T21:38:38Z,31.251211,-81.280357,11,0.69,0.98,1.20,3,15,90
2023-05-14T23:40:17Z,31.251228,-81.280327,12,0.75,1.07,1.31,3,15,90
2023-05-15T01:41:55Z,31.251213,-81.280319,10,0.62,0.91,1.10,3,17,90
2023-05-15T03:43:37Z,31.251188,-81.280327,8,0.68,1.37,1.53,3,15,90
2023-05-15T05:45:19Z,31.251205,-81.280334,3,0.66,0.96,1.17,3,16,90
2023-05-15T07:47:02Z,31.251194,-81.280327,6,0.98,1.19,1.54,3,12,91
2023-05-15T09:48:44Z,31.251196,-81.280365,13,0.65,1.03,1.21,3,16,90
2023-05-15T11:50:22Z,31.251188,-81.280327,0,0.84,1.80,1.99,3,13,90
2023-05-15T13:52:02Z,31.251200,-81.280350,7,0.96,1.70,1.95,3,11,91
2023-05-15T15:53:41Z,31.251245,-81.280327,7,0.72,1.03,1.26,3,15,90
2023-05-15T17:55:19Z,31.251219,-81.280312,7,0.72,1.10,1.31,3,15,90
2023-05-15T19:56:57Z,31.251205,-81.280319,10,0.63,1.12,1.29,3,17,90
2023-05-15T21:58:36Z,31.251204,-81.280327,16,0.87,1.30,1.57,3,13,90
2023-05-16T00:00:15Z,31.251192,-81.280296,19,0.80,1.21,1.45,3,14,90
2023-05-16T02:01:58Z,31.251175,-81.280365,13,0.98,1.30,1.62,3,14,90
2023-05-16T04:03:41Z,31.251200,-81.280342,5,0.59,1.07,1.22,3,18,90
2023-05-16T06:05:23Z,31.251236,-81.280319,9,0.77,0.95,1.22,3,14,90
2023-05-16T08:07:05Z,31.251219,-81.280312,5,0.83,1.09,1.37,3,13,90
2023-05-16T10:08:47Z,31.251213,-81.280327,6,0.69,1.11,1.32,3,15,90
2023-05-16T12:10:25Z,31.251213,-81.280319,4,0.56,1.24,1.37,3,18,90
2023-05-16T14:12:04Z,31.251213,-81.280334,7,0.88,1.19,1.48,3,14,90
2023-05-16T16:13:47Z,31.251205,-81.280319,12,0.80,0.75,1.10,3,13,90
2023-05-16T18:15:29Z,31.251209,-81.280312,8,0.59,1.04,1.19,3,18,90
2023-05-16T20:17:12Z,31.251196,-81.280312,10,0.63,1.01,1.19,3,17,90
2023-05-16T22:18:55Z,31.251194,-81.280334,19,1.01,1.41,1.76,3,12,90
2023-05-17T00:20:33Z,31.251194,-81.280342,15,0.93,1.59,1.84,3,11,90
2023-05-17T02:22:16Z,31.251228,-81.280334,8,0.93,1.34,1.63,3,14,90
2023-05-17T04:23:58Z,31.251181,-81.280350,3,0.59,0.89,1.07,3,18,90
2023-05-17T06:25:40Z,31.251209,-81.280357,11,0.77,1.17,1.40,3,12,90
2023-05-17T08:27:19Z,31.251215,-81.280327,7,0.78,1.11,1.37,3,14,90
2023-05-17T10:28:57Z,31.251213,-81.280327,12,0.63,1.02,1.20,3,17,90
2023-05-17T12:30:35Z,31.251211,-81.280350,5,0.60,1.23,1.37,3,16,90
2023-05-17T14:32:18Z,31.251198,-81.280319,6,0.73,0.92,1.18,3,15,91
2023-05-17T16:33:56Z,31.251219,-81.280304,17,0.72,0.93,1.18,3,14,90
2023-05-17T18:35:39Z,31.251196,-81.280304,14,0.70,1.14,1.35,3,14,90
2023-05-17T20:37:01Z,31.251190,-81.280319,10,0.72,1.09,1.31,3,14,137
2023-05-17T22:39:49Z,31.251186,-81.280266,23,0.76,0.95,1.22,3,14,90
2023-05-18T00:41:31Z,31.251190,-81.280304,12,0.70,0.91,1.17,3,15,90
2023-05-18T02:43:10Z,31.251177,-81.280304,11,0.59,0.99,1.14,3,19,90
2023-05-18T04:44:49Z,31.251186,-81.280373,0,0.68,1.05,1.25,3,16,90
2023-05-18T06:46:27Z,31.251200,-81.280334,11,0.73,0.89,1.14,3,14,90
2023-05-18T08:48:05Z,31.251196,-81.280304,12,0.66,0.91,1.11,3,16,90
2023-05-18T10:49:47Z,31.251171,-81.280342,0,0.77,1.11,1.35,3,17,90
2023-05-18T12:51:25Z,31.251200,-81.280334,5,0.64,0.94,1.13,3,17,90
2023-05-18T14:53:08Z,31.251211,-81.280350,0,0.77,1.13,1.37,3,14,90
2023-05-18T16:54:48Z,31.251211,-81.280281,11,0.87,1.20,1.48,3,13,91
2023-05-18T18:56:31Z,31.251177,-81.280350,7,0.74,1.20,1.41,3,15,90
2023-05-18T20:58:14Z,31.251202,-81.280304,13,0.69,0.95,1.18,3,13,90
2023-05-18T22:59:52Z,31.251223,-81.280327,8,0.86,1.19,1.47,3,13,90
2023-05-19T01:01:30Z,31.251202,-81.280304,4,0.65,0.92,1.11,3,16,90
2023-05-19T03:03:08Z,31.251184,-81.280327,9,0.65,0.99,1.18,3,17,90
2023-05-19T05:04:51Z,31.251205,-81.280357,2,0.65,1.12,1.31,3,16,90
2023-05-19T07:06:29Z,31.251200,-81.280296,10,0.73,0.93,1.19,3,14,90
2023-05-19T09:08:11Z,31.251190,-81.280312,3,0.79,1.27,1.49,3,14,90
2023-05-19T11:09:49Z,31.251209,-81.280296,3,0.70,1.05,1.26,3,16,90
2023-05-19T13:11:27Z,31.251188,-81.280312,1,0.69,0.97,1.19,3,15,90
2023-05-19T15:13:05Z,31.251223,-81.280357,10,0.73,0.98,1.22,3,14,90
