Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-17T15:13:57Z,39.000946,-74.913620,34,2.73,0.98,2.90,3,4,148
2022-03-03T14:57:24Z,39.000957,-74.913750,8,1.03,0.89,1.36,3,8,93
2022-03-03T16:30:59Z,39.000973,-74.913841,23,0.87,1.37,1.62,3,10,90
2022-03-03T18:32:41Z,39.001060,-74.913757,22,0.86,0.76,1.14,3,11,98
2022-03-03T20:35:34Z,39.000957,-74.913788,10,0.90,0.88,1.26,3,11,103
2022-03-03T22:37:23Z,39.000965,-74.913826,27,1.07,0.93,1.42,3,10,97
2022-03-04T00:39:47Z,39.000950,-74.913879,14,0.76,0.80,1.12,3,12,91
2022-03-04T02:41:03Z,39.000893,-74.913795,21,0.98,0.81,1.27,3,9,98
2022-03-04T04:43:13Z,39.000961,-74.913742,18,1.14,0.92,1.47,3,8,94
2022-03-04T06:46:49Z,39.000893,-74.913795,12,0.76,0.73,1.06,3,13,122
2022-03-04T08:48:43Z,39.001015,-74.913887,-16,0.76,0.77,1.08,3,12,90
2022-03-04T10:50:13Z,39.000862,-74.913857,35,1.19,0.94,1.51,3,9,97
2022-03-04T12:52:10Z,39.001053,-74.913940,6,1.39,0.89,1.66,3,8,92
2022-03-04T14:54:29Z,39.000908,-74.913895,7,0.98,0.91,1.40,3,10,94
2022-03-04T16:56:19Z,39.000885,-74.913795,-15,1.04,0.91,1.38,3,8,97
2022-03-04T18:58:34Z,39.000916,-74.913750,21,0.81,1.17,1.43,3,11,121
2022-03-04T21:01:00Z,39.001030,-74.913940,-15,1.23,0.92,1.54,3,9,115
2023-05-06T18:41:56Z,31.247105,-81.285034,18,0.79,1.26,1.49,3,12,90
2023-05-06T20:43:38Z,31.247648,-81.285667,8,0.61,0.94,1.11,3,17,90
2023-05-06T22:45:20Z,31.247646,-81.285683,4,0.83,1.35,1.59,3,14,90
2023-05-07T00:47:02Z,31.247677,-81.285675,1,0.84,0.99,1.30,3,13,90
2023-05-07T02:48:42Z,31.247646,-81.285667,2,0.70,1.15,1.36,3,14,91
2023-05-07T04:50:24Z,31.247648,-81.285683,-2,0.76,1.12,1.36,3,13,90
2023-05-07T06:52:07Z,31.247673,-81.285706,10,0.73,1.04,1.27,3,14,91
2023-05-07T08:53:48Z,31.247656,-81.285652,1,0.85,0.75,1.12,3,12,90
