Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-25T15:36:37Z,39.000866,-74.913818,32,1.33,0.96,1.64,3,7,102
2022-03-03T14:41:50Z,39.001480,-74.913986,359,1.35,0.96,1.66,2,5,100
2022-03-03T16:29:30Z,39.000992,-74.913818,15,1.22,0.95,1.55,3,7,106
2022-03-03T18:31:46Z,39.001038,-74.913788,9,0.75,0.75,1.06,3,13,93
2022-03-03T20:34:30Z,39.000927,-74.913780,3,0.91,0.80,1.21,3,12,90
2022-03-03T22:35:55Z,39.000923,-74.913834,14,1.12,0.84,1.41,3,9,90
2022-03-04T00:38:39Z,39.000881,-74.913734,8,0.83,1.44,1.66,3,10,90
2022-03-04T02:40:33Z,39.000862,-74.913734,27,0.83,0.77,1.12,3,13,93
2022-03-04T04:42:26Z,39.000912,-74.913712,20,0.98,0.84,1.29,3,11,90
2022-03-04T06:43:39Z,39.000874,-74.913773,24,1.10,0.91,1.43,3,7,90
2022-03-04T08:46:13Z,39.000835,-74.913628,11,1.37,0.93,1.65,3,6,100
2022-03-04T10:48:34Z,39.000904,-74.913780,6,1.13,0.85,1.42,3,10,105
2022-03-04T12:50:49Z,39.000957,-74.913849,14,1.38,0.81,1.60,3,10,94
2022-03-04T14:53:12Z,39.000931,-74.913742,12,1.18,0.89,1.48,3,8,90
2022-03-04T16:54:27Z,39.000923,-74.913780,13,0.90,0.82,1.22,3,9,93
2022-03-04T18:56:43Z,39.000908,-74.913719,13,1.66,0.93,1.90,3,7,92
2022-03-04T20:59:33Z,39.000916,-74.913788,0,1.14,0.88,1.45,3,10,117
2023-05-11T16:52:57Z,31.259628,-81.300400,12,1.53,0.85,1.75,3,8,90
2023-05-11T18:54:40Z,31.258053,-81.299210,-12,1.32,0.99,1.65,3,5,90
2023-05-11T20:56:18Z,31.247671,-81.282776,20,0.60,0.99,1.15,3,17,90
2023-05-11T22:58:00Z,31.247683,-81.282738,26,0.78,1.09,1.34,3,14,90
2023-05-12T00:59:39Z,31.247585,-81.282753,4,0.76,1.07,1.32,3,14,90
2023-05-12T03:01:20Z,31.247643,-81.282753,7,0.62,0.99,1.17,3,18,90
2023-05-12T05:02:59Z,31.247639,-81.282776,0,0.69,1.10,1.30,3,16,90
2023-05-12T07:04:40Z,31.247643,-81.282768,12,0.60,0.80,1.00,3,18,90
2023-05-12T09:06:20Z,31.247665,-81.282738,9,0.87,1.23,1.51,3,14,90
2023-05-12T11:08:02Z,31.247622,-81.282753,0,0.85,1.29,1.54,3,15,90
2023-05-12T13:09:42Z,31.247652,-81.282730,5,0.63,1.01,1.19,3,16,90
2023-05-12T15:11:24Z,31.247652,-81.282791,0,0.71,0.91,1.14,3,15,90
2023-05-12T17:13:04Z,31.247669,-81.282745,6,0.78,0.99,1.26,3,12,90
2023-05-12T19:14:44Z,31.247669,-81.282784,5,0.66,1.10,1.28,3,15,90
2023-05-12T21:16:25Z,31.247662,-81.282776,4,0.66,0.99,1.19,3,16,90
2023-05-12T23:18:05Z,31.247637,-81.282776,10,0.78,1.03,1.29,3,14,90
2023-05-13T01:19:45Z,31.247646,-81.282768,0,0.65,0.92,1.12,3,16,90
2023-05-13T03:21:26Z,31.247643,-81.282745,10,0.60,0.86,1.05,3,18,90
2023-05-13T05:23:08Z,31.247643,-81.282768,8,0.70,1.10,1.30,3,15,90
2023-05-13T07:24:51Z,31.247662,-81.282761,11,0.75,1.00,1.25,3,15,90
2023-05-13T09:26:32Z,31.247644,-81.282745,7,0.68,1.12,1.32,3,15,90
2023-05-13T11:28:15Z,31.247633,-81.282745,6,0.66,0.85,1.08,3,17,90
2023-05-13T13:29:55Z,31.247650,-81.282738,3,0.71,0.96,1.20,3,13,91
2023-05-13T15:31:37Z,31.247663,-81.282745,0,0.72,1.09,1.31,3,15,91
2023-05-13T17:33:20Z,31.247643,-81.282722,0,0.77,1.13,1.38,3,13,90
2023-05-13T19:35:03Z,31.247650,-81.282768,1,0.70,1.26,1.44,3,16,90
2023-05-13T21:36:45Z,31.247618,-81.282768,10,0.71,1.04,1.26,3,15,90
2023-05-13T23:38:26Z,31.247671,-81.282761,10,0.73,1.07,1.29,3,15,90
2023-05-14T01:40:08Z,31.247652,-81.282738,5,0.66,0.91,1.12,3,16,90
2023-05-14T03:41:50Z,31.247604,-81.282776,8,0.67,1.33,1.49,3,15,90
2023-05-14T05:43:31Z,31.247658,-81.282768,6,0.65,0.95,1.15,3,16,90
2023-05-14T07:45:14Z,31.247652,-81.282738,4,0.74,1.03,1.26,3,14,90
2023-05-14T09:46:56Z,31.247637,-81.282722,10,0.64,0.99,1.18,3,17,90
2023-05-14T11:48:38Z,31.247637,-81.282761,4,0.70,1.24,1.42,3,15,90
2023-05-14T13:50:20Z,31.247608,-81.282692,0,0.75,0.70,1.03,3,13,90
2023-05-14T15:52:02Z,31.247662,-81.282784,2,0.72,1.02,1.24,3,15,90
2023-05-14T17:53:42Z,31.247660,-81.282730,9,0.61,1.06,1.22,3,16,90
