Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-14T21:17:23Z,39.001045,-74.913902,31,1.70,0.95,1.94,3,5,93
2022-03-08T22:41:51Z,39.000896,-74.913788,23,1.49,0.99,2.06,3,6,107
2022-03-14T15:03:45Z,39.001003,-74.913773,22,0.75,0.81,1.15,3,13,100
2022-03-14T17:05:25Z,39.001083,-74.913788,8,0.77,1.49,1.68,3,13,118
2022-03-14T19:07:42Z,39.000961,-74.913788,12,0.94,1.32,1.62,3,12,117
2022-03-15T05:19:48Z,39.000957,-74.913826,19,0.88,0.80,1.17,3,11,120
2022-03-15T07:21:56Z,39.000942,-74.913826,12,1.21,0.87,1.49,3,9,90
2022-03-15T09:23:56Z,39.000950,-74.913795,-5,1.14,0.89,1.45,3,9,127
2022-03-15T11:26:44Z,39.000999,-74.913857,4,0.92,0.71,1.15,3,11,90
2023-05-12T20:35:31Z,31.248774,-81.282753,22,0.67,0.97,1.18,3,15,90
2023-05-13T00:38:54Z,31.248724,-81.282692,18,0.97,1.33,1.65,3,12,91
2023-05-13T02:40:34Z,31.248749,-81.282715,10,0.77,1.36,1.56,3,14,91
2023-05-13T06:43:55Z,31.248734,-81.282730,14,0.91,1.38,1.65,3,13,90
2023-05-13T12:49:00Z,31.248762,-81.282722,0,0.64,1.11,1.28,3,16,90
2023-05-13T16:52:20Z,31.248781,-81.282715,8,0.88,1.04,1.36,3,12,90
2023-05-13T18:54:00Z,31.248768,-81.282715,9,0.67,1.15,1.34,3,16,90
2023-05-13T22:57:23Z,31.248747,-81.282707,13,0.81,1.18,1.43,3,13,91
2023-05-14T03:00:48Z,31.248722,-81.282692,9,0.71,1.18,1.38,3,16,90
2023-05-14T05:02:26Z,31.248753,-81.282745,4,0.63,0.96,1.14,3,17,90
2023-05-14T07:04:08Z,31.248785,-81.282753,10,0.68,0.87,1.09,3,15,90
2023-05-14T09:05:51Z,31.248745,-81.282715,11,0.74,1.10,1.33,3,13,91
2023-05-14T11:07:34Z,31.248730,-81.282745,4,0.65,0.88,1.09,3,17,91
2023-05-14T13:09:15Z,31.248713,-81.282715,10,0.77,1.07,1.32,3,14,90
2023-05-14T15:10:55Z,31.248730,-81.282738,10,0.82,1.29,1.53,3,14,90
