NodeId,NodeUTMx,NodeUTMy
377990,472941,3457108
339e4d,473336,3457595
339fba,473209,3457723
375e07,473339,3457975
3763c0,473211,3457866
3765c3,472818,3457173
376f3f,473467,3457876
3775fb,472839,3456962
3777fd,473086,3456716
377a13,473201,3457600
377a22,473312,3457476
377c9f,473487,3457586
377d0e,473210,3457963
377d96,473365,3457853
377e04,473050,3456831
37832d,473198,3457466
3787fc,473320,3457733
37899c,472800,3457085
378cbc,472937,3456708
378e5c,472818,3456842
378eec,473453,3457464
3790dc,472946,3456836
37a395,473453,3457979
37a5aa,473074,3457081
37a831,473063,3456983
37a87b,472944,3456834
37a91b,473081,3457209
37aa11,472959,3456957
37ad60,472966,3457213
37a26c,473436,3457726
37648e,473209,3457721
