In_Drawing,Node_USB,NodeId,Latitude,Longitude,Easting ,Northing
y,y,377990,31.247906,-81.28416,472941,3457108
y,y,339e4d,31.252276,-81.280056,473336,3457595
y,y,339fba,31.253426,-81.281384,473209,3457723
y,y,375e07,31.255714,-81.280056,473339,3457975
y,y,3763c0,31.25472,-81.281368,473211,3457866
y,y,3765c3,31.248458,-81.285472,472818,3457173
y,y,376f3f,31.254838,-81.278688,473467,3457876
y,y,3775fb,31.246562,-81.28524,472839,3456962
y,y,3777fd,31.24435,-81.282704,473086,3456716
y,y,377a13,31.252314,-81.28148,473201,3457600
y,y,377a22,31.251208,-81.280328,473312,3457476
y,y,377c9f,31.252178,-81.278456,473487,3457586
y,y,377d0e,31.255592,-81.281376,473210,3457963
y,y,377d96,31.25462,-81.279736,473365,3457853
y,y,377e04,31.245378,-81.283024,473050,3456831
y,y,37832d,31.251152,-81.281472,473198,3457466
y,y,3787fc,31.253536,-81.280224,473320,3457733
y,y,37899c,31.24766,-81.285656,472800,3457085
y,y,378cbc,31.244236,-81.284232,472937,3456708
y,y,378e5c,31.245516,-81.285472,472818,3456842
y,y,378eec,31.251094,-81.278808,473453,3457464
y,y,3790dc,31.245414,-81.28412,472946,3456836
y,y,37a395,31.255746,-81.278824,473453,3457979
y,y,37a5aa,31.247636,-81.282776,473074,3457081
y,y,37a831,31.246774,-81.282856,473063,3456983
y,y,37a87b,31.24415,-81.284832,472944,3456834
y,y,37a91b,31.248748,-81.282704,473081,3457209
y,y,37aa11,31.246522,-81.284008,472959,3456957
y,y,37ad60,31.248852,-81.28392,472966,3457213
y,n,37a26c,31.253466,-81.279,473436,3457726
y,n,37648e,31.253414,-81.281376,473209,3457721
n,n,37a32d,-,-,-,-
n,n,33d1a9,-,-,-,-
n,n,33af55,-,-,-,-
n,n,33bb4e,-,-,-,-
