FID,Proofed,SPECIES,DATE,STATE,TIME,SITE,RECAP,BAND_PR,BAND_N,L,R,AGE,SEX,WT,FAT,BM,BILL_L,BILL_W,BILL_D,WING,TARS,TAIL,CP,BP,FEATHER,FECAL,AUX_TAG_NO,AUX_TAG_TYPE,LOC,BANDER,NOTES,PHOTO_1,
1,y,PABU,4/12/2023,GA,8:57,LSSI,Y,2811,65760,RK,RA,ASY,M,16.3,0,-,-,-,-,67,-,59,1,-,N,N,321 39.7,Lotek,LB,RJC,"Retrieved nanotag MGF ID 321, 39.7s. MOTUS tag deployment #42564.",,
2,y,PABU,4/15/2023,GA,7:20,LSSI,Y,2881,30058,GY,RA,ASY,F,14.7,0,-,-,-,-,67,-,50,-,0,N,Y,-,-,LB,DJK,-,,
3,y,PABU,4/15/2023,GA,8:01,LSSI,Y,2811,65773,OB,GA,ASY ,M,15.3,0,-,-,-,-,61,-,55,0,-,N,Y,-,-,LB,DJK,-,,
4,y,PABU,4/22/2023,GA,7:17,LSSI,Y,2881,30026,RR,YA,ASY,F,13.4,0,-,-,-,-,64,19.3,48,-,0,Y,N,-,-,LB,DJK,-,,
5,y,PABU,4/22/2023,GA,7:49,LSSI,Y,2881,71302,KO,KA,ASY,M,13.5,0,-,-,-,-,66,21.94,54,1,-,N,N,-,-,LB,DJK,-,,
6,y,PABU,4/22/2023,GA,8:00,LSSI,Y,2881,30121,RW,RA,ASY,M,15.9,0,-,-,-,-,70,-,56,1,-,N,Y,-,-,LB,DJK,-,,
7,y,PABU,4/22/2023,GA,8:07,LSSI,Y,2881,30029,-,A,ASY,F,-,-,-,-,-,-,-,-,-,-,-,N,Y,-,-,LB,DJK,-,,
8,y,PABU,4/22/2023,GA,9:06,LSSI,Y,2881,30173,BO,BA,ASY,M,15.8,0,-,-,-,-,68,19.63,54,0,-,N,N,-,-,LB,DJK,-,,
9,y,PABU,4/22/2023,GA,9:29,LSSI,Y,2881,30176,WW,YA,ASY,M,-,0,-,-,-,-,68,21.21,55,0,-,N,N,-,-,LB,DJK,-,,
10,y,PABU,4/27/2023,GA,8:17,LSSI,Y,2881,30157,YY,YA,ASY,M,16.2,0,-,-,-,-,68,23.66,53,0,-,Y,N,-,-,LB,RJC,-,,
11,y,PABU,4/27/2023,GA,9:46,LSSI,Y,2881,30034,OW,WA,ASY,M,15.3,0,-,-,-,-,69,22.93,55,0,-,Y,Y,-,-,LB,DJK,-,,
12,y,PABU,4/27/2023,GA,9:46,LSSI,Y,2881,30196,RB,RA,ASY,F,14.2,0,-,-,-,-,65,19.54,46,-,1,Y,Y,-,-,LB,DJK,-,,
13,y,PABU,4/27/2023,GA,10:41,LSSI,Y,2881,30020,GO,OA,ASY,F,14.5,0,-,-,-,-,66,22.9,60,-,1,Y,N,-,-,LB,RJC,-,,
14,y,PABU,4/27/2023,GA,10:41,LSSI,Y,2881,30143,YY,GA,ASY,F,15.3,0,-,-,-,-,64,18.55,50,-,1,Y,Y,-,-,LB,DJK,-,,
15,y,PABU,4/27/2023,GA,10:56,LSSI,Y,2811,65790,BK,KA,ASY,M,15.2,1,-,-,-,-,65,22.87,53,1,-,Y,Y,-,-,LB,RJC,-,,
16,y,PABU,4/27/2023,GA,11:43,LSSI,Y,2811,65733,KB,RA,ASY,M,15.7,0,-,-,-,-,70,25.41,62,1,-,Y,N,-,-,LB,RJC,-,,
17,y,PABU,4/27/2023,GA,11:43,LSSI,Y,2881,30004,KW,YA,ASY,M,15.8,1,-,-,-,-,70,20.75,56,1,-,Y,N,-,-,LB,DJK,-,,
18,y,PABU,4/27/2023,GA,12:40,LSSI,Y,2881,30176,WW,YA,ASY,M,15.5,0,-,-,-,-,69,20.46,56,1,-,Y,Y,-,-,LB,DJK,-,,
19,y,PABU,5/7/2023,GA,20:15,LSSI,Y,2881,30021,RY,OA,ASY,M,17.7,1,-,-,-,-,56,-,53,1,-,N,N,-,-,LB,AMV,small cp,,
