Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-15T15:09:25Z,39.000942,-74.913803,8,1.23,0.00,0.00,1,6,193
2022-03-14T15:03:29Z,39.000954,-74.913795,22,0.76,0.86,1.19,3,12,90
2022-03-14T17:05:24Z,39.001106,-74.913795,3,0.85,1.60,1.81,3,12,118
2022-03-14T19:07:30Z,39.000916,-74.913780,11,0.99,0.83,1.29,3,10,112
2022-03-14T21:09:35Z,39.000992,-74.913811,4,0.83,0.78,1.13,3,11,116
2022-03-14T23:11:47Z,39.000992,-74.913803,4,1.12,0.82,1.39,3,7,91
2022-03-15T01:14:09Z,39.000942,-74.913834,17,0.81,0.82,1.12,3,12,90
2022-03-15T03:16:15Z,39.000912,-74.913872,15,0.86,0.72,1.19,3,13,90
2022-03-15T05:17:58Z,39.000980,-74.913826,5,0.85,0.74,1.12,3,12,122
2022-03-15T07:20:38Z,39.000946,-74.913857,-2,1.17,0.87,1.45,3,9,90
2022-03-15T09:22:49Z,39.000935,-74.913811,14,1.26,1.60,2.04,3,11,90
2022-03-15T11:24:31Z,39.000984,-74.913910,3,0.88,1.06,1.38,3,11,90
2022-03-15T13:26:17Z,39.000965,-74.914017,-21,1.05,0.87,1.36,3,9,90
2080-01-05T23:59:43Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,5
2023-05-12T18:13:32Z,31.248491,-81.285530,19,0.73,1.10,1.32,3,13,91
2023-05-12T20:15:13Z,31.248478,-81.285553,18,0.71,1.21,1.40,3,14,90
2023-05-12T22:16:51Z,31.248474,-81.285522,16,0.66,0.96,1.15,3,16,90
2023-05-13T00:18:30Z,31.248442,-81.285507,18,0.82,1.13,1.40,3,13,90
2023-05-13T02:20:12Z,31.248474,-81.285484,10,0.79,0.80,1.12,3,13,90
2023-05-13T04:21:55Z,31.248415,-81.285561,7,0.61,1.05,1.21,3,17,91
2023-05-13T06:23:37Z,31.248440,-81.285576,17,0.79,1.26,1.49,3,14,90
2023-05-13T08:25:17Z,31.248476,-81.285522,10,0.77,1.05,1.30,3,14,90
2023-05-13T10:26:55Z,31.248459,-81.285500,7,0.71,1.34,1.52,3,14,90
2023-05-13T12:28:34Z,31.248434,-81.285507,1,0.65,1.31,1.46,3,15,90
2023-05-13T14:30:16Z,31.248440,-81.285538,17,0.83,1.31,1.55,3,13,90
2023-05-13T16:31:54Z,31.248465,-81.285515,19,0.85,1.18,1.46,3,12,90
2023-05-13T18:33:35Z,31.248478,-81.285477,13,0.71,1.17,1.37,3,13,90
2023-05-13T20:35:17Z,31.248459,-81.285538,13,0.66,1.02,1.21,3,17,90
2023-05-13T22:36:56Z,31.248455,-81.285507,10,0.79,1.20,1.44,3,14,90
2023-05-14T00:38:38Z,31.248465,-81.285484,11,0.70,1.05,1.26,3,15,90
2023-05-14T02:40:20Z,31.248426,-81.285522,7,0.70,1.03,1.25,3,15,91
2023-05-14T04:42:01Z,31.248426,-81.285530,6,0.73,1.09,1.31,3,15,90
2023-05-14T06:43:39Z,31.248465,-81.285538,15,0.66,0.95,1.14,3,16,90
2023-05-14T08:45:19Z,31.248455,-81.285507,7,0.68,0.91,1.13,3,16,90
2023-05-14T10:47:01Z,31.248428,-81.285522,5,0.71,1.00,1.22,3,15,91
2023-05-14T12:48:40Z,31.248440,-81.285515,4,0.62,1.21,1.36,3,15,90
2023-05-14T14:50:19Z,31.248442,-81.285507,-4,1.01,1.15,1.54,3,12,90
2023-05-14T16:52:02Z,31.248447,-81.285492,15,0.77,0.96,1.23,3,12,90
2023-05-14T18:53:43Z,31.248442,-81.285507,7,0.70,1.23,1.42,3,15,91
2023-05-14T20:55:25Z,31.248468,-81.285538,13,0.66,1.07,1.30,3,16,90
2023-05-14T22:57:04Z,31.248455,-81.285500,11,0.78,1.09,1.34,3,14,90
2023-05-15T00:58:43Z,31.248425,-81.285500,9,0.80,1.12,1.38,3,12,90
2023-05-15T03:00:26Z,31.248421,-81.285515,8,0.71,1.13,1.34,3,14,90
2023-05-15T05:02:04Z,31.248453,-81.285538,5,0.64,0.96,1.14,3,16,90
2023-05-15T07:03:47Z,31.248501,-81.285522,5,0.77,0.70,1.04,3,12,90
2023-05-15T09:05:27Z,31.248461,-81.285515,4,1.01,1.89,2.14,3,10,92
2023-05-15T11:07:12Z,31.248455,-81.285530,1,0.88,1.27,1.55,3,12,90
2023-05-15T13:08:52Z,31.248442,-81.285469,8,0.74,1.00,1.24,3,14,91
2023-05-15T15:10:35Z,31.248472,-81.285500,4,0.87,0.77,1.15,3,13,90
2023-05-15T17:12:17Z,31.248495,-81.285461,5,0.80,0.75,1.10,3,12,90
2023-05-15T19:14:00Z,31.248451,-81.285507,6,0.69,1.15,1.35,3,16,90
2023-05-15T21:15:42Z,31.248430,-81.285515,7,0.71,0.74,1.02,3,14,90
2023-05-15T23:17:25Z,31.248457,-81.285500,4,1.07,0.79,1.33,3,11,90
2023-05-16T01:19:04Z,31.248440,-81.285507,9,0.75,0.96,1.21,3,14,90
2023-05-16T03:20:47Z,31.248419,-81.285545,2,0.64,1.09,1.27,3,16,91
2023-05-16T05:22:29Z,31.248455,-81.285545,1,0.62,0.70,0.94,3,17,90
2023-05-16T07:24:11Z,31.248472,-81.285500,0,0.78,0.66,1.02,3,14,90
2023-05-16T09:25:51Z,31.248478,-81.285492,8,0.72,1.02,1.25,3,13,90
2023-05-16T11:27:29Z,31.248453,-81.285500,8,0.70,1.09,1.30,3,14,90
2023-05-16T13:29:11Z,31.248419,-81.285492,4,0.73,1.04,1.27,3,14,90
2023-05-16T15:30:54Z,31.248457,-81.285500,9,0.76,0.99,1.25,3,14,90
2023-05-16T17:32:33Z,31.248444,-81.285530,-2,0.80,1.11,1.37,3,13,91
2023-05-16T19:34:15Z,31.248453,-81.285500,5,0.69,1.32,1.49,3,14,90
2023-05-16T21:35:58Z,31.248449,-81.285538,2,0.69,0.98,1.20,3,15,91
2023-05-16T23:37:40Z,31.248472,-81.285477,16,1.21,1.79,2.22,3,10,90
2023-05-17T01:39:23Z,31.248449,-81.285545,8,0.63,0.91,1.10,3,16,90
