Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-15T22:08:00Z,39.000732,-74.914246,165,2.15,0.00,0.00,1,5,155
2022-02-23T14:26:57Z,39.000950,-74.913857,5,1.38,0.93,1.66,3,8,90
2022-03-03T14:56:41Z,39.000969,-74.913757,7,1.03,0.89,1.36,3,8,101
2022-03-03T16:58:34Z,39.000988,-74.913841,16,0.71,1.17,1.37,3,14,114
2022-03-03T19:00:31Z,39.001053,-74.913712,25,0.97,0.85,1.30,3,9,93
2022-03-03T21:02:53Z,39.000992,-74.913826,16,1.02,0.84,1.32,3,10,93
2022-03-03T23:05:05Z,39.000874,-74.913605,77,1.12,0.98,1.56,3,9,90
2022-03-04T01:06:13Z,39.000931,-74.913879,33,0.94,0.83,1.25,3,10,95
2022-03-04T03:09:11Z,39.000961,-74.913765,16,0.88,0.74,1.13,3,11,98
2022-03-04T05:10:12Z,39.000763,-74.913750,-4,1.14,0.83,1.42,3,8,91
2022-03-04T07:12:35Z,39.000992,-74.913841,3,1.00,0.84,1.31,3,9,93
2022-03-04T09:15:09Z,39.000916,-74.913788,8,0.85,0.76,1.13,3,10,90
2022-03-04T11:16:59Z,39.000977,-74.913795,18,0.78,0.76,1.09,3,13,90
2022-03-04T13:19:17Z,39.000965,-74.913780,21,0.88,0.83,1.31,3,11,100
2022-03-04T15:20:56Z,39.001003,-74.913788,4,0.81,0.77,1.11,3,12,126
2022-03-04T17:23:04Z,39.000816,-74.913757,4,1.13,0.84,1.42,3,9,94
2022-03-04T19:25:41Z,39.000950,-74.913773,30,0.95,0.74,1.20,3,10,112
2022-03-04T21:28:01Z,39.000961,-74.913811,-1,0.88,0.82,1.29,3,12,102
2023-05-11T16:42:28Z,31.259691,-81.300423,20,1.49,0.88,1.73,3,7,90
2023-05-11T18:44:10Z,31.261335,-81.302376,-37,0.84,0.87,1.21,3,11,90
2023-05-11T20:45:53Z,31.248156,-81.284637,1,0.75,1.11,1.34,3,13,91
2023-05-11T22:47:36Z,31.261271,-81.302376,31,1.01,0.83,1.30,3,11,91
2023-05-12T00:49:18Z,31.261194,-81.302429,22,1.23,0.96,1.56,3,7,90
2023-05-12T02:51:00Z,31.261173,-81.302406,16,0.89,0.85,1.23,3,10,90
2023-05-12T04:52:42Z,31.261099,-81.302376,23,1.04,0.76,1.28,3,11,90
2023-05-12T06:54:24Z,31.261351,-81.302429,-7,1.27,0.87,1.54,3,9,90
2023-05-12T08:56:06Z,31.261293,-81.302429,-10,0.98,0.90,1.33,3,9,90
2023-05-12T10:57:48Z,31.252815,-81.280487,4,0.83,0.79,1.14,3,11,90
