Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-07T15:45:07Z,39.000992,-74.913773,-2,1.77,0.96,2.00,3,5,94
2022-02-18T14:00:39Z,39.000893,-74.913910,34,1.27,0.95,1.59,3,7,107
2022-02-18T16:03:21Z,39.001099,-74.913765,13,0.71,0.81,1.11,3,15,91
2022-02-18T17:45:26Z,39.000996,-74.913834,19,1.32,0.99,1.65,3,7,123
2022-02-18T17:50:21Z,39.001011,-74.913818,23,1.06,0.91,1.39,3,10,104
2023-05-11T16:53:53Z,31.259693,-81.300400,15,1.56,0.89,1.90,3,8,90
2023-05-11T18:55:51Z,31.255196,-81.299400,80,1.32,0.99,1.65,3,5,106
2023-05-11T20:57:31Z,31.246588,-81.285263,17,0.64,0.95,1.14,3,16,90
2023-05-11T22:59:12Z,31.246561,-81.285172,25,0.74,0.91,1.17,3,16,90
2023-05-12T01:00:54Z,31.246561,-81.285217,17,0.72,1.03,1.26,3,15,90
2023-05-12T03:02:36Z,31.246550,-81.285233,9,0.59,0.98,1.14,3,19,90
2023-05-12T05:04:19Z,31.246542,-81.285217,7,0.67,1.02,1.22,3,16,90
2023-05-12T07:06:01Z,31.246544,-81.285194,15,0.67,0.84,1.08,3,16,90
2023-05-12T09:07:43Z,31.246553,-81.285217,6,0.73,1.03,1.27,3,15,90
2023-05-12T11:09:25Z,31.246532,-81.285225,5,0.78,1.24,1.47,3,16,90
2023-05-12T13:11:06Z,31.246563,-81.285172,18,0.69,0.94,1.17,3,16,90
2023-05-12T15:12:47Z,31.246557,-81.285233,12,0.83,1.20,1.46,3,14,90
2023-05-12T17:14:28Z,31.246569,-81.285194,16,0.78,1.09,1.34,3,13,90
2023-05-12T19:16:10Z,31.246548,-81.285248,0,0.63,1.18,1.35,3,16,90
2023-05-12T21:17:48Z,31.246567,-81.285248,3,0.72,0.94,1.19,3,15,90
2023-05-12T23:19:30Z,31.246561,-81.285240,6,0.83,1.06,1.35,3,14,90
2023-05-13T01:21:11Z,31.246544,-81.285210,5,0.64,0.88,1.09,3,16,90
2023-05-13T03:22:51Z,31.246529,-81.285210,6,0.70,1.13,1.34,3,15,90
2023-05-13T05:24:33Z,31.246576,-81.285248,0,0.75,1.15,1.38,3,14,91
2023-05-13T07:26:14Z,31.246550,-81.285240,4,0.76,0.99,1.25,3,15,90
2023-05-13T09:27:54Z,31.246574,-81.285210,5,0.77,1.18,1.40,3,14,90
2023-05-13T11:29:35Z,31.246538,-81.285187,2,0.70,1.03,1.24,3,16,90
2023-05-13T13:31:13Z,31.246540,-81.285217,3,0.57,0.79,0.98,3,18,90
2023-05-13T15:32:54Z,31.246580,-81.285187,-1,0.72,1.08,1.30,3,15,90
2023-05-13T17:34:33Z,31.246548,-81.285217,5,0.75,1.09,1.32,3,13,91
2023-05-13T19:36:14Z,31.246550,-81.285240,-7,0.63,0.73,0.96,3,16,90
2023-05-13T21:37:57Z,31.246531,-81.285240,10,0.78,1.29,1.51,3,14,90
2023-05-13T23:39:38Z,31.246574,-81.285233,10,0.67,0.90,1.11,3,16,90
2023-05-14T01:41:20Z,31.246620,-81.285248,2,0.71,0.98,1.20,3,15,90
2023-05-14T03:43:02Z,31.246529,-81.285217,8,0.64,1.14,1.31,3,16,91
2023-05-14T05:44:45Z,31.246553,-81.285248,8,0.63,0.84,1.05,3,17,91
2023-05-14T07:46:27Z,31.246544,-81.285217,8,0.74,0.96,1.21,3,14,90
2023-05-14T09:48:07Z,31.246508,-81.285202,10,0.69,1.13,1.34,3,15,90
2023-05-14T11:49:48Z,31.246534,-81.285210,6,0.62,1.05,1.22,3,16,90
2023-05-14T13:51:30Z,31.246515,-81.285225,8,0.75,0.93,1.20,3,13,90
2023-05-14T15:53:12Z,31.246561,-81.285233,6,0.86,1.30,1.56,3,13,90
2023-05-14T17:54:53Z,31.246552,-81.285202,8,0.69,1.12,1.32,3,15,90
2023-05-14T19:56:36Z,31.246525,-81.285187,15,0.65,1.13,1.31,3,16,90
2023-05-14T21:58:16Z,31.246513,-81.285210,18,0.93,1.42,1.70,3,12,90
2023-05-14T23:59:58Z,31.246569,-81.285240,9,0.79,1.21,1.45,3,14,90
2023-05-15T02:01:40Z,31.246534,-81.285225,9,0.73,1.33,1.53,3,14,90
2023-05-15T04:03:20Z,31.246523,-81.285225,9,0.63,1.13,1.30,3,17,90
2023-05-15T06:05:02Z,31.246574,-81.285225,8,0.62,0.79,1.00,3,17,91
2023-05-15T08:06:42Z,31.246571,-81.285194,6,0.84,1.06,1.35,3,13,90
2023-05-15T10:08:22Z,31.246538,-81.285202,2,0.68,1.14,1.34,3,15,90
2023-05-15T12:10:00Z,31.246557,-81.285225,-6,0.60,1.14,1.30,3,17,90
2023-05-15T14:11:38Z,31.246525,-81.285233,-2,0.89,1.28,1.56,3,13,90
2023-05-15T16:13:21Z,31.246576,-81.285210,7,0.77,1.10,1.34,3,14,90
2023-05-15T18:15:01Z,31.246567,-81.285194,8,0.65,1.06,1.25,3,16,90
2023-05-15T20:16:41Z,31.246542,-81.285194,5,0.63,1.05,1.22,3,17,90
2023-05-15T22:18:23Z,31.246557,-81.285179,11,0.90,1.29,1.58,3,13,90
2023-05-16T00:20:05Z,31.246534,-81.285217,10,0.86,1.42,1.66,3,13,90
2023-05-16T02:21:47Z,31.246536,-81.285210,16,0.74,1.24,1.45,3,14,91
2023-05-16T04:23:29Z,31.246527,-81.285233,7,0.61,1.00,1.17,3,17,90
2023-05-16T06:25:12Z,31.246565,-81.285248,13,0.75,1.00,1.25,3,14,90
2023-05-16T08:26:52Z,31.246563,-81.285210,6,0.80,1.11,1.37,3,14,90
2023-05-16T10:28:33Z,31.246538,-81.285225,4,0.69,1.05,1.26,3,16,90
2023-05-16T12:30:15Z,31.246521,-81.285194,10,0.56,1.28,1.40,3,17,90
2023-05-16T14:31:57Z,31.246553,-81.285233,0,0.83,1.14,1.42,3,14,90
2023-05-16T16:33:39Z,31.246553,-81.285202,12,0.86,1.05,1.35,3,13,90
2023-05-16T18:35:20Z,31.246574,-81.285217,4,0.62,1.08,1.25,3,18,90
2023-05-16T20:37:02Z,31.246552,-81.285225,6,0.65,1.04,1.27,3,16,90
2023-05-16T22:38:42Z,31.246561,-81.285202,16,0.85,0.95,1.27,3,12,90
2023-05-17T00:40:24Z,31.246546,-81.285217,6,0.88,1.48,1.72,3,12,90
2023-05-17T02:42:05Z,31.246548,-81.285225,6,0.70,1.20,1.39,3,16,90
2023-05-17T04:43:47Z,31.246542,-81.285248,1,0.80,1.18,1.43,3,13,90
2023-05-17T06:45:29Z,31.246569,-81.285248,10,0.70,0.96,1.19,3,14,90
2023-05-17T08:47:08Z,31.246557,-81.285210,6,0.71,0.99,1.22,3,15,90
2023-05-17T10:48:50Z,31.246500,-81.285225,3,0.68,1.03,1.23,3,17,90
2023-05-17T12:50:32Z,31.246536,-81.285179,12,0.55,0.91,1.07,3,18,90
2023-05-17T14:52:14Z,31.246553,-81.285255,5,0.85,1.27,1.51,3,13,90
2023-05-17T16:53:54Z,31.246584,-81.285172,15,0.74,0.95,1.20,3,15,90
2023-05-17T18:55:34Z,31.246557,-81.285217,8,0.61,1.05,1.21,3,17,90
2023-05-17T20:57:16Z,31.246519,-81.285210,6,0.60,0.83,1.02,3,17,90
2023-05-17T22:58:59Z,31.246531,-81.285217,12,0.89,1.09,1.41,3,13,91
2023-05-18T01:00:42Z,31.246553,-81.285202,7,0.75,0.99,1.24,3,13,90
2023-05-18T03:02:23Z,31.246531,-81.285217,9,0.63,0.97,1.15,3,17,90
2023-05-18T05:04:02Z,31.246532,-81.285240,2,0.62,0.92,1.11,3,17,90
2023-05-18T07:05:40Z,31.246572,-81.285255,9,0.75,1.07,1.37,3,15,90
2023-05-18T09:07:23Z,31.246529,-81.285202,8,0.63,0.90,1.10,3,16,91
2023-05-18T11:09:04Z,31.246519,-81.285202,4,0.67,1.12,1.31,3,16,90
2023-05-18T13:10:46Z,31.246525,-81.285225,8,0.67,0.94,1.14,3,16,90
2023-05-18T15:12:28Z,31.246565,-81.285210,6,0.69,1.08,1.28,3,16,90
2023-05-18T17:14:10Z,31.246540,-81.285187,8,0.71,1.05,1.27,3,14,91
2023-05-18T19:15:52Z,31.246567,-81.285210,7,0.71,1.23,1.42,3,14,90
2023-05-18T21:17:32Z,31.246534,-81.285217,10,0.83,1.56,1.77,3,13,90
2023-05-18T23:19:13Z,31.246544,-81.285233,14,0.89,1.20,1.49,3,12,90
2023-05-19T01:20:54Z,31.246534,-81.285225,5,0.64,0.88,1.09,3,16,90
2023-05-19T03:22:34Z,31.246531,-81.285202,6,0.60,1.11,1.26,3,17,90
2023-05-19T05:24:16Z,31.246548,-81.285233,8,0.65,0.91,1.11,3,17,90
2023-05-19T07:25:59Z,31.246519,-81.285202,5,0.75,0.98,1.24,3,14,90
2023-05-19T09:27:42Z,31.246538,-81.285202,7,0.66,1.09,1.28,3,16,90
2023-05-19T11:29:22Z,31.246540,-81.285210,5,0.65,1.12,1.31,3,16,90
2023-05-19T13:31:02Z,31.246532,-81.285217,7,0.74,1.02,1.25,3,15,90
2023-05-19T15:32:44Z,31.246563,-81.285225,7,0.73,1.11,1.33,3,15,90
2023-05-19T17:34:24Z,31.246546,-81.285217,6,0.75,1.22,1.43,3,12,90
2023-05-19T19:36:06Z,31.246544,-81.285240,11,0.72,1.49,1.65,3,13,90
2023-05-19T21:37:47Z,31.246571,-81.285202,14,0.73,1.07,1.30,3,14,90
2023-05-19T23:39:26Z,31.246555,-81.285233,12,0.69,0.99,1.21,3,16,90
2023-05-20T01:41:08Z,31.246515,-81.285202,12,0.74,1.25,1.45,3,14,90
2023-05-20T03:42:50Z,31.246569,-81.285187,9,0.63,1.10,1.27,3,16,90
2023-05-20T05:44:31Z,31.246578,-81.285172,10,0.65,0.84,1.06,3,16,90
2023-05-20T07:46:10Z,31.246582,-81.285179,10,0.78,1.05,1.30,3,14,90
2023-05-20T09:47:53Z,31.246559,-81.285187,9,0.71,1.26,1.44,3,15,90
2023-05-20T11:49:34Z,31.246584,-81.285248,-11,0.62,1.10,1.26,3,17,90
2023-05-20T13:51:15Z,31.246502,-81.285240,-14,0.89,1.10,1.42,3,14,90
2023-05-20T15:52:56Z,31.246534,-81.285225,4,0.70,0.90,1.13,3,15,90
2023-05-20T17:54:37Z,31.246517,-81.285217,0,0.69,1.06,1.26,3,15,90
2023-05-20T19:56:17Z,31.246529,-81.285225,0,0.69,1.15,1.35,3,16,90
2023-05-20T21:57:56Z,31.246521,-81.285202,5,0.78,1.23,1.45,3,14,90
2023-05-20T23:59:37Z,31.246532,-81.285240,4,0.85,1.33,1.58,3,13,90
2023-05-21T02:01:19Z,31.246576,-81.285172,16,0.74,1.35,1.54,3,14,90
2023-05-21T04:03:01Z,31.246529,-81.285240,2,0.72,1.11,1.33,3,15,90
2023-05-21T06:04:43Z,31.246548,-81.285233,6,0.68,0.94,1.15,3,16,90
2023-05-21T08:06:25Z,31.246536,-81.285202,5,0.81,1.12,1.39,3,14,90
2023-05-21T10:08:07Z,31.246525,-81.285210,5,0.63,0.99,1.17,3,17,90
2023-05-21T12:09:47Z,31.246531,-81.285187,5,0.61,1.20,1.34,3,16,90
2023-05-21T14:11:28Z,31.246550,-81.285225,-3,0.80,1.08,1.34,3,13,90
2023-05-21T16:13:09Z,31.246569,-81.285225,12,0.88,1.17,1.46,3,12,90
2023-05-21T18:14:49Z,31.246550,-81.285240,1,0.65,1.31,1.48,3,17,90
2023-05-21T20:16:29Z,31.246515,-81.285217,0,0.63,0.99,1.17,3,17,90
2023-05-21T22:18:08Z,31.246525,-81.285217,4,0.87,0.95,1.29,3,13,90
2023-05-22T00:19:47Z,31.246563,-81.285248,2,0.92,1.39,1.67,3,13,90
2023-05-22T02:21:28Z,31.246536,-81.285225,9,0.70,1.12,1.32,3,17,90
2023-05-22T04:23:09Z,31.246521,-81.285263,-1,0.70,1.12,1.33,3,16,90
2023-05-22T06:24:49Z,31.246540,-81.285217,7,0.76,0.89,1.17,3,14,90
2023-05-22T08:26:30Z,31.246525,-81.285210,6,0.63,0.88,1.09,3,17,90
2023-05-22T10:28:11Z,31.246515,-81.285217,-4,0.82,1.27,1.52,3,15,90
2023-05-22T12:29:50Z,31.246532,-81.285179,11,0.75,1.21,1.43,3,14,90
2023-05-22T14:31:29Z,31.246546,-81.285240,4,0.79,1.17,1.41,3,15,90
2023-05-22T16:33:10Z,31.246571,-81.285194,10,0.79,0.97,1.25,3,14,90
2023-05-22T18:34:52Z,31.246557,-81.285233,0,0.63,1.09,1.26,3,16,90
2023-05-22T20:36:32Z,31.246517,-81.285217,6,0.62,0.80,1.01,3,16,90
2023-05-22T22:38:11Z,31.246519,-81.285233,8,0.84,1.08,1.37,3,14,90
2023-05-23T00:39:49Z,31.246534,-81.285225,6,0.64,0.92,1.11,3,16,90
2023-05-23T02:41:27Z,31.246527,-81.285210,5,0.59,0.88,1.06,3,18,90
2023-05-23T04:43:07Z,31.246546,-81.285263,0,0.62,0.91,1.10,3,17,91
2023-05-23T06:44:46Z,31.246584,-81.285202,17,0.76,0.71,1.02,3,15,90
2023-05-23T08:46:25Z,31.246553,-81.285210,5,0.70,1.02,1.24,3,14,90
2023-05-23T10:48:05Z,31.246521,-81.285225,-1,0.69,1.11,1.31,3,15,90
2023-05-23T12:49:43Z,31.246548,-81.285202,3,0.60,0.85,1.04,3,18,90
2023-05-23T14:51:23Z,31.246574,-81.285225,1,0.86,1.30,1.56,3,14,90
2023-05-23T16:53:02Z,31.246576,-81.285187,-3,0.74,1.04,1.28,3,13,90
2023-05-23T18:54:43Z,31.246571,-81.285194,-1,0.71,1.50,1.66,3,13,90
2023-05-23T20:56:22Z,31.246567,-81.285225,4,0.68,1.04,1.24,3,17,90
2023-05-23T22:58:04Z,31.246513,-81.285210,12,0.75,1.06,1.30,3,15,90
2023-05-24T00:59:44Z,31.246569,-81.285225,2,0.66,0.92,1.12,3,15,90
2023-05-24T03:01:25Z,31.246523,-81.285217,6,0.61,1.13,1.30,3,17,90
2023-05-24T05:03:07Z,31.246561,-81.285255,7,0.70,1.04,1.25,3,15,90
2023-05-24T07:04:49Z,31.246555,-81.285225,3,0.84,1.14,1.42,3,13,90
2023-05-24T09:06:31Z,31.246559,-81.285202,6,0.64,1.06,1.24,3,16,90
2023-05-24T11:08:11Z,31.246534,-81.285202,7,0.64,1.22,1.38,3,16,90
2023-05-24T13:09:51Z,31.246557,-81.285187,7,0.85,1.24,1.51,3,13,90
2023-05-24T15:11:29Z,31.246557,-81.285210,2,0.69,0.99,1.21,3,16,90
2023-05-24T17:13:08Z,31.246534,-81.285225,1,0.73,1.29,1.48,3,14,90
2023-05-24T19:14:50Z,31.246550,-81.285210,7,0.73,1.34,1.53,3,14,90
2023-05-24T21:16:30Z,31.246525,-81.285202,12,0.89,1.42,1.68,3,13,90
2023-05-24T23:18:11Z,31.246553,-81.285225,8,0.72,1.03,1.26,3,14,91
2023-05-25T01:19:53Z,31.246536,-81.285202,12,0.84,1.23,1.49,3,13,90
2023-05-25T03:21:34Z,31.246540,-81.285225,7,0.69,1.31,1.48,3,15,90
2023-05-25T05:23:16Z,31.246561,-81.285240,3,0.69,0.89,1.12,3,15,90
2023-05-25T07:24:59Z,31.246569,-81.285217,5,0.76,1.01,1.27,3,14,90
2023-05-25T09:26:39Z,31.246553,-81.285187,10,0.70,1.23,1.42,3,15,90
2023-05-25T11:28:18Z,31.246550,-81.285179,1,0.57,1.09,1.24,3,18,90
2023-05-25T13:29:57Z,31.246534,-81.285233,-2,0.79,1.13,1.39,3,15,90
2023-05-25T15:31:36Z,31.246550,-81.285225,7,0.74,1.04,1.28,3,13,90
2023-05-25T17:33:15Z,31.246536,-81.285210,4,0.69,1.04,1.24,3,15,90
2023-05-25T19:34:55Z,31.246519,-81.285187,10,0.72,1.29,1.49,3,15,90
2023-05-25T21:36:34Z,31.246525,-81.285202,12,0.85,1.21,1.49,3,13,90
2023-05-25T23:38:17Z,31.246532,-81.285233,3,0.84,1.30,1.55,3,13,90
2023-05-26T01:39:57Z,31.246565,-81.285210,7,0.66,1.09,1.28,3,15,90
2023-05-26T03:41:36Z,31.246527,-81.285240,2,0.64,1.02,1.21,3,16,90
2023-05-26T05:43:16Z,31.246544,-81.285255,11,0.72,0.97,1.21,3,15,90
2023-05-26T07:44:55Z,31.246567,-81.285225,4,0.82,1.11,1.39,3,14,90
2023-05-26T09:46:35Z,31.246550,-81.285202,3,0.72,1.22,1.41,3,15,90
2023-05-26T11:48:16Z,31.246550,-81.285187,3,0.60,1.14,1.30,3,17,91
2023-05-26T13:49:55Z,31.246544,-81.285217,-4,0.83,1.12,1.40,3,15,90
2023-05-26T15:51:38Z,31.246538,-81.285233,6,0.79,1.03,1.29,3,14,90
2023-05-26T17:53:17Z,31.246569,-81.285233,0,0.69,1.22,1.40,3,16,91
2023-05-26T19:54:56Z,31.246538,-81.285233,1,0.72,1.05,1.27,3,13,90
2023-05-26T21:56:35Z,31.246536,-81.285194,6,0.81,0.87,1.18,3,15,90
2023-05-26T23:58:13Z,31.246544,-81.285225,9,0.87,1.53,1.76,3,13,90
2023-05-27T01:59:53Z,31.246534,-81.285240,4,0.56,0.95,1.11,3,18,91
2023-05-27T04:01:33Z,31.246527,-81.285233,-3,0.68,1.05,1.25,3,16,90
2023-05-27T06:03:13Z,31.246542,-81.285225,10,0.62,0.85,1.05,3,18,91
2023-05-27T08:04:53Z,31.246536,-81.285225,8,0.81,1.11,1.37,3,14,90
2023-05-27T10:06:32Z,31.246555,-81.285217,-1,0.65,1.02,1.21,3,18,90
2023-05-27T12:08:10Z,31.246532,-81.285194,8,0.61,0.97,1.13,3,18,90
