Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-22T14:18:34Z,39.000980,-74.913742,20,1.20,0.87,1.49,3,9,107
2022-02-23T21:39:06Z,39.000954,-74.913841,10,0.78,0.79,1.11,3,14,95
2023-05-06T18:42:06Z,31.247131,-81.285065,7,0.67,1.20,1.37,3,14,90
2023-05-06T20:43:48Z,31.247917,-81.284195,6,0.63,1.12,1.30,3,17,90
2023-05-06T22:45:30Z,31.247894,-81.284157,12,0.79,1.32,1.53,3,14,90
2023-05-07T00:47:13Z,31.247927,-81.284157,6,0.67,0.94,1.15,3,16,90
2023-05-07T02:48:55Z,31.247911,-81.284134,4,0.67,1.11,1.29,3,15,90
2023-05-07T04:50:37Z,31.247898,-81.284210,2,0.67,1.09,1.28,3,16,90
2023-05-07T06:52:19Z,31.247946,-81.284195,11,0.75,1.08,1.31,3,14,90
2023-05-07T08:54:01Z,31.247911,-81.284149,10,0.79,1.07,1.33,3,14,90
2023-05-07T10:55:43Z,31.247931,-81.284172,-1,0.62,0.98,1.15,3,17,90
2023-05-07T12:57:25Z,31.247911,-81.284164,0,0.59,1.06,1.22,3,17,90
2023-05-07T14:59:07Z,31.247921,-81.284172,-3,0.81,0.75,1.10,3,14,90
2023-05-07T17:00:49Z,31.247932,-81.284157,4,0.77,1.03,1.29,3,14,90
2023-05-07T19:02:31Z,31.247923,-81.284164,4,0.56,0.97,1.12,3,19,90
2023-05-07T21:04:13Z,31.247919,-81.284164,0,0.63,0.97,1.15,3,17,90
2023-05-07T23:05:55Z,31.247908,-81.284149,2,0.71,0.95,1.18,3,16,90
2023-05-08T01:07:37Z,31.247917,-81.284180,8,0.68,0.97,1.19,3,15,90
2023-05-08T03:09:19Z,31.247931,-81.284180,5,0.63,1.03,1.24,3,17,90
2023-05-08T05:11:01Z,31.247906,-81.284187,6,0.66,1.12,1.30,3,16,90
2023-05-08T07:12:44Z,31.247908,-81.284172,8,0.67,0.81,1.05,3,16,91
2023-05-08T09:14:26Z,31.247932,-81.284195,1,0.72,1.00,1.23,3,14,90
2023-05-08T11:16:08Z,31.247898,-81.284187,2,0.67,0.96,1.17,3,17,90
2023-05-08T13:17:46Z,31.247898,-81.284164,3,0.61,0.92,1.11,3,17,90
2023-05-08T15:19:27Z,31.247927,-81.284187,0,0.68,0.89,1.11,3,16,90
2023-05-08T17:21:10Z,31.247940,-81.284164,8,0.73,0.96,1.21,3,14,90
2023-05-08T19:22:52Z,31.247938,-81.284172,1,0.64,1.03,1.21,3,17,91
2023-05-08T21:24:34Z,31.247898,-81.284164,3,0.63,0.89,1.09,3,17,90
2023-05-08T23:26:13Z,31.247877,-81.284187,10,0.80,1.06,1.33,3,13,90
2023-05-09T01:27:55Z,31.247904,-81.284149,4,0.63,0.92,1.11,3,16,90
2023-05-09T03:29:37Z,31.247889,-81.284203,7,0.62,1.00,1.18,3,17,91
2023-05-09T05:31:16Z,31.247904,-81.284225,11,0.62,0.87,1.06,3,18,90
2023-05-09T07:32:59Z,31.247950,-81.284218,10,0.72,0.97,1.20,3,14,91
2023-05-09T09:34:38Z,31.247917,-81.284187,6,0.75,1.18,1.40,3,13,90
2023-05-09T11:36:20Z,31.247889,-81.284180,-1,0.70,1.00,1.22,3,16,90
2023-05-09T13:38:00Z,31.247894,-81.284172,8,0.71,0.94,1.18,3,16,90
2023-05-09T15:39:41Z,31.247929,-81.284187,0,0.74,1.11,1.34,3,15,90
2023-05-09T17:41:23Z,31.247931,-81.284172,10,0.84,1.19,1.45,3,12,90
2023-05-09T19:43:02Z,31.247904,-81.284187,6,0.67,1.29,1.45,3,15,90
2023-05-09T21:44:42Z,31.247904,-81.284180,5,0.67,0.91,1.12,3,15,90
2023-05-09T23:46:22Z,31.247911,-81.284210,11,0.83,1.21,1.46,3,13,90
2023-05-10T01:48:01Z,31.247931,-81.284195,6,0.57,0.86,1.04,3,18,90
2023-05-10T03:49:40Z,31.247915,-81.284210,4,0.64,1.01,1.19,3,15,90
