Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-15T21:03:20Z,39.000900,-74.913895,4,1.48,0.97,1.77,3,8,90
2022-02-17T14:44:57Z,39.001015,-74.913643,37,2.04,0.98,2.25,3,5,94
2022-03-03T14:42:09Z,39.000950,-74.913788,19,1.75,0.94,1.99,3,5,101
2022-03-03T16:29:47Z,39.000961,-74.913887,3,0.98,0.91,1.34,3,10,105
2022-03-03T18:31:46Z,39.001102,-74.913780,11,0.79,1.24,1.47,3,13,128
2022-03-03T20:34:35Z,39.000908,-74.913795,-6,0.83,1.84,2.06,3,12,120
2022-03-03T22:36:03Z,39.000916,-74.913719,24,1.36,0.85,1.60,3,8,91
2022-03-04T00:38:37Z,39.000938,-74.913803,9,0.85,0.84,1.19,3,12,90
2022-03-04T02:40:23Z,39.000992,-74.913849,16,1.41,0.88,1.66,3,8,90
2022-03-04T04:42:53Z,39.000973,-74.913734,-6,1.39,0.99,1.79,3,7,122
2022-03-04T06:44:53Z,39.000984,-74.913895,7,1.13,0.91,1.46,3,8,123
2022-03-04T08:47:37Z,39.000809,-74.913742,30,1.09,0.89,1.41,3,8,90
2022-03-04T10:49:40Z,39.000957,-74.913834,2,0.90,0.86,1.25,3,11,90
2022-03-04T12:51:41Z,39.000946,-74.913742,15,0.92,0.74,1.18,3,12,90
2022-03-04T14:53:04Z,39.000847,-74.913750,8,1.27,0.89,1.55,3,6,96
2022-03-04T16:55:23Z,39.000935,-74.913742,5,1.66,0.95,1.91,3,6,92
2022-03-04T18:57:57Z,39.000881,-74.913780,14,0.97,0.80,1.26,3,9,90
2022-03-04T21:00:31Z,39.000946,-74.913826,5,0.91,0.79,1.24,3,13,119
1999-11-30T00:00:00Z,0.000000,0.000000,0,0.00,0.00,0.00,0,0,10
2023-05-12T16:36:40Z,31.252205,-81.278496,11,0.86,1.20,1.48,3,11,90
2023-05-12T18:38:22Z,31.252220,-81.278488,3,0.69,1.10,1.30,3,14,90
2023-05-12T20:40:00Z,31.252182,-81.278465,5,0.65,0.98,1.18,3,16,90
2023-05-12T22:41:40Z,31.252178,-81.278458,0,0.77,1.13,1.37,3,15,90
2023-05-13T00:43:18Z,31.252136,-81.278465,4,0.79,1.11,1.44,3,13,90
2023-05-13T02:44:56Z,31.252142,-81.278450,3,0.68,1.18,1.36,3,16,90
2023-05-13T04:46:34Z,31.252150,-81.278481,0,0.68,1.13,1.32,3,15,90
2023-05-13T06:48:12Z,31.252172,-81.278503,12,0.71,1.06,1.27,3,16,90
2023-05-13T08:49:51Z,31.252188,-81.278465,2,0.63,0.80,1.02,3,16,90
2023-05-13T10:51:30Z,31.252176,-81.278488,3,0.63,0.98,1.17,3,17,90
2023-05-13T12:53:08Z,31.252176,-81.278458,0,0.71,1.18,1.38,3,13,90
2023-05-13T14:54:47Z,31.252161,-81.278473,5,0.66,0.87,1.09,3,17,90
2023-05-13T16:56:26Z,31.252195,-81.278473,9,0.77,0.97,1.24,3,13,90
2023-05-13T18:58:09Z,31.252159,-81.278450,8,0.68,1.19,1.37,3,16,90
2023-05-13T20:59:47Z,31.252169,-81.278496,2,0.67,0.99,1.19,3,16,90
2023-05-13T23:01:26Z,31.252192,-81.278503,20,0.85,1.21,1.48,3,13,90
2023-05-14T01:03:06Z,31.252211,-81.278481,14,0.62,0.85,1.05,3,17,90
2023-05-14T03:04:46Z,31.252172,-81.278465,4,0.69,1.18,1.36,3,15,90
2023-05-14T05:06:25Z,31.252159,-81.278465,6,0.84,1.17,1.44,3,15,90
2023-05-14T07:08:08Z,31.252201,-81.278465,6,0.66,0.85,1.08,3,16,90
2023-05-14T09:09:46Z,31.252159,-81.278442,10,0.69,1.10,1.30,3,15,90
2023-05-14T11:11:25Z,31.252146,-81.278488,4,0.67,0.91,1.12,3,15,91
2023-05-14T13:13:04Z,31.252157,-81.278450,8,0.63,0.95,1.13,3,17,90
2023-05-14T15:14:45Z,31.252190,-81.278481,1,0.75,1.11,1.34,3,15,90
2023-05-14T17:16:23Z,31.252176,-81.278412,15,0.77,1.09,1.34,3,13,90
2023-05-14T19:18:01Z,31.252157,-81.278458,10,0.64,1.00,1.19,3,17,90
2023-05-14T21:19:39Z,31.252171,-81.278450,13,0.74,1.23,1.44,3,15,90
2023-05-14T23:21:18Z,31.252192,-81.278481,14,0.73,1.03,1.27,3,15,90
2023-05-15T01:23:01Z,31.252153,-81.278473,7,0.59,0.88,1.06,3,17,90
2023-05-15T03:24:40Z,31.252150,-81.278481,10,0.66,1.19,1.37,3,15,90
2023-05-15T05:26:23Z,31.252157,-81.278481,9,0.75,1.18,1.40,3,15,90
2023-05-15T07:28:01Z,31.252214,-81.278473,6,0.76,0.65,1.01,3,13,90
2023-05-15T09:29:39Z,31.252193,-81.278458,8,0.62,0.91,1.10,3,17,90
2023-05-15T11:31:18Z,31.252199,-81.278442,2,0.57,0.97,1.12,3,18,90
2023-05-15T13:32:57Z,31.252182,-81.278473,5,0.69,1.00,1.21,3,16,90
2023-05-15T15:34:36Z,31.252190,-81.278458,11,0.69,1.00,1.21,3,16,90
2023-05-15T17:36:18Z,31.252176,-81.278442,7,0.75,0.96,1.22,3,13,90
2023-05-15T19:38:01Z,31.252197,-81.278465,14,0.68,1.31,1.49,3,14,90
2023-05-15T21:39:39Z,31.252182,-81.278450,2,0.82,1.21,1.47,3,13,90
2023-05-15T23:41:17Z,31.252150,-81.278473,15,0.76,1.11,1.36,3,14,90
2023-05-16T01:42:56Z,31.252186,-81.278465,8,0.66,0.88,1.11,3,15,90
2023-05-16T03:44:34Z,31.252138,-81.278465,6,0.61,1.07,1.23,3,17,90
2023-05-16T05:46:13Z,31.252165,-81.278481,7,0.63,0.89,1.09,3,17,90
2023-05-16T07:47:52Z,31.252209,-81.278442,3,0.80,0.96,1.25,3,14,90
2023-05-16T09:49:30Z,31.252184,-81.278481,7,0.69,1.04,1.25,3,14,90
2023-05-16T11:51:13Z,31.252161,-81.278473,7,0.62,1.11,1.28,3,16,90
2023-05-16T13:52:54Z,31.252151,-81.278458,7,0.78,1.03,1.29,3,14,90
2023-05-16T15:54:37Z,31.252174,-81.278473,10,0.87,1.27,1.54,3,13,90
2023-05-16T19:57:56Z,31.252184,-81.278481,6,0.64,1.11,1.29,3,16,90
2023-05-16T21:59:34Z,31.252134,-81.278465,16,0.72,1.11,1.33,3,13,90
2023-05-17T00:01:12Z,31.252214,-81.278465,8,0.73,1.02,1.25,3,13,90
2023-05-17T02:02:55Z,31.252159,-81.278465,12,0.86,1.24,1.51,3,14,90
2023-05-17T04:04:37Z,31.252165,-81.278488,8,0.60,1.01,1.18,3,17,90
2023-05-17T06:06:19Z,31.252144,-81.278496,18,0.77,1.19,1.42,3,14,90
2023-05-17T08:08:02Z,31.252193,-81.278488,2,0.76,1.10,1.34,3,13,90
2023-05-17T10:09:45Z,31.252167,-81.278473,4,0.65,1.05,1.23,3,16,90
2023-05-17T12:11:23Z,31.252159,-81.278465,0,0.59,1.33,1.46,3,16,90
2023-05-17T14:13:02Z,31.252131,-81.278458,2,0.91,0.92,1.18,3,13,90
2023-05-17T16:14:45Z,31.252192,-81.278473,12,0.77,1.03,1.29,3,13,90
2023-05-17T18:16:28Z,31.252207,-81.278427,1,0.62,1.08,1.24,3,16,90
2023-05-17T20:18:06Z,31.252157,-81.278473,10,0.69,0.98,1.20,3,14,90
2023-05-17T22:19:45Z,31.252172,-81.278458,12,0.85,1.27,1.53,3,13,91
2023-05-18T00:21:24Z,31.252188,-81.278442,13,0.73,1.12,1.35,3,14,90
2023-05-18T02:23:02Z,31.252140,-81.278458,9,0.63,1.07,1.24,3,16,90
2023-05-18T04:24:41Z,31.252132,-81.278473,5,0.64,1.04,1.22,3,18,90
2023-05-18T06:26:20Z,31.252174,-81.278473,9,0.76,1.09,1.33,3,15,90
2023-05-18T08:27:59Z,31.252171,-81.278450,5,0.66,0.85,1.08,3,15,90
2023-05-18T10:29:39Z,31.252167,-81.278473,4,0.64,1.03,1.22,3,17,90
2023-05-18T12:31:19Z,31.252159,-81.278465,6,0.62,1.03,1.21,3,17,90
2023-05-18T14:33:00Z,31.252167,-81.278442,6,0.68,0.88,1.11,3,16,90
2023-05-18T16:34:38Z,31.252192,-81.278435,12,0.70,0.95,1.18,3,14,90
2023-05-18T18:36:16Z,31.252167,-81.278442,8,0.72,1.21,1.41,3,14,90
2023-05-18T20:37:55Z,31.252163,-81.278473,7,0.70,1.10,1.30,3,15,90
2023-05-18T22:39:34Z,31.252199,-81.278435,12,0.84,1.12,1.41,3,13,90
2023-05-19T00:41:12Z,31.252176,-81.278465,7,0.64,0.92,1.11,3,16,90
2023-05-19T02:42:54Z,31.252169,-81.278488,7,0.64,1.13,1.31,3,17,90
2023-05-19T04:44:32Z,31.252174,-81.278511,10,0.73,1.07,1.29,3,16,90
2023-05-19T06:46:10Z,31.252186,-81.278481,5,0.64,0.85,1.07,3,17,90
2023-05-19T08:47:52Z,31.252172,-81.278442,0,0.79,1.19,1.42,3,14,90
2023-05-19T10:49:35Z,31.252197,-81.278511,-6,0.78,1.26,1.48,3,15,90
2023-05-19T12:51:15Z,31.252165,-81.278458,4,0.62,0.86,1.06,3,18,90
2023-05-19T14:52:57Z,31.252216,-81.278496,4,0.73,1.19,1.39,3,14,90
2023-05-19T16:54:40Z,31.252228,-81.278458,15,0.76,0.68,1.01,3,13,90
2023-05-19T18:56:21Z,31.252192,-81.278458,7,0.67,1.12,1.32,3,15,90
2023-05-19T20:57:59Z,31.252150,-81.278404,3,0.73,0.75,1.03,3,14,90
2023-05-19T22:59:38Z,31.252188,-81.278488,9,0.73,1.04,1.27,3,15,90
2023-05-20T01:01:16Z,31.252174,-81.278488,9,0.61,0.89,1.08,3,17,90
2023-05-20T03:02:58Z,31.252203,-81.278481,9,0.65,1.19,1.36,3,16,90
2023-05-20T05:04:40Z,31.252167,-81.278481,11,0.65,1.04,1.23,3,17,90
2023-05-20T07:06:22Z,31.252184,-81.278442,11,0.72,0.64,0.96,3,14,90
2023-05-20T09:08:01Z,31.252205,-81.278427,3,0.63,0.93,1.12,3,17,90
2023-05-20T11:09:39Z,31.252197,-81.278488,-11,0.66,1.11,1.29,3,15,90
2023-05-20T13:11:18Z,31.252155,-81.278465,9,0.69,0.88,1.11,3,16,90
2023-05-20T15:12:58Z,31.252178,-81.278465,-2,0.70,0.96,1.19,3,14,90
2023-05-20T17:14:36Z,31.252142,-81.278465,8,0.81,1.10,1.37,3,12,90
2023-05-20T19:16:15Z,31.252167,-81.278488,7,0.68,1.23,1.40,3,15,90
2023-05-20T21:17:53Z,31.252115,-81.278503,17,0.70,0.77,1.03,3,14,90
2023-05-20T23:19:35Z,31.252203,-81.278481,2,0.67,0.89,1.11,3,16,90
2023-05-21T01:21:14Z,31.252172,-81.278488,3,0.61,0.88,1.07,3,17,90
2023-05-21T03:22:53Z,31.252111,-81.278465,9,0.61,1.15,1.31,3,16,90
2023-05-21T05:24:33Z,31.252138,-81.278503,14,0.63,0.89,1.09,3,16,90
2023-05-21T07:26:12Z,31.252192,-81.278435,10,0.83,0.77,1.13,3,13,90
2023-05-21T09:27:54Z,31.252134,-81.278503,11,0.62,1.14,1.32,3,16,90
2023-05-21T11:29:33Z,31.252165,-81.278450,-2,0.60,1.11,1.27,3,17,90
2023-05-21T13:31:11Z,31.252180,-81.278496,1,0.69,1.00,1.21,3,15,90
2023-05-21T15:32:49Z,31.252159,-81.278488,8,0.68,0.90,1.12,3,15,90
2023-05-21T17:34:27Z,31.252192,-81.278458,0,0.65,1.10,1.28,3,15,90
2023-05-21T19:36:10Z,31.252180,-81.278465,7,0.63,1.08,1.25,3,16,90
2023-05-21T21:37:48Z,31.252163,-81.278442,10,0.69,0.97,1.19,3,15,90
2023-05-21T23:39:27Z,31.252209,-81.278450,10,0.77,1.15,1.39,3,14,90
2023-05-22T01:41:06Z,31.252184,-81.278496,13,0.92,1.54,1.79,3,11,90
2023-05-22T03:42:44Z,31.252150,-81.278496,5,0.65,1.02,1.21,3,15,90
2023-05-22T05:44:27Z,31.252171,-81.278511,12,0.72,1.02,1.25,3,15,90
2023-05-22T07:46:10Z,31.252203,-81.278465,7,0.75,1.12,1.35,3,14,90
2023-05-22T09:47:49Z,31.252192,-81.278458,1,0.72,1.10,1.32,3,14,90
2023-05-22T11:49:27Z,31.252209,-81.278473,-2,0.60,1.19,1.33,3,17,90
2023-05-22T13:51:05Z,31.252157,-81.278473,-4,0.79,1.06,1.32,3,15,90
2023-05-22T15:52:43Z,31.252184,-81.278496,9,0.77,1.02,1.28,3,13,90
2023-05-22T17:54:25Z,31.252172,-81.278473,6,0.64,1.11,1.29,3,15,91
2023-05-22T19:56:03Z,31.252176,-81.278481,4,0.59,0.93,1.10,3,18,90
2023-05-22T21:57:41Z,31.252197,-81.278481,13,0.86,1.23,1.50,3,14,90
2023-05-22T23:59:20Z,31.252163,-81.278465,6,0.71,1.00,1.22,3,15,90
2023-05-23T02:01:02Z,31.252150,-81.278465,1,0.73,1.25,1.45,3,13,90
2023-05-23T04:02:42Z,31.252171,-81.278488,-4,0.66,1.11,1.30,3,16,90
2023-05-23T06:04:24Z,31.252190,-81.278503,11,0.76,1.08,1.32,3,15,90
2023-05-23T08:06:06Z,31.252195,-81.278496,6,0.74,0.97,1.22,3,14,90
2023-05-23T10:07:48Z,31.252182,-81.278458,2,0.66,1.03,1.23,3,16,90
2023-05-23T12:09:26Z,31.252180,-81.278458,0,0.59,1.04,1.20,3,18,90
2023-05-23T14:11:04Z,31.252174,-81.278473,0,0.73,0.91,1.17,3,15,90
2023-05-23T16:12:42Z,31.252214,-81.278442,4,0.66,0.95,1.14,3,15,90
2023-05-23T18:14:22Z,31.252174,-81.278450,14,0.79,1.48,1.68,3,15,90
2023-05-23T20:16:01Z,31.252220,-81.278450,6,0.70,1.12,1.35,3,15,90
2023-05-23T22:17:41Z,31.252197,-81.278511,20,0.70,0.90,1.13,3,16,91
2023-05-24T00:19:24Z,31.252184,-81.278442,7,0.73,1.19,1.40,3,14,90
2023-05-24T02:21:02Z,31.252178,-81.278473,10,0.61,1.05,1.21,3,16,90
2023-05-24T04:22:40Z,31.252165,-81.278534,15,0.75,0.79,1.09,3,15,90
2023-05-24T06:25:21Z,31.252186,-81.278488,7,0.74,0.98,1.23,3,15,90
2023-05-24T08:26:59Z,31.252188,-81.278435,7,0.75,1.23,1.44,3,13,90
2023-05-24T10:28:37Z,31.252178,-81.278473,0,0.77,1.21,1.44,3,14,90
2023-05-24T12:30:16Z,31.252172,-81.278465,8,0.67,1.05,1.25,3,17,91
2023-05-24T14:31:54Z,31.252184,-81.278465,5,0.71,1.18,1.38,3,15,90
2023-05-24T16:33:37Z,31.252188,-81.278473,19,0.84,1.20,1.47,3,12,90
2023-05-24T18:35:15Z,31.252192,-81.278488,1,0.66,1.33,1.49,3,15,90
2023-05-24T20:36:53Z,31.252190,-81.278473,5,0.77,1.25,1.47,3,15,90
2023-05-24T22:38:34Z,31.252213,-81.278465,14,0.77,0.74,1.07,3,13,90
2023-05-25T00:40:12Z,31.252197,-81.278473,0,0.62,0.91,1.10,3,16,90
2023-05-25T02:41:51Z,31.252186,-81.278458,3,0.61,0.99,1.15,3,16,90
2023-05-25T04:43:31Z,31.252153,-81.278473,4,0.64,0.99,1.18,3,17,90
2023-05-25T06:45:11Z,31.252209,-81.278473,9,0.68,0.83,1.07,3,15,90
2023-05-25T08:46:50Z,31.252169,-81.278435,14,0.73,1.19,1.39,3,16,90
2023-05-25T10:48:30Z,31.252190,-81.278450,0,0.62,0.96,1.13,3,17,90
2023-05-25T12:50:10Z,31.252161,-81.278442,6,0.68,0.97,1.19,3,15,90
2023-05-25T14:51:50Z,31.252140,-81.278481,4,0.83,1.14,1.41,3,13,90
2023-05-25T16:53:28Z,31.252169,-81.278442,2,0.77,1.00,1.26,3,12,90
2023-05-25T18:55:06Z,31.252161,-81.278481,11,0.69,1.45,1.60,3,15,90
2023-05-25T20:56:46Z,31.252151,-81.278458,7,0.95,1.60,1.86,3,12,90
2023-05-25T22:58:25Z,31.252188,-81.278473,8,0.79,1.23,1.46,3,13,91
2023-05-26T01:00:03Z,31.252184,-81.278481,6,0.61,0.85,1.05,3,17,90
2023-05-26T03:01:43Z,31.252142,-81.278465,0,0.61,1.14,1.30,3,17,91
2023-05-26T05:03:25Z,31.252186,-81.278488,9,0.64,0.90,1.10,3,17,90
2023-05-26T07:05:04Z,31.252190,-81.278481,12,0.87,0.68,1.04,3,13,90
2023-05-26T09:06:43Z,31.252184,-81.278450,4,0.65,1.06,1.24,3,16,90
2023-05-26T11:08:23Z,31.252193,-81.278465,2,0.64,1.11,1.29,3,16,90
2023-05-26T13:10:06Z,31.252169,-81.278488,4,0.70,0.98,1.20,3,16,90
2023-05-26T15:11:44Z,31.252150,-81.278465,3,0.69,0.89,1.12,3,15,90
2023-05-26T17:13:23Z,31.252155,-81.278458,3,0.73,0.76,1.05,3,12,90
2023-05-26T19:15:06Z,31.252190,-81.278496,9,0.67,1.10,1.28,3,15,90
2023-05-26T21:16:45Z,31.252184,-81.278488,2,0.70,1.64,1.90,3,13,90
2023-05-26T23:18:23Z,31.252199,-81.278488,6,0.76,1.08,1.33,3,14,90
2023-05-27T01:20:01Z,31.252169,-81.278465,7,0.73,1.08,1.30,3,13,90
2023-05-27T03:21:41Z,31.252165,-81.278511,3,0.65,1.06,1.24,3,17,90
2023-05-27T05:23:20Z,31.252174,-81.278511,12,0.73,1.08,1.30,3,16,90
2023-05-27T07:25:00Z,31.252172,-81.278488,1,0.77,1.10,1.34,3,13,90
2023-05-27T09:26:40Z,31.252186,-81.278473,7,0.70,1.24,1.45,3,14,90
2023-05-27T11:28:20Z,31.252184,-81.278450,0,0.60,1.20,1.35,3,17,91
2023-05-27T13:30:03Z,31.252157,-81.278473,-6,0.82,1.14,1.41,3,15,90
2023-05-27T15:31:41Z,31.252172,-81.278465,3,0.80,1.06,1.33,3,13,90
2023-05-27T17:33:19Z,31.252172,-81.278442,5,0.63,1.08,1.27,3,15,90
2023-05-27T19:34:59Z,31.252171,-81.278465,8,0.65,0.96,1.15,3,15,90
