Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-07T14:07:24Z,39.000912,-74.914001,18,1.89,0.00,1.00,1,7,109
2022-02-18T13:54:25Z,39.001022,-74.913780,46,1.71,0.98,1.97,3,7,98
2022-02-18T15:56:37Z,39.001045,-74.913757,12,0.79,1.32,1.54,3,13,95
2022-02-18T17:58:14Z,39.001091,-74.913765,10,0.79,1.17,1.41,3,14,113
2022-02-18T20:01:03Z,39.000950,-74.913795,28,0.91,0.75,1.18,3,11,116
2080-01-05T23:59:43Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,5
2023-05-12T16:40:42Z,31.254644,-81.279778,24,0.85,1.20,1.47,3,11,90
2023-05-12T18:42:21Z,31.254669,-81.279793,0,0.61,0.98,1.14,3,17,90
2023-05-12T20:44:00Z,31.254614,-81.279785,6,0.63,0.96,1.14,3,17,90
2023-05-12T22:45:40Z,31.254622,-81.279778,6,0.77,1.02,1.28,3,14,90
2023-05-13T00:47:20Z,31.254610,-81.279762,12,0.87,1.05,1.36,3,13,90
2023-05-13T02:49:00Z,31.254612,-81.279785,6,0.63,1.02,1.20,3,17,90
2023-05-13T04:50:39Z,31.254606,-81.279739,2,0.68,1.18,1.36,3,16,90
2023-05-13T06:52:19Z,31.254633,-81.279785,4,0.63,0.88,1.08,3,17,90
2023-05-13T08:54:00Z,31.254639,-81.279762,6,0.69,0.95,1.18,3,15,91
2023-05-13T10:55:39Z,31.254629,-81.279755,1,0.67,0.98,1.18,3,15,90
2023-05-13T12:57:18Z,31.254620,-81.279747,2,0.56,0.96,1.11,3,19,90
2023-05-13T14:58:56Z,31.254644,-81.279800,4,0.70,0.90,1.13,3,15,90
2023-05-13T17:00:34Z,31.254631,-81.279770,8,0.86,1.02,1.34,3,12,90
2023-05-13T19:02:13Z,31.254646,-81.279770,1,0.68,1.21,1.39,3,16,90
2023-05-13T21:03:51Z,31.254599,-81.279778,3,0.61,0.93,1.11,3,17,90
2023-05-13T23:05:29Z,31.254637,-81.279762,12,0.77,1.07,1.32,3,14,90
2023-05-14T01:07:07Z,31.254665,-81.279732,4,0.64,0.90,1.10,3,16,90
2023-05-14T03:08:46Z,31.254608,-81.279785,2,0.61,0.97,1.14,3,17,91
2023-05-14T05:10:25Z,31.254631,-81.279793,3,0.63,1.08,1.28,3,17,90
2023-05-14T07:12:04Z,31.254629,-81.279816,10,0.65,0.89,1.11,3,16,90
2023-05-14T09:13:42Z,31.254578,-81.279716,14,0.69,1.10,1.30,3,15,90
2023-05-14T11:15:22Z,31.254595,-81.279755,7,0.65,0.81,1.04,3,17,90
2023-05-14T13:17:01Z,31.254601,-81.279770,5,0.60,0.87,1.06,3,17,90
2023-05-14T15:18:41Z,31.254618,-81.279793,5,0.70,1.06,1.27,3,16,90
2023-05-14T17:20:21Z,31.254652,-81.279747,8,0.73,1.03,1.26,3,15,90
2023-05-14T19:22:00Z,31.254606,-81.279770,7,0.72,1.21,1.40,3,15,90
2023-05-14T21:23:40Z,31.254623,-81.279762,14,0.63,0.94,1.12,3,17,90
2023-05-14T23:25:19Z,31.254635,-81.279755,15,0.78,1.17,1.48,3,14,90
2023-05-15T01:26:59Z,31.254622,-81.279770,9,0.57,0.82,1.01,3,18,90
2023-05-15T03:28:38Z,31.254568,-81.279770,13,0.63,1.00,1.18,3,16,90
2023-05-15T05:30:18Z,31.254612,-81.279785,11,0.60,0.88,1.07,3,18,90
2023-05-15T07:31:57Z,31.254642,-81.279739,8,0.80,0.93,1.23,3,13,90
2023-05-15T09:33:37Z,31.254637,-81.279770,8,0.66,1.02,1.22,3,15,90
2023-05-15T11:35:15Z,31.254620,-81.279770,0,0.68,1.03,1.23,3,15,90
2023-05-15T13:36:54Z,31.254616,-81.279747,8,0.69,0.96,1.18,3,16,90
2023-05-15T15:38:33Z,31.254658,-81.279762,6,0.72,0.95,1.19,3,15,90
2023-05-15T17:40:12Z,31.254656,-81.279755,9,0.63,0.94,1.13,3,16,90
2023-05-15T19:41:52Z,31.254641,-81.279785,6,0.62,1.13,1.30,3,16,90
2023-05-15T21:43:31Z,31.254597,-81.279755,17,0.86,1.32,1.57,3,14,90
2023-05-15T23:45:11Z,31.254646,-81.279755,13,0.81,1.09,1.35,3,14,90
2023-05-16T01:46:50Z,31.254616,-81.279770,9,0.68,0.86,1.10,3,16,90
2023-05-16T03:48:29Z,31.254595,-81.279785,5,0.59,1.03,1.19,3,18,90
2023-05-16T05:50:09Z,31.254599,-81.279785,13,0.63,0.90,1.10,3,17,90
