Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-07T14:30:06Z,39.001064,-74.913879,4,2.64,0.94,2.81,3,6,91
2022-03-14T15:21:49Z,39.000999,-74.913818,29,0.76,0.90,1.20,3,12,108
2022-03-14T17:24:14Z,39.001099,-74.913811,9,0.75,1.34,1.54,3,14,105
2022-03-14T19:25:51Z,39.000923,-74.913734,19,1.09,0.90,1.42,3,9,113
2022-03-14T21:28:30Z,39.000942,-74.913795,10,1.26,0.80,1.49,3,9,90
2022-03-14T23:29:36Z,39.000965,-74.913841,6,1.06,0.85,1.36,3,8,91
2022-03-15T01:32:38Z,39.000923,-74.913841,27,0.76,0.79,1.10,3,12,90
2022-03-15T03:34:52Z,39.000881,-74.913780,32,0.95,1.02,1.40,3,12,120
2022-03-15T05:36:58Z,39.000916,-74.913773,14,0.98,0.81,1.20,3,11,90
2022-03-15T07:38:33Z,39.000935,-74.913864,-4,1.28,0.91,1.57,3,8,119
2022-03-15T09:40:52Z,39.000935,-74.913849,8,1.01,0.87,1.33,3,9,90
2022-03-15T11:42:44Z,39.001015,-74.913841,0,1.54,0.93,1.80,3,8,90
2080-01-05T23:59:43Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,5
2023-05-12T16:19:56Z,31.251160,-81.281525,26,0.75,1.13,1.37,3,12,90
2023-05-12T18:21:36Z,31.251143,-81.281441,11,0.80,0.76,1.10,3,13,90
2023-05-12T20:23:17Z,31.251144,-81.281525,16,0.70,1.05,1.26,3,14,90
2023-05-12T22:24:58Z,31.251123,-81.281525,21,0.78,1.23,1.45,3,14,90
2023-05-13T00:26:39Z,31.251148,-81.281509,20,0.73,1.06,1.29,3,14,90
2023-05-13T02:28:19Z,31.251123,-81.281502,19,0.82,1.36,1.59,3,12,90
2023-05-13T04:30:01Z,31.251108,-81.281540,9,0.61,1.03,1.20,3,17,90
2023-05-13T06:31:43Z,31.251120,-81.281540,21,0.78,1.23,1.46,3,14,90
2023-05-13T08:33:23Z,31.251148,-81.281494,12,0.86,1.22,1.49,3,13,91
2023-05-13T10:35:04Z,31.251154,-81.281517,14,0.62,1.03,1.20,3,17,90
2023-05-13T12:36:44Z,31.251131,-81.281525,10,0.61,1.22,1.37,3,16,90
2023-05-13T14:38:23Z,31.251108,-81.281502,-6,0.89,0.79,1.18,3,12,90
2023-05-13T16:40:03Z,31.251148,-81.281494,8,0.86,1.04,1.35,3,11,90
2023-05-13T18:41:43Z,31.251135,-81.281494,9,0.59,0.98,1.13,3,18,90
2023-05-13T20:43:24Z,31.251144,-81.281540,3,0.70,0.70,0.99,3,14,90
2023-05-13T22:45:06Z,31.251135,-81.281509,12,0.89,1.15,1.46,3,13,90
2023-05-14T00:46:49Z,31.251089,-81.281464,10,0.85,0.72,1.11,3,13,90
2023-05-14T02:48:30Z,31.251104,-81.281502,7,0.77,1.14,1.39,3,12,90
2023-05-14T04:50:10Z,31.251110,-81.281517,6,0.76,1.23,1.45,3,15,91
2023-05-14T06:51:50Z,31.251135,-81.281509,14,0.72,0.88,1.13,3,15,90
2023-05-14T08:53:31Z,31.251143,-81.281464,7,0.71,1.08,1.29,3,14,90
2023-05-14T10:55:11Z,31.251129,-81.281502,6,0.87,1.38,1.63,3,14,90
2023-05-14T12:56:52Z,31.251093,-81.281509,10,0.70,1.22,1.40,3,14,90
2023-05-14T14:58:31Z,31.251141,-81.281517,3,0.83,0.90,1.23,3,14,90
2023-05-14T17:00:10Z,31.251169,-81.281471,11,0.78,0.95,1.23,3,13,91
2023-05-14T19:01:50Z,31.251120,-81.281487,12,0.67,1.05,1.24,3,14,90
2023-05-14T21:03:30Z,31.251139,-81.281525,13,0.83,1.18,1.44,3,14,90
2023-05-14T23:05:10Z,31.251135,-81.281502,14,0.82,1.08,1.36,3,14,90
2023-05-15T01:06:50Z,31.251135,-81.281494,5,0.67,0.89,1.11,3,16,90
2023-05-15T03:08:29Z,31.251095,-81.281509,8,1.03,1.29,1.65,3,10,90
2023-05-15T05:10:08Z,31.251125,-81.281494,7,0.63,0.94,1.12,3,18,90
2023-05-15T07:11:47Z,31.251163,-81.281487,10,0.73,0.87,1.11,3,13,90
2023-05-15T09:13:30Z,31.251085,-81.281464,3,0.74,1.20,1.41,3,13,90
2023-05-15T11:15:08Z,31.251146,-81.281509,7,0.73,0.92,1.17,3,15,90
2023-05-15T13:16:48Z,31.251104,-81.281479,9,0.64,0.91,1.11,3,17,90
2023-05-15T15:18:29Z,31.251169,-81.281517,6,0.95,1.25,1.57,3,11,90
2023-05-15T17:20:09Z,31.251144,-81.281471,16,0.71,0.91,1.14,3,14,90
2023-05-15T19:21:48Z,31.251127,-81.281487,10,0.66,1.31,1.47,3,16,90
2023-05-15T21:23:28Z,31.251165,-81.281494,6,0.70,1.11,1.32,3,16,90
2023-05-15T23:25:11Z,31.251129,-81.281487,11,0.87,1.21,1.49,3,13,90
2023-05-16T01:26:50Z,31.251127,-81.281487,8,0.66,0.93,1.13,3,15,90
2023-05-16T03:28:32Z,31.251097,-81.281525,5,0.69,0.73,1.01,3,14,90
2023-05-16T05:30:12Z,31.251110,-81.281509,9,0.71,1.08,1.30,3,16,90
2023-05-16T07:31:52Z,31.251144,-81.281509,5,0.93,1.21,1.53,3,12,90
2023-05-16T09:33:32Z,31.251135,-81.281487,9,0.80,1.07,1.34,3,13,90
2023-05-16T11:35:11Z,31.251102,-81.281494,-1,0.63,0.72,0.95,3,16,90
2023-05-16T13:36:50Z,31.251097,-81.281479,6,0.71,0.93,1.17,3,15,90
2023-05-16T15:38:31Z,31.251160,-81.281532,8,0.66,0.94,1.14,3,16,90
2023-05-16T17:40:13Z,31.251125,-81.281456,6,0.78,1.21,1.44,3,14,90
2023-05-16T19:41:53Z,31.251137,-81.281502,7,0.61,1.70,1.32,3,17,91
2023-05-16T21:43:34Z,31.251143,-81.281494,16,0.87,1.40,1.65,3,12,90
2023-05-16T23:45:14Z,31.251152,-81.281517,15,1.06,0.77,1.31,3,9,90
2023-05-17T01:46:53Z,31.251116,-81.281479,8,0.77,1.09,1.33,3,13,90
2023-05-17T03:48:34Z,31.251127,-81.281502,7,0.57,1.02,1.18,3,18,90
2023-05-17T05:50:14Z,31.251144,-81.281548,12,0.63,0.92,1.11,3,16,90
2023-05-17T07:51:54Z,31.251152,-81.281494,8,0.79,1.13,1.39,3,12,90
2023-05-17T09:53:34Z,31.251143,-81.281502,9,0.84,1.33,1.57,3,11,91
2023-05-17T11:55:14Z,31.251141,-81.281502,-4,0.60,1.22,1.36,3,16,90
2023-05-17T13:56:54Z,31.251120,-81.281479,4,0.74,0.97,1.22,3,15,90
2023-05-17T15:58:33Z,31.251143,-81.281494,9,0.65,0.81,1.04,3,16,90
2023-05-17T18:00:13Z,31.251165,-81.281479,5,0.72,0.76,1.05,3,13,90
2023-05-17T20:01:52Z,31.251139,-81.281464,5,0.65,0.97,1.17,3,15,91
2023-05-17T22:03:31Z,31.251120,-81.281494,9,0.85,1.27,1.52,3,12,90
2023-05-18T00:05:10Z,31.251129,-81.281509,9,0.78,0.74,1.29,3,13,90
2023-05-18T02:06:52Z,31.251078,-81.281494,12,0.76,1.34,1.54,3,14,90
2023-05-18T04:08:33Z,31.251095,-81.281525,3,0.61,1.05,1.22,3,17,90
2023-05-18T06:10:13Z,31.251125,-81.281548,21,0.74,1.11,1.34,3,15,90
2023-05-18T08:11:54Z,31.251150,-81.281494,11,0.88,1.22,1.51,3,13,90
2023-05-18T10:13:35Z,31.251144,-81.281502,7,0.61,0.99,1.15,3,17,90
2023-05-18T12:15:17Z,31.251106,-81.281479,1,0.60,1.18,1.33,3,17,90
2023-05-18T14:16:57Z,31.251118,-81.281509,5,0.88,1.27,1.54,3,14,90
2023-05-18T16:18:37Z,31.251143,-81.281487,15,0.73,0.99,1.23,3,14,90
2023-05-18T18:20:16Z,31.251131,-81.281479,13,0.68,1.01,1.22,3,14,90
2023-05-18T20:21:55Z,31.251112,-81.281509,10,0.62,0.91,1.10,3,16,90
2023-05-18T22:23:34Z,31.251131,-81.281487,10,0.88,1.14,1.45,3,13,90
2023-05-19T00:25:13Z,31.251122,-81.281471,9,0.74,0.98,1.23,3,14,90
2023-05-19T02:26:53Z,31.251093,-81.281487,10,0.66,1.12,1.31,3,16,90
2023-05-19T04:28:31Z,31.251068,-81.281517,3,0.71,1.24,1.45,3,16,90
2023-05-19T06:30:12Z,31.251135,-81.281509,12,0.76,1.04,1.29,3,14,90
2023-05-19T08:31:54Z,31.251137,-81.281502,5,0.79,0.94,1.23,3,12,90
2023-05-19T10:33:34Z,31.251139,-81.281509,5,0.69,1.13,1.34,3,16,90
2023-05-19T12:35:13Z,31.251068,-81.281471,12,0.63,0.98,1.14,3,17,90
