Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-15T20:55:03Z,39.001041,-74.913651,120,2.31,1.00,3.43,3,5,91
2022-02-25T15:44:59Z,39.000927,-74.913902,1,0.97,0.88,1.31,3,10,91
2022-03-03T14:41:41Z,39.001053,-74.913795,22,1.56,0.94,1.82,3,5,90
2022-03-03T16:28:57Z,39.001057,-74.913788,52,1.28,0.94,1.59,3,8,107
2022-03-03T18:30:15Z,39.001064,-74.913773,16,0.93,0.79,1.22,3,10,91
2022-03-03T20:33:01Z,39.000923,-74.913849,9,1.05,0.89,1.37,3,9,115
2022-03-03T22:34:53Z,39.000973,-74.913849,30,0.91,0.81,1.22,3,11,90
2022-03-04T00:36:51Z,39.000885,-74.913826,13,0.70,1.07,1.31,3,13,90
2022-03-04T02:38:49Z,39.000938,-74.913849,2,0.92,0.93,1.54,3,11,96
2022-03-04T04:40:28Z,39.000893,-74.913765,-14,1.31,0.98,1.64,3,8,90
2022-03-04T06:42:17Z,39.000919,-74.913811,0,1.13,0.91,1.46,3,8,110
2022-03-04T08:44:47Z,39.000908,-74.913803,17,0.84,0.86,1.25,3,10,94
2022-03-04T10:46:19Z,39.000874,-74.913780,0,0.97,1.41,1.71,3,11,106
2022-03-04T12:48:29Z,39.000938,-74.913902,2,1.11,0.82,1.38,3,11,100
2022-03-04T14:50:44Z,39.000923,-74.913834,-7,0.89,0.83,1.22,3,11,105
2022-03-04T16:52:50Z,39.000889,-74.913696,0,1.04,1.80,2.08,3,12,96
2022-03-04T18:54:52Z,39.000885,-74.913780,21,1.04,0.84,1.34,3,9,92
2022-03-04T20:56:53Z,39.000957,-74.913910,-18,0.96,0.76,1.23,3,12,90
2080-01-05T23:59:43Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,5
2023-05-12T16:54:03Z,31.253550,-81.280243,21,0.80,1.09,1.35,3,12,90
2023-05-12T18:55:43Z,31.253511,-81.280243,23,0.71,1.22,1.41,3,14,90
2023-05-12T20:57:23Z,31.253529,-81.280281,24,0.64,0.96,1.14,3,16,90
2023-05-12T22:59:02Z,31.253517,-81.280258,15,0.69,0.91,1.13,3,16,90
2023-05-13T01:00:41Z,31.253498,-81.280228,20,0.76,1.03,1.28,3,15,90
2023-05-13T03:02:20Z,31.253479,-81.280212,4,0.84,1.24,1.50,3,14,90
2023-05-13T05:03:59Z,31.253485,-81.280251,4,0.68,1.04,1.23,3,15,90
2023-05-13T07:05:39Z,31.253550,-81.280235,9,0.75,1.01,1.25,3,14,90
2023-05-13T09:07:18Z,31.253534,-81.280243,10,0.81,1.05,1.33,3,12,90
2023-05-13T11:08:58Z,31.253447,-81.280251,-4,0.78,1.05,1.31,3,15,90
2023-05-13T13:10:37Z,31.253511,-81.280235,4,0.63,0.96,1.14,3,16,90
2023-05-13T15:12:16Z,31.253517,-81.280251,1,0.79,1.14,1.39,3,13,90
2023-05-13T17:13:56Z,31.253553,-81.280212,13,0.87,1.02,1.35,3,12,90
2023-05-13T19:15:35Z,31.253521,-81.280228,10,0.72,0.98,1.22,3,14,90
2023-05-13T21:17:14Z,31.253513,-81.280266,8,0.63,0.84,1.05,3,17,90
2023-05-13T23:18:53Z,31.253511,-81.280251,15,0.77,1.11,1.35,3,14,90
2023-05-14T01:20:32Z,31.253527,-81.280228,10,0.62,0.87,1.07,3,17,90
2023-05-14T03:22:11Z,31.253490,-81.280251,12,0.71,0.99,1.22,3,14,90
2023-05-14T05:23:51Z,31.253506,-81.280235,2,0.65,0.96,1.15,3,17,90
2023-05-14T07:25:30Z,31.253513,-81.280266,15,0.67,0.84,1.07,3,15,90
2023-05-14T09:27:09Z,31.253496,-81.280235,9,0.69,1.06,1.27,3,14,90
2023-05-14T11:28:49Z,31.253511,-81.280243,5,0.67,0.93,1.14,3,15,91
2023-05-14T13:30:29Z,31.253490,-81.280182,4,0.64,0.88,1.09,3,16,90
2023-05-14T15:32:09Z,31.253531,-81.280212,0,0.78,0.74,1.08,3,13,91
2023-05-14T17:33:48Z,31.253513,-81.280220,14,0.69,1.04,1.25,3,14,90
2023-05-14T19:35:27Z,31.253515,-81.280212,15,0.73,1.35,1.53,3,15,90
2023-05-14T21:37:06Z,31.253538,-81.280235,4,0.68,0.70,0.98,3,15,90
2023-05-14T23:38:44Z,31.253527,-81.280258,11,0.72,0.99,1.22,3,15,90
2023-05-15T01:40:23Z,31.253494,-81.280228,5,0.62,0.89,1.09,3,17,90
2023-05-15T03:42:02Z,31.253500,-81.280228,3,0.65,1.10,1.28,3,16,90
