Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-15T12:22:00Z,39.000992,-74.913841,1,1.13,0.90,1.45,3,8,90
2022-02-15T13:09:17Z,39.000977,-74.913765,7,1.07,0.81,1.34,3,8,95
2022-02-15T15:11:10Z,39.001114,-74.913765,10,0.81,1.44,1.65,3,13,91
2022-02-15T17:12:52Z,39.001110,-74.913803,9,0.71,1.19,1.39,3,14,99
2022-02-15T19:14:52Z,39.001099,-74.913765,3,0.73,1.29,1.48,3,14,90
2022-02-15T21:16:27Z,39.001095,-74.913803,3,0.90,1.39,1.65,3,11,94
2022-02-15T23:18:30Z,39.001102,-74.913803,12,0.77,1.15,1.39,3,15,105
2022-02-16T01:20:18Z,39.001102,-74.913773,8,0.81,1.02,1.30,3,14,93
2022-02-16T03:22:15Z,39.001141,-74.913826,8,0.79,1.35,1.56,3,14,96
2022-02-16T05:24:14Z,39.001053,-74.913765,20,0.88,1.07,1.39,3,12,90
2022-02-16T07:25:56Z,39.001110,-74.913773,12,0.68,0.89,1.12,3,16,91
2022-02-16T09:27:41Z,39.001122,-74.913788,4,0.80,1.18,1.42,3,12,90
2022-02-16T11:29:26Z,39.001095,-74.913811,-2,0.90,1.53,1.78,3,12,90
2022-02-16T13:31:04Z,39.001095,-74.913795,15,0.66,0.78,1.02,3,16,98
2022-02-16T15:33:02Z,39.001122,-74.913757,12,0.69,0.99,1.21,3,15,90
2022-02-16T17:34:48Z,39.001072,-74.913788,4,0.78,1.24,1.47,3,13,104
2022-02-16T19:37:00Z,39.001114,-74.913788,11,0.68,1.04,1.25,3,16,91
2022-02-16T21:38:36Z,39.001102,-74.913795,2,0.68,0.93,1.14,3,16,92
2022-02-16T23:40:36Z,39.001091,-74.913773,17,1.10,1.52,1.88,3,10,90
2022-02-17T01:42:23Z,39.001095,-74.913773,10,0.71,1.15,1.36,3,15,95
2022-02-17T03:44:19Z,39.001076,-74.913788,7,0.71,1.06,1.32,3,14,93
2022-02-17T05:46:10Z,39.001087,-74.913773,11,0.80,0.98,1.27,3,13,91
2022-02-17T07:47:55Z,39.001122,-74.913788,7,0.78,0.96,1.24,3,13,90
2022-02-17T09:49:38Z,39.001076,-74.913757,5,0.89,1.41,1.67,3,12,90
2022-02-17T11:51:22Z,39.001110,-74.913803,-2,0.73,1.01,1.25,3,15,91
2022-02-17T13:53:15Z,39.001133,-74.913818,9,0.85,1.15,1.43,3,12,97
