Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-14T22:11:22Z,39.001152,-74.913841,22,1.94,0.97,2.17,3,5,139
2022-03-08T22:07:29Z,39.000824,-74.914085,-19,1.93,0.00,0.00,1,5,120
2022-03-14T15:02:50Z,39.000912,-74.913773,37,0.79,1.68,1.85,3,12,91
2022-03-14T17:04:36Z,39.001064,-74.913818,9,0.80,1.51,1.71,3,13,90
2022-03-14T19:06:08Z,39.000923,-74.913857,9,1.09,0.88,1.40,3,10,108
2022-03-14T21:08:17Z,39.000996,-74.913940,11,0.99,0.79,1.27,3,9,130
2022-03-14T23:10:31Z,39.000969,-74.913849,10,0.86,0.75,1.13,3,10,118
2022-03-15T01:13:20Z,39.000935,-74.913864,8,0.80,0.81,1.20,3,12,125
2022-03-15T03:15:40Z,39.000957,-74.913811,15,0.87,0.72,1.12,3,12,91
2022-03-15T05:18:05Z,39.000950,-74.913857,2,0.94,0.79,1.42,3,11,122
2022-03-15T07:19:47Z,39.000961,-74.913872,6,1.02,1.69,1.98,3,10,128
2022-03-15T09:22:08Z,39.000938,-74.913788,19,1.12,1.62,1.98,3,10,90
2022-03-15T11:24:15Z,39.000973,-74.913826,0,1.14,0.82,1.43,3,11,97
2022-03-15T13:26:04Z,39.000912,-74.913803,6,1.05,0.87,1.36,3,9,103
2023-05-11T16:46:49Z,31.259802,-81.300293,24,1.39,0.86,1.64,3,7,90
2023-05-11T18:48:28Z,31.261105,-81.302292,64,1.07,0.92,1.42,3,7,90
2023-05-11T20:50:08Z,31.248152,-81.284592,24,0.82,1.22,1.47,3,11,90
2023-05-11T22:51:50Z,31.251123,-81.278786,29,0.79,1.12,1.38,3,14,90
2023-05-12T00:53:33Z,31.251057,-81.278786,16,0.75,1.06,1.30,3,14,91
2023-05-12T02:55:12Z,31.251087,-81.278816,17,0.61,0.97,1.14,3,18,90
2023-05-12T04:56:54Z,31.251066,-81.278831,7,0.65,1.07,1.25,3,17,90
2023-05-12T06:58:36Z,31.251076,-81.278839,19,0.68,0.90,1.11,3,16,90
2023-05-12T09:00:03Z,31.251112,-81.278824,5,0.73,0.99,1.23,3,15,76
2023-05-12T14:58:35Z,31.251125,-81.278839,8,0.68,0.83,1.07,3,15,90
2023-05-12T17:00:13Z,31.251131,-81.278809,3,0.69,1.04,1.25,3,14,90
2023-05-12T19:01:55Z,31.251076,-81.278793,8,0.62,1.17,1.38,3,16,90
2023-05-12T21:03:37Z,31.251101,-81.278809,5,0.64,0.97,1.17,3,16,90
2023-05-12T23:05:15Z,31.251095,-81.278809,10,0.71,0.90,1.14,3,15,90
2023-05-13T01:06:58Z,31.251081,-81.278809,7,0.73,0.94,1.19,3,15,90
2023-05-13T03:08:40Z,31.251085,-81.278809,5,0.66,0.99,1.19,3,17,90
2023-05-13T05:10:23Z,31.251102,-81.278801,1,0.63,0.92,1.11,3,16,90
2023-05-13T07:12:05Z,31.251112,-81.278824,7,0.64,0.65,0.91,3,17,90
2023-05-13T09:13:47Z,31.251083,-81.278816,5,0.68,1.02,1.23,3,15,90
2023-05-13T11:15:30Z,31.251110,-81.278801,4,0.73,1.07,1.29,3,17,91
2023-05-13T13:17:08Z,31.251091,-81.278831,3,0.66,1.01,1.21,3,15,90
2023-05-13T15:18:46Z,31.251099,-81.278831,0,0.73,1.10,1.32,3,15,90
2023-05-13T17:20:24Z,31.251106,-81.278793,10,0.79,0.76,1.09,3,13,90
2023-05-13T19:22:02Z,31.251089,-81.278809,0,0.62,0.97,1.14,3,17,90
2023-05-13T21:23:40Z,31.251072,-81.278816,6,0.68,1.05,1.25,3,16,90
2023-05-13T23:25:18Z,31.251087,-81.278809,10,0.81,1.11,1.38,3,13,90
2023-05-14T01:26:56Z,31.251114,-81.278801,6,0.65,0.89,1.10,3,16,90
2023-05-14T03:28:38Z,31.251070,-81.278831,6,0.73,1.30,1.49,3,14,90
2023-05-14T05:30:20Z,31.251070,-81.278847,9,0.60,0.89,1.07,3,18,90
2023-05-14T07:32:02Z,31.251070,-81.278816,8,0.70,0.83,1.08,3,14,90
2023-05-14T09:33:44Z,31.251072,-81.278763,11,0.66,0.94,1.14,3,16,90
2023-05-14T11:35:22Z,31.251068,-81.278786,7,0.71,1.10,1.31,3,14,90
2023-05-14T13:37:01Z,31.251070,-81.278809,3,0.72,0.95,1.19,3,13,91
