Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2021-11-30T21:07:19Z,39.000835,-74.913727,16,2.35,0.99,2.54,3,5,90
2080-01-05T23:59:43Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,11
1999-11-30T00:00:00Z,0.000000,0.000000,0,0.00,0.00,0.00,0,0,10
2022-03-14T15:28:42Z,39.000984,-74.913780,22,0.69,0.78,1.05,3,14,100
2022-03-14T17:27:43Z,39.000961,-74.913933,6,0.80,0.80,1.12,3,13,90
2022-03-14T19:29:17Z,39.001068,-74.913788,-7,0.98,1.88,2.12,3,11,96
2022-03-14T21:31:20Z,39.000961,-74.913857,3,1.04,0.79,1.31,3,10,90
2022-03-14T23:33:15Z,39.000896,-74.913788,0,0.94,0.82,1.25,3,9,116
2022-03-15T01:35:51Z,39.000999,-74.913864,0,0.74,0.76,1.14,3,12,103
2022-03-15T03:37:51Z,39.000919,-74.913834,17,1.02,0.78,1.28,3,9,115
2022-03-15T05:40:19Z,39.000858,-74.913757,25,1.12,0.85,1.41,3,9,90
2022-03-15T07:42:13Z,39.001007,-74.913887,1,1.00,0.85,1.31,3,9,121
2022-03-15T09:45:11Z,39.000950,-74.913872,-9,0.98,0.86,1.56,3,10,114
2022-03-15T11:47:17Z,39.000984,-74.913841,20,1.08,0.79,1.34,3,10,122
2022-03-15T13:49:53Z,39.000977,-74.913780,-12,0.87,0.81,1.19,3,11,114
2023-05-11T18:33:17Z,31.261284,-81.302361,23,0.97,0.89,1.31,3,8,90
2023-05-11T20:34:56Z,31.245440,-81.284103,23,0.57,0.92,1.09,3,18,90
2023-05-11T22:36:35Z,31.245396,-81.284065,28,0.80,0.78,1.11,3,14,90
2023-05-12T00:38:16Z,31.245415,-81.284119,19,0.75,1.11,1.34,3,13,90
2023-05-12T02:39:58Z,31.245401,-81.284119,21,0.75,1.33,1.52,3,13,90
2023-05-12T04:41:39Z,31.245401,-81.284111,9,0.61,0.91,1.10,3,17,90
2023-05-12T06:43:20Z,31.245403,-81.284103,8,0.73,1.12,1.35,3,15,90
2023-05-12T08:45:03Z,31.245405,-81.284088,13,0.91,0.77,1.19,3,11,90
