Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-07T14:18:13Z,39.000935,-74.913979,24,2.58,0.86,2.72,3,7,95
2022-02-28T12:15:08Z,39.000969,-74.913849,19,1.03,0.85,1.33,3,10,90
2022-02-28T14:16:54Z,39.001156,-74.913788,13,0.85,1.44,1.67,3,12,90
2022-02-28T16:18:56Z,39.000984,-74.913780,9,1.25,0.93,1.56,3,9,90
2022-02-28T18:20:55Z,39.000950,-74.913849,12,1.05,0.90,1.59,3,9,106
2022-02-28T20:22:34Z,39.000912,-74.913841,-2,1.22,0.95,1.54,3,8,95
2022-02-28T22:24:53Z,39.000961,-74.913826,24,0.91,0.80,1.21,3,10,109
2022-03-01T00:26:59Z,39.000870,-74.913834,33,0.76,0.80,1.10,3,12,91
2022-03-01T02:28:58Z,39.000931,-74.913834,15,0.98,0.86,1.30,3,10,90
2022-03-01T04:30:50Z,39.000908,-74.913773,13,1.01,0.88,1.34,3,10,90
2022-03-01T06:32:36Z,39.000969,-74.913719,10,0.89,0.82,1.22,3,13,90
2022-03-01T08:34:09Z,39.000942,-74.913780,-23,1.12,0.86,1.42,3,8,97
2022-03-01T10:36:33Z,39.000999,-74.913757,27,0.85,0.79,1.15,3,13,90
2022-03-01T12:38:34Z,39.000957,-74.913788,0,0.82,0.68,1.06,3,12,98
2022-03-01T14:39:50Z,39.000996,-74.913765,11,0.83,0.85,1.18,3,10,90
2080-01-05T23:59:43Z,0.000000,0.000000,0,0.00,0.00,0.00,1,0,5
2023-05-12T16:18:06Z,31.253504,-81.279045,22,0.73,1.05,1.28,3,12,90
2023-05-12T18:19:45Z,31.253469,-81.279007,23,0.78,1.20,1.43,3,12,90
2023-05-12T20:21:24Z,31.253479,-81.279015,24,0.68,1.05,1.25,3,15,90
2023-05-12T22:23:03Z,31.253479,-81.279015,7,0.79,1.25,1.48,3,14,90
2023-05-13T00:24:42Z,31.253489,-81.279045,14,0.79,1.10,1.35,3,13,90
2023-05-13T02:26:24Z,31.253462,-81.278999,4,0.82,1.36,1.59,3,12,90
2023-05-13T04:28:07Z,31.253481,-81.279030,6,0.64,1.08,1.26,3,16,90
2023-05-13T06:29:45Z,31.253475,-81.279053,14,0.74,1.11,1.34,3,15,90
2023-05-13T08:31:27Z,31.253481,-81.278999,8,0.86,1.12,1.42,3,13,90
2023-05-13T10:33:07Z,31.253485,-81.279030,4,0.61,1.03,1.20,3,17,90
2023-05-13T12:34:46Z,31.253471,-81.278999,0,0.55,1.21,1.33,3,18,90
2023-05-13T14:36:26Z,31.253460,-81.278999,-2,0.79,0.77,1.11,3,14,90
2023-05-13T16:38:05Z,31.253490,-81.279030,7,0.83,1.02,1.31,3,12,90
2023-05-13T18:39:46Z,31.253532,-81.279037,2,0.64,1.04,1.22,3,16,90
2023-05-13T20:41:24Z,31.253475,-81.278999,7,0.59,0.93,1.10,3,18,90
2023-05-13T22:43:06Z,31.253489,-81.278999,7,0.83,1.14,1.41,3,14,90
2023-05-14T00:44:45Z,31.253485,-81.278992,11,0.69,1.00,1.22,3,15,90
2023-05-14T02:46:25Z,31.253450,-81.279030,11,0.76,1.14,1.41,3,12,90
2023-05-14T04:48:07Z,31.253462,-81.279022,5,0.76,1.23,1.45,3,14,91
2023-05-14T06:49:45Z,31.253487,-81.279030,13,0.63,0.80,1.02,3,17,90
2023-05-14T08:51:23Z,31.253475,-81.278992,6,0.67,0.95,1.17,3,16,90
2023-05-14T10:53:02Z,31.253458,-81.278999,7,0.73,1.06,1.29,3,14,90
2023-05-14T12:54:41Z,31.253450,-81.278999,8,0.60,0.66,0.85,3,18,90
2023-05-14T14:56:20Z,31.253485,-81.279053,4,0.65,0.65,0.92,3,17,90
2023-05-14T16:57:59Z,31.253477,-81.279022,11,0.71,0.94,1.18,3,14,90
2023-05-14T18:59:39Z,31.253443,-81.279015,17,0.61,0.96,1.13,3,17,90
2023-05-14T21:01:18Z,31.253469,-81.278992,13,0.56,0.81,1.00,3,19,90
2023-05-14T23:03:00Z,31.253523,-81.279022,17,0.78,1.07,1.32,3,14,90
2023-05-15T01:04:39Z,31.253481,-81.278999,6,0.68,0.94,1.15,3,15,90
2023-05-15T03:06:19Z,31.253454,-81.279037,9,0.70,1.09,1.29,3,15,90
2023-05-15T05:07:58Z,31.253487,-81.278999,9,0.59,0.84,1.03,3,19,90
2023-05-15T07:09:38Z,31.253508,-81.279007,11,0.74,0.90,1.17,3,14,90
2023-05-15T09:11:17Z,31.253458,-81.278992,5,0.74,1.18,1.40,3,13,90
2023-05-15T11:12:55Z,31.253462,-81.279015,5,0.61,0.83,1.03,3,18,90
2023-05-15T13:14:34Z,31.253460,-81.278999,5,0.60,0.86,1.05,3,18,90
2023-05-15T15:16:13Z,31.253510,-81.279053,14,0.77,1.11,1.34,3,14,90
2023-05-15T17:17:52Z,31.253506,-81.278976,10,0.72,1.08,1.30,3,14,90
2023-05-15T19:19:32Z,31.253477,-81.278992,9,0.64,1.19,1.35,3,16,91
2023-05-15T21:21:11Z,31.253519,-81.279022,6,0.70,1.11,1.32,3,16,90
2023-05-15T23:22:49Z,31.253487,-81.278992,13,0.87,1.21,1.49,3,13,90
2023-05-16T01:24:27Z,31.253483,-81.279015,8,0.65,0.96,1.15,3,15,90
2023-05-16T03:26:05Z,31.253450,-81.279037,11,0.63,0.97,1.15,3,16,90
2023-05-16T05:27:44Z,31.253496,-81.279015,4,0.66,1.04,1.23,3,16,90
2023-05-16T07:29:24Z,31.253498,-81.279022,11,0.93,1.20,1.52,3,12,90
2023-05-16T09:31:03Z,31.253471,-81.279030,10,0.65,0.94,1.13,3,15,90
2023-05-16T11:32:42Z,31.253466,-81.279007,9,0.67,1.03,1.23,3,15,90
2023-05-16T13:34:21Z,31.253469,-81.279015,8,0.69,0.95,1.17,3,16,90
2023-05-16T15:36:03Z,31.253500,-81.279007,3,0.74,1.09,1.32,3,14,90
2023-05-16T17:37:44Z,31.253500,-81.278969,4,0.70,0.99,1.21,3,14,91
2023-05-16T19:39:27Z,31.253483,-81.278984,11,0.63,1.18,1.33,3,16,90
2023-05-16T21:41:07Z,31.253422,-81.278992,13,0.83,1.41,1.63,3,14,91
2023-05-16T23:42:47Z,31.253494,-81.279007,9,0.78,0.77,1.10,3,13,90
2023-05-17T01:44:26Z,31.253466,-81.278992,8,0.67,0.95,1.17,3,14,90
2023-05-17T03:46:07Z,31.253443,-81.279007,5,0.60,1.05,1.21,3,17,90
2023-05-17T05:47:46Z,31.253483,-81.279053,9,0.66,0.92,1.12,3,15,90
