Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-17T14:14:33Z,39.001015,-74.913811,0,1.07,0.84,1.36,3,9,90
2022-03-03T15:13:45Z,39.000950,-74.913765,22,0.97,0.81,1.27,3,9,90
2022-03-03T16:27:21Z,39.001026,-74.913811,29,0.98,0.89,1.32,3,10,90
2022-03-03T18:29:06Z,39.001049,-74.913803,2,0.81,1.19,1.44,3,11,90
2022-03-03T20:30:47Z,39.000908,-74.913818,-1,0.90,0.88,1.26,3,11,113
2022-03-03T22:33:28Z,39.000923,-74.913811,21,0.93,0.91,1.81,3,11,90
2022-03-04T00:35:17Z,39.000908,-74.913803,8,0.83,0.81,1.15,3,10,98
2022-03-04T02:37:37Z,39.000912,-74.913872,16,0.95,0.80,1.24,3,10,98
2022-03-04T04:39:57Z,39.000828,-74.913872,17,1.50,0.99,1.80,3,6,92
2022-03-04T06:41:40Z,39.000896,-74.913841,21,1.14,0.91,1.47,3,8,94
2022-03-04T08:43:15Z,39.000916,-74.913712,5,1.58,0.91,1.41,3,6,92
2022-03-04T10:45:33Z,39.000885,-74.913879,-26,0.93,0.87,1.27,3,10,97
2022-03-04T12:47:24Z,39.000908,-74.913780,15,1.87,0.88,2.06,3,7,96
2022-03-04T14:49:24Z,39.000996,-74.913811,0,0.89,0.84,1.22,3,10,105
2022-03-04T16:51:19Z,39.000904,-74.913788,20,0.86,0.84,1.21,3,11,92
2022-03-04T18:54:05Z,39.000828,-74.913811,20,1.39,0.91,1.66,3,7,90
2022-03-04T20:55:36Z,39.000904,-74.913742,24,1.10,1.73,2.04,3,11,121
2023-05-06T18:42:35Z,31.246988,-81.285034,16,0.67,0.80,1.04,3,14,90
2023-05-06T20:44:17Z,31.246513,-81.283974,20,0.76,1.11,1.35,3,14,90
2023-05-06T22:45:59Z,31.246490,-81.283951,7,0.76,0.78,1.09,3,14,90
2023-05-07T00:47:41Z,31.246513,-81.283951,4,0.85,0.72,1.11,3,13,90
2023-05-07T02:49:23Z,31.246496,-81.283951,4,0.71,1.20,1.39,3,15,90
2023-05-07T04:51:05Z,31.246511,-81.284012,6,0.69,1.07,1.25,3,15,90
2023-05-07T06:52:45Z,31.246515,-81.283997,15,0.71,1.00,1.23,3,15,90
2023-05-07T08:54:27Z,31.246527,-81.283974,8,0.82,1.08,1.36,3,13,90
2023-05-07T10:56:07Z,31.246557,-81.283966,3,0.63,0.99,1.18,3,16,90
2023-05-07T12:57:49Z,31.246511,-81.283966,-2,0.64,1.08,1.25,3,16,90
2023-05-07T14:59:31Z,31.246521,-81.283958,-2,0.77,1.13,1.37,3,15,90
2023-05-07T17:01:12Z,31.246542,-81.284012,12,0.70,0.93,1.15,3,15,90
2023-05-07T19:02:54Z,31.246513,-81.283974,11,0.57,0.97,1.12,3,18,90
2023-05-07T21:04:36Z,31.246538,-81.283997,2,0.62,0.94,1.11,3,17,90
2023-05-07T23:06:19Z,31.246544,-81.283989,7,0.78,0.96,1.23,3,14,91
2023-05-08T01:08:01Z,31.246548,-81.283974,10,0.68,0.97,1.19,3,15,90
2023-05-08T03:09:43Z,31.246502,-81.283997,5,0.70,1.10,1.31,3,16,90
2023-05-08T05:11:25Z,31.246504,-81.284004,9,0.68,1.12,1.32,3,15,90
2023-05-08T07:13:07Z,31.246548,-81.284004,11,0.67,0.82,1.06,3,16,90
2023-05-08T09:14:49Z,31.246529,-81.283981,7,0.72,1.00,1.23,3,14,90
2023-05-08T11:16:31Z,31.246527,-81.284004,1,0.67,1.07,1.27,3,16,90
2023-05-08T13:18:10Z,31.246489,-81.283951,4,0.57,0.94,1.12,3,18,90
2023-05-08T15:19:51Z,31.246523,-81.283974,1,0.68,0.87,1.10,3,16,90
2023-05-08T17:21:30Z,31.246538,-81.283958,7,0.73,0.96,1.21,3,14,90
2023-05-08T19:23:10Z,31.246506,-81.283958,8,0.56,0.93,1.09,3,18,90
2023-05-08T21:24:50Z,31.246532,-81.284027,5,0.56,0.84,1.01,3,19,90
2023-05-08T23:26:30Z,31.246513,-81.283989,10,0.96,1.20,1.54,3,11,90
2023-05-09T01:28:09Z,31.246513,-81.283989,3,0.78,1.28,1.50,3,12,90
2023-05-09T03:29:52Z,31.246521,-81.283981,10,0.69,1.21,1.39,3,16,90
2023-05-09T05:31:33Z,31.246517,-81.284012,13,0.61,0.87,1.07,3,18,90
2023-05-09T07:33:14Z,31.246544,-81.283997,12,0.71,0.97,1.20,3,14,90
2023-05-09T09:34:54Z,31.246536,-81.283981,9,0.74,1.18,1.39,3,14,90
2023-05-09T11:36:34Z,31.246517,-81.283981,0,0.74,1.14,1.37,3,16,90
2023-05-09T13:38:16Z,31.246536,-81.283936,8,0.71,0.98,1.21,3,15,90
2023-05-09T15:39:56Z,31.246546,-81.283997,3,0.74,1.11,1.34,3,15,90
2023-05-09T17:41:38Z,31.246576,-81.283966,9,0.78,1.08,1.33,3,13,90
2023-05-09T19:43:19Z,31.246521,-81.283981,7,0.67,1.28,1.44,3,15,90
2023-05-09T21:44:58Z,31.246506,-81.283981,14,0.81,1.24,1.48,3,14,90
2023-05-09T23:46:41Z,31.246515,-81.283974,9,0.85,1.38,1.71,3,12,90
2023-05-10T01:48:22Z,31.246536,-81.283981,7,0.75,1.00,1.25,3,13,90
2023-05-10T03:50:00Z,31.246500,-81.284004,10,0.72,1.21,1.41,3,13,90
2023-05-10T05:51:41Z,31.246519,-81.283981,15,0.61,0.93,1.11,3,18,90
2023-05-10T07:53:22Z,31.246565,-81.284012,5,0.74,1.02,1.26,3,14,91
2023-05-10T09:55:03Z,31.246506,-81.283974,9,0.72,1.17,1.37,3,14,90
2023-05-10T11:56:44Z,31.246532,-81.284019,0,0.72,0.80,1.08,3,13,90
2023-05-10T13:58:26Z,31.246485,-81.283981,10,0.78,1.26,1.48,3,14,90
2023-05-10T16:00:07Z,31.246563,-81.284012,0,0.67,0.91,1.12,3,16,90
2023-05-10T18:01:49Z,31.246567,-81.283981,7,0.66,1.01,1.21,3,14,90
2023-05-10T20:03:28Z,31.246523,-81.283951,7,0.67,1.36,1.52,3,15,90
2023-05-10T22:05:10Z,31.246517,-81.283981,10,0.85,1.85,2.10,3,13,90
2023-05-11T00:06:52Z,31.246569,-81.283974,10,0.85,1.22,1.48,3,12,90
2023-05-11T02:08:32Z,31.246552,-81.283997,6,0.62,0.88,1.08,3,18,91
2023-05-11T04:10:12Z,31.246481,-81.283981,5,0.61,1.03,1.20,3,17,90
2023-05-11T06:11:51Z,31.246523,-81.284012,8,0.64,0.85,1.06,3,16,90
2023-05-11T08:13:32Z,31.246534,-81.283974,6,0.78,1.04,1.30,3,13,90
2023-05-11T10:15:12Z,31.246511,-81.283966,13,0.70,1.28,1.46,3,15,90
2023-05-11T12:16:52Z,31.246521,-81.283974,0,0.80,1.32,1.54,3,15,90
2023-05-11T14:18:33Z,31.246490,-81.283981,15,0.80,1.07,1.33,3,13,90
2023-05-11T16:20:12Z,31.246548,-81.283951,7,0.87,1.21,1.49,3,13,90
2023-05-11T18:21:54Z,31.246536,-81.283958,6,0.63,1.05,1.23,3,16,90
2023-05-11T20:23:34Z,31.246511,-81.283974,8,0.75,1.17,1.39,3,13,90
2023-05-11T22:25:14Z,31.246553,-81.283974,4,0.84,1.32,1.57,3,14,90
2023-05-12T00:26:53Z,31.246517,-81.284004,9,0.71,0.94,1.18,3,15,90
2023-05-12T02:28:36Z,31.246527,-81.283997,9,0.88,1.40,1.65,3,11,90
2023-05-12T04:30:16Z,31.246527,-81.284050,8,0.63,0.96,1.14,3,16,90
2023-05-12T06:31:56Z,31.246550,-81.284019,18,0.73,0.87,1.10,3,14,90
2023-05-12T08:33:36Z,31.246548,-81.284004,8,0.77,1.11,1.35,3,14,90
2023-05-12T10:35:16Z,31.246563,-81.284004,0,0.65,1.00,1.19,3,17,90
2023-05-12T12:36:56Z,31.246517,-81.283997,1,0.66,1.15,1.34,3,15,90
2023-05-12T14:38:38Z,31.246510,-81.283997,-13,0.80,1.19,1.44,3,14,90
2023-05-12T16:40:18Z,31.246536,-81.283974,12,0.75,1.18,1.39,3,12,90
2023-05-12T18:41:59Z,31.246536,-81.283981,6,0.63,1.01,1.19,3,16,90
2023-05-12T20:43:42Z,31.246546,-81.284035,4,0.69,0.97,1.19,3,15,90
2023-05-12T22:45:22Z,31.246523,-81.284004,8,0.75,1.04,1.28,3,14,90
2023-05-13T00:47:02Z,31.246500,-81.283997,16,0.70,1.04,1.26,3,15,90
2023-05-13T02:48:43Z,31.246532,-81.283981,8,0.61,0.98,1.15,3,18,90
2023-05-13T04:50:25Z,31.246498,-81.284012,1,0.69,1.21,1.40,3,15,90
2023-05-13T06:52:06Z,31.246571,-81.284004,5,0.66,0.90,1.11,3,16,90
2023-05-13T08:53:49Z,31.246552,-81.283997,5,0.78,0.97,1.25,3,13,90
2023-05-13T10:55:31Z,31.246534,-81.283974,4,0.67,0.98,1.19,3,17,90
2023-05-13T12:57:10Z,31.246519,-81.283974,4,0.57,0.99,1.14,3,18,90
2023-05-13T14:58:50Z,31.246527,-81.283989,11,0.67,0.90,1.11,3,16,90
2023-05-13T17:00:32Z,31.246540,-81.283974,12,0.78,1.02,1.28,3,13,90
2023-05-13T19:02:12Z,31.246513,-81.283989,10,0.60,1.03,1.19,3,17,90
2023-05-13T21:03:53Z,31.246511,-81.283997,11,0.66,0.95,1.15,3,16,90
2023-05-13T23:05:35Z,31.246536,-81.284012,13,0.97,1.21,1.55,3,12,90
2023-05-14T01:07:17Z,31.246552,-81.283951,10,0.75,1.07,1.30,3,14,90
2023-05-14T03:09:00Z,31.246504,-81.283989,4,0.62,0.99,1.17,3,16,90
2023-05-14T05:10:41Z,31.246538,-81.284073,8,0.66,0.98,1.19,3,16,90
2023-05-14T07:12:24Z,31.246536,-81.283981,13,0.73,0.92,1.18,3,14,90
2023-05-14T09:14:06Z,31.246532,-81.283943,9,0.71,1.05,1.27,3,15,90
