Time,Latitude,Longitude,Altitude,Hdop,Vdop,Pdop,NavigationMode,Satellites,OnTime
2022-02-22T19:32:40Z,39.000835,-74.914200,-24,2.00,0.97,2.23,3,5,91
2022-03-03T15:13:26Z,39.000950,-74.913834,24,1.36,0.96,1.67,3,6,112
2022-03-03T16:30:59Z,39.000988,-74.913803,30,0.87,0.82,1.19,3,12,110
2022-03-03T18:33:03Z,39.001057,-74.913803,28,0.91,0.79,1.20,3,11,97
2022-03-03T20:35:28Z,39.000912,-74.913818,18,0.80,0.80,1.12,3,12,90
2022-03-03T22:37:21Z,39.000935,-74.913910,40,1.00,0.85,1.46,3,10,90
2022-03-04T00:39:13Z,39.000942,-74.913811,1,0.83,1.32,1.56,3,11,90
2022-03-04T02:40:43Z,39.000896,-74.913857,14,0.94,0.81,1.24,3,10,92
2022-03-04T04:43:12Z,39.000942,-74.913811,25,1.14,0.92,1.47,3,8,90
2022-03-04T06:44:54Z,39.000851,-74.913780,31,1.09,0.85,1.38,3,9,93
2022-03-04T08:46:44Z,39.000881,-74.913841,37,1.12,0.80,1.39,3,7,98
2022-03-04T10:48:56Z,39.000916,-74.913834,12,0.93,0.84,1.25,3,11,98
2022-03-04T12:51:02Z,39.000992,-74.913788,36,1.20,0.91,1.51,3,9,99
2022-03-04T14:53:45Z,39.000961,-74.913811,-10,1.01,0.87,1.34,3,10,90
2022-03-04T16:55:29Z,39.000847,-74.913773,23,0.94,0.83,1.25,3,11,90
2022-03-04T18:58:01Z,39.000908,-74.913818,11,1.14,0.84,1.45,3,9,118
2022-03-04T20:59:59Z,39.001003,-74.913864,-6,1.14,0.88,1.45,3,10,124
2023-05-11T16:47:35Z,31.259684,-81.300468,25,1.68,0.93,1.92,3,7,90
2023-05-11T18:49:17Z,31.261248,-81.302368,31,1.15,0.93,1.49,3,8,90
2023-05-11T20:50:56Z,31.248121,-81.284576,21,0.74,1.07,1.30,3,13,90
2023-05-11T22:52:37Z,31.248892,-81.283875,22,0.76,1.06,1.30,3,16,90
2023-05-12T00:54:17Z,31.248873,-81.283890,15,0.70,1.06,1.27,3,15,90
2023-05-12T02:56:00Z,31.248863,-81.283897,17,0.68,1.11,1.30,3,16,90
2023-05-12T04:57:38Z,31.248865,-81.283936,3,0.72,1.12,1.34,3,15,90
2023-05-12T06:59:19Z,31.248842,-81.283897,17,0.63,0.82,1.03,3,17,90
2023-05-12T09:01:01Z,31.248884,-81.283920,9,0.73,1.05,1.28,3,16,90
2023-05-12T11:02:42Z,31.248877,-81.283928,7,0.70,1.11,1.31,3,16,91
2023-05-12T13:04:21Z,31.248844,-81.283867,15,0.56,0.89,1.05,3,19,90
2023-05-12T15:06:01Z,31.248894,-81.283928,0,0.66,0.87,1.09,3,17,90
2023-05-12T17:07:40Z,31.248890,-81.283905,7,0.75,1.10,1.34,3,14,90
2023-05-12T19:09:20Z,31.248886,-81.283913,10,0.61,1.01,1.18,3,16,90
2023-05-12T21:10:59Z,31.248865,-81.283913,4,0.64,0.90,1.10,3,17,90
2023-05-12T23:12:38Z,31.248863,-81.283920,13,0.74,1.03,1.27,3,15,90
2023-05-13T01:14:18Z,31.248835,-81.283913,7,0.64,0.96,1.14,3,15,90
2023-05-13T03:15:58Z,31.248838,-81.283936,11,0.63,1.01,1.19,3,17,90
2023-05-13T05:17:38Z,31.248854,-81.283936,5,0.63,0.86,1.06,3,18,90
2023-05-13T07:19:20Z,31.248867,-81.283928,7,0.70,0.97,1.20,3,15,90
2023-05-13T09:21:02Z,31.248875,-81.283920,10,0.65,0.91,1.10,3,16,90
2023-05-13T11:22:44Z,31.248878,-81.283882,0,0.70,0.98,1.21,3,17,91
2023-05-13T13:24:24Z,31.248850,-81.283897,2,0.63,0.84,1.05,3,17,90
2023-05-13T15:26:03Z,31.248875,-81.283913,0,0.73,1.10,1.32,3,15,90
2023-05-13T17:27:44Z,31.248861,-81.283920,6,0.81,0.77,1.11,3,12,90
2023-05-13T19:29:25Z,31.248867,-81.283890,11,0.66,1.31,1.47,3,15,90
2023-05-13T21:31:06Z,31.248833,-81.283943,5,0.61,0.89,1.08,3,17,90
2023-05-13T23:32:47Z,31.248869,-81.283928,13,0.66,0.88,1.10,3,16,91
2023-05-14T01:34:27Z,31.248861,-81.283905,5,0.81,1.14,1.41,3,13,90
2023-05-14T03:36:09Z,31.248848,-81.283951,9,0.68,1.17,1.35,3,15,90
2023-05-14T05:37:52Z,31.248837,-81.283936,10,0.64,0.94,1.13,3,17,90
2023-05-14T07:39:34Z,31.248869,-81.283897,11,0.80,1.14,1.41,3,12,90
2023-05-14T09:41:15Z,31.248838,-81.283897,9,0.69,1.01,1.23,3,15,90
2023-05-14T11:42:56Z,31.248861,-81.283913,0,0.59,0.97,1.12,3,18,90
2023-05-14T13:44:36Z,31.248821,-81.283928,6,0.60,0.78,0.98,3,18,90
2023-05-14T15:46:17Z,31.248835,-81.283951,10,0.79,1.07,1.33,3,14,90
2023-05-14T17:47:56Z,31.248867,-81.283890,5,0.61,1.01,1.18,3,16,90
2023-05-14T19:49:38Z,31.248856,-81.283920,10,0.64,1.09,1.26,3,16,90
2023-05-14T21:51:17Z,31.248857,-81.283920,16,0.66,1.00,1.20,3,16,90
2023-05-14T23:52:14Z,31.248890,-81.283936,6,0.81,0.77,1.11,3,13,111
2023-05-15T01:55:01Z,31.248863,-81.283882,4,0.64,0.99,1.18,3,15,90
2023-05-15T03:56:42Z,31.248831,-81.283913,7,0.66,1.13,1.31,3,15,90
2023-05-15T05:58:24Z,31.248869,-81.283928,8,0.64,0.87,1.08,3,16,90
2023-05-15T08:00:04Z,31.248886,-81.283905,3,0.76,0.95,1.22,3,14,90
2023-05-15T10:01:47Z,31.248865,-81.283897,6,0.67,1.15,1.34,3,15,90
2023-05-15T12:03:25Z,31.248880,-81.283890,-1,0.56,1.06,1.20,3,18,90
2023-05-15T14:05:04Z,31.248859,-81.283897,8,0.91,1.09,1.42,3,13,90
2023-05-15T16:06:44Z,31.248886,-81.283928,3,0.79,1.02,1.29,3,14,90
2023-05-15T18:08:24Z,31.248856,-81.283890,8,0.67,1.13,1.32,3,15,90
2023-05-15T20:10:04Z,31.248871,-81.283890,11,0.61,1.03,1.20,3,17,91
2023-05-15T22:11:45Z,31.248861,-81.283867,10,0.90,1.42,1.68,3,13,90
2023-05-16T00:13:25Z,31.248850,-81.283890,9,0.73,0.76,1.11,3,13,90
2023-05-16T02:15:08Z,31.248861,-81.283913,6,0.65,1.11,1.29,3,15,90
2023-05-16T04:16:47Z,31.248844,-81.283920,11,0.61,1.03,1.20,3,16,90
2023-05-16T06:18:29Z,31.248842,-81.283936,17,0.72,0.95,1.19,3,15,91
2023-05-16T08:20:11Z,31.248892,-81.283913,4,0.79,1.09,1.35,3,14,90
2023-05-16T10:21:52Z,31.248880,-81.283920,12,0.73,1.22,1.42,3,14,90
2023-05-16T12:23:31Z,31.248848,-81.283875,4,0.59,1.25,1.38,3,17,90
