NodeId,NodeUTMx,NodeUTMy
377990,472941,3457108
339E4D,473336,3457595
339FBA,473209,3457723
375E07,473339,3457975
3763C0,473211,3457866
3765C3,472818,3457173
376F3F,473467,3457876
3775FB,472839,3456962
3777FD,473086,3456716
377A13,473201,3457600
377A22,473312,3457476
377C9F,473487,3457586
377D0E,473210,3457963
377D96,473365,3457853
377E04,473050,3456831
37832D,473198,3457466
3787FC,473320,3457733
37899C,472800,3457085
378CBC,472937,3456708
378E5C,472818,3456842
378EEC,473453,3457464
3790DC,472946,3456836
37A395,473453,3457979
37A5AA,473074,3457081
37A831,473063,3456983
37A87B,472944,3456834
37A91B,473081,3457209
37AA11,472959,3456957
37AD60,472966,3457213
37A26C,473436,3457726
37648E,473209,3457721
