"NodeId","TestId","avgRSS","sdRSS","n.det","distance","NodeUTMx","NodeUTMy","TestUTMx","TestUTMy"
"339E4D","11",-109,1,3,932.619965473611,473336,3457595,472980,3456733
"339E4D","20",-103,0,3,704.040481790643,473336,3457595,472899,3457043
"339E4D","24",-101.083333333333,0.668557923421521,12,651.079872212312,473336,3457595,473065,3457003
"339E4D","27",-95.4545454545455,0.522232967867094,11,614.176684676323,473336,3457595,473014,3457072
"339E4D","28",-109.428571428571,0.534522483824849,7,586.962520098175,473336,3457595,473019,3457101
"339E4D","53",-77.3333333333333,0.492365963917331,12,148.00337833982,473336,3457595,473199,3457651
"339E4D","65",-103,2.67261241912424,8,267.434104033124,473336,3457595,473372,3457860
"339E4D","67",-101.636363636364,1.96329963442809,11,292.98464123568,473336,3457595,473408,3457879
"339E4D","71",-97.9090909090909,0.943879807448539,11,379.005277008118,473336,3457595,473338,3457974
"339E4D","74",-91.3,1.25166555703457,10,335.657563597188,473336,3457595,473315,3457930
"339E4D","91",-43.9090909090909,0.831209414593634,11,5,473336,3457595,473339,3457599
"339E4D","106",-107.4,1.42984070596848,10,740.553846793061,473336,3457595,472960,3456957
"339FBA","9",-102,0.816496580927726,4,1055.54725142932,473209,3457723,472945,3456701
"339FBA","11",-100.25,1.42222616792382,12,1016.14024622588,473209,3457723,472980,3456733
"339FBA","20",-102.2,5.89067059000926,5,747.328575661335,473209,3457723,472899,3457043
"339FBA","24",-99.25,1.21543108701099,12,734.258809957361,473209,3457723,473065,3457003
"339FBA","27",-89.8,0.421637021355784,10,679.577810114486,473209,3457723,473014,3457072
"339FBA","28",-105.818181818182,0.750757193529548,11,650.372201127939,473209,3457723,473019,3457101
"339FBA","53",-76.6666666666667,3.96194014303216,12,72.691127381545,473209,3457723,473199,3457651
"339FBA","65",-80.25,1.13818036595899,12,212.927217612028,473209,3457723,473372,3457860
"339FBA","67",-87.25,3.13702232872339,12,252.857667473225,473209,3457723,473408,3457879
"339FBA","71",-75,0,12,282.209142304072,473209,3457723,473338,3457974
"339FBA","74",-86.0833333333333,2.74551976643381,12,232.561819738322,473209,3457723,473315,3457930
