"NodeId","TestId","avgRSS","sdRSS","n.det","distance","NodeUTMx","NodeUTMy","TestUTMx","TestUTMy"
"339E4D","1",-107.444444444444,1.66666666666667,9,857.375646959954,473336,3457595,472943,3456833
"339E4D","2",-106.4,0.894427190999916,5,866.319225228207,473336,3457595,472939,3456825
"339E4D","3",-104.454545454545,1.57249078621379,11,875.673455118973,473336,3457595,472938,3456815
"339E4D","10",-109.8,0.836660026534076,5,960.377009304159,473336,3457595,472956,3456713
"339E4D","11",-109,1,3,932.619965473611,473336,3457595,472980,3456733
"339E4D","19",-100.909090909091,0.539359889970594,11,734.036783819449,473336,3457595,472865,3457032
"339E4D","20",-103,0,3,704.040481790643,473336,3457595,472899,3457043
"339E4D","24",-101.083333333333,0.668557923421521,12,651.079872212312,473336,3457595,473065,3457003
"339E4D","28",-109.428571428571,0.534522483824849,7,586.962520098175,473336,3457595,473019,3457101
"339E4D","29",-107,2.64575131106459,3,626.906691621648,473336,3457595,472940,3457109
"339E4D","33",-102.3,2.21359436211787,10,641.393015241046,473336,3457595,472877,3457147
"339E4D","37",-79.0833333333333,0.90033663737852,12,182.222391598837,473336,3457595,473198,3457476
"339E4D","44",-90.5833333333333,7.62124224344912,12,144.779142144164,473336,3457595,473480,3457580
"339E4D","45",-75.4166666666667,1.08362466945083,12,138.9172415505,473336,3457595,473473,3457572
"339E4D","46",-86.5833333333333,1.44337567297406,12,121.840059093879,473336,3457595,473450,3457552
"339E4D","52",-78.75,0.621581560508061,12,120.353645561736,473336,3457595,473217,3457613
"339E4D","55",-76.0909090909091,0.539359889970594,11,108.466584716216,473336,3457595,473265,3457677
"339E4D","58",-75.5833333333333,0.996204919895622,12,143.125818774951,473336,3457595,473330,3457738
"339E4D","65",-103,2.67261241912424,8,267.434104033124,473336,3457595,473372,3457860
"339E4D","66",-97.5,1.38169855941551,12,270.120343550796,473336,3457595,473383,3457861
"339E4D","70",-104.333333333333,2.3094010767585,12,365.246492111834,473336,3457595,473453,3457941
"339E4D","71",-97.9090909090909,0.943879807448539,11,379.005277008118,473336,3457595,473338,3457974
"339E4D","80",-93.8333333333333,1.11464085804543,12,296.006756679641,473336,3457595,473448,3457869
"339E4D","86",-77,0.666666666666667,10,114.017542509914,473336,3457595,473306,3457485
"339E4D","88",-60.6666666666667,0.492365963917331,12,77.8267306264371,473336,3457595,473300,3457526
"339E4D","94",-93,1.61245154965971,11,482.901646300776,473336,3457595,473073,3457190
"339E4D","96",-96,0.447213595499958,11,536.981377703175,473336,3457595,473043,3457145
"339E4D","103",-105.714285714286,0.951189731211342,7,844.064570989684,473336,3457595,472878,3456886
"339E4D","107",-100,0.816496580927726,4,735.158486314346,473336,3457595,472969,3456958
"339E4D","108",-105.166666666667,0.834847109936722,12,722.875507954171,473336,3457595,472961,3456977
"339E4D","114",-99.6363636363636,0.80903983495589,11,540.948241516691,473336,3457595,472956,3457210
"339E4D","118",-107,3.09838667696593,6,867.202975087148,473336,3457595,472957,3456815
"339E4D","120",-105,1.15470053837925,7,856.432717730938,473336,3457595,473015,3456801
"339E4D","121",-103.714285714286,2.42997158517582,7,839.772588264228,473336,3457595,473043,3456808
"339FBA","1",-107.444444444444,1.50923085635624,9,928.900425234051,473209,3457723,472943,3456833
"339FBA","2",-101.1,4.84079883214882,10,937.712109338469,473209,3457723,472939,3456825
"339FBA","3",-100.083333333333,1.56427928995103,12,947.578492790967,473209,3457723,472938,3456815
"339FBA","10",-104,1.4142135623731,6,1041.20555127218,473209,3457723,472956,3456713
"339FBA","11",-100.25,1.42222616792382,12,1016.14024622588,473209,3457723,472980,3456733
"339FBA","19",-98.3636363636364,0.924416277737175,11,771.891831800285,473209,3457723,472865,3457032
"339FBA","20",-102.2,5.89067059000926,5,747.328575661335,473209,3457723,472899,3457043
"339FBA","24",-99.25,1.21543108701099,12,734.258809957361,473209,3457723,473065,3457003
"339FBA","28",-105.818181818182,0.750757193529548,11,650.372201127939,473209,3457723,473019,3457101
"339FBA","29",-104.363636363636,2.29227953237502,11,670.340958020618,473209,3457723,472940,3457109
"339FBA","33",-109,NA,1,664.830805543786,473209,3457723,472877,3457147
"339FBA","37",-88.5833333333333,3.17542648054294,12,247.244817943673,473209,3457723,473198,3457476
"339FBA","44",-107.4,3.97492138287036,5,306.414751603117,473209,3457723,473480,3457580
"339FBA","45",-106.75,1.83225076262581,8,304.133194505302,473209,3457723,473473,3457572
"339FBA","46",-102,1.20604537831105,12,295.502961068075,473209,3457723,473450,3457552
"339FBA","52",-78.8333333333333,0.834847109936722,12,110.290525431698,473209,3457723,473217,3457613
"339FBA","55",-78.7272727272727,0.904534033733291,11,72.4706837279737,473209,3457723,473265,3457677
"339FBA","58",-83,2.19089023002066,11,121.926207191071,473209,3457723,473330,3457738
"339FBA","65",-80.25,1.13818036595899,12,212.927217612028,473209,3457723,473372,3457860
"339FBA","66",-75,1.53741222957161,12,222.081066279861,473209,3457723,473383,3457861
"339FBA","70",-88.75,3.51942660619079,12,327.200244498686,473209,3457723,473453,3457941
"339FBA","71",-75,0,12,282.209142304072,473209,3457723,473338,3457974
"339FBA","80",-81.7,0.674948557710553,10,280.066063634993,473209,3457723,473448,3457869
"339FBA","86",-84.1818181818182,0.404519917477945,11,257.007781983348,473209,3457723,473306,3457485
"339FBA","88",-90,4.32750190378615,12,217.002304135233,473209,3457723,473300,3457526
"339FBA","94",-89.7,1.05934990547138,10,550.077267299786,473209,3457723,473073,3457190
"339FBA","96",-96.3636363636364,0.674199862463242,11,601.365113720442,473209,3457723,473043,3457145
"339FBA","103",-96.2727272727273,2.64918512342604,11,900.072219324649,473209,3457723,472878,3456886
"339FBA","107",-102.363636363636,0.504524979109513,11,801.763680893566,473209,3457723,472969,3456958
"339FBA","108",-98.6666666666667,0.778498944161523,12,786.142480724709,473209,3457723,472961,3456977
"339FBA","114",-89.75,0.621581560508061,12,571.99475522071,473209,3457723,472956,3457210
"339FBA","118",-100.25,4.80327269384412,8,942.320539943813,473209,3457723,472957,3456815
"339FBA","120",-100.9,4.43345864484553,10,942.188940712,473209,3457723,473015,3456801
"339FBA","121",-100.428571428571,5.68205194324324,7,929.936019304554,473209,3457723,473043,3456808
"375E07","1",-108.666666666667,1.52752523165195,3,1208.71005621696,473339,3457975,472943,3456833
"375E07","2",-104.8,1.48323969741913,5,1217.57956618859,473339,3457975,472939,3456825
"375E07","3",-105.166666666667,1.64224532179869,12,1227.35528678537,473339,3457975,472938,3456815
"375E07","10",-111,2.82842712474619,2,1318.83774589598,473339,3457975,472956,3456713
"375E07","11",-108.8,1.30384048104053,5,1292.84376472952,473339,3457975,472980,3456733
"375E07","19",-102.666666666667,0.65133894727893,12,1055.42645409332,473339,3457975,472865,3457032
"375E07","20",-104,0,2,1030.64251804396,473339,3457975,472899,3457043
"375E07","24",-104.3,1.49443411809733,10,1009.88118112974,473339,3457975,473065,3457003
"375E07","28",-110,0,4,930.739490942552,473339,3457975,473019,3457101
"375E07","29",-108.125,2.3566016694748,8,953.497246980819,473339,3457975,472940,3457109
"375E07","37",-98.1666666666667,3.56328074910885,12,518.538330309342,473339,3457975,473198,3457476
"375E07","44",-98.2222222222222,4.43784231856478,9,419.41149245103,473339,3457975,473480,3457580
"375E07","45",-101.571428571429,3.82348631736111,7,424.694007492453,473339,3457975,473473,3457572
"375E07","46",-96.5,0.904534033733291,12,437.321392113398,473339,3457975,473450,3457552
"375E07","52",-93.25,0.753778361444409,12,382.005235566216,473339,3457975,473217,3457613
"375E07","55",-91,0.852802865422442,12,307.050484448405,473339,3457975,473265,3457677
"375E07","58",-77.1666666666667,0.834847109936722,12,237.170824512628,473339,3457975,473330,3457738
"375E07","65",-84.75,3.67114052131933,12,119.6411300515,473339,3457975,473372,3457860
"375E07","66",-76,3.33030165163895,12,122.196562963121,473339,3457975,473383,3457861
"375E07","70",-82.4545454545455,1.9679246105294,11,118.962178863704,473339,3457975,473453,3457941
"375E07","71",-39,1.20604537831105,12,1.4142135623731,473339,3457975,473338,3457974
"375E07","80",-89.7,2.71006354989038,10,152.042757144167,473339,3457975,473448,3457869
"375E07","86",-91.3636363636364,0.504524979109513,11,491.109967318929,473339,3457975,473306,3457485
"375E07","88",-93.6666666666667,3.17184584439504,12,450.690581219532,473339,3457975,473300,3457526
"375E07","94",-101.454545454545,1.36847625946791,11,828.84316972513,473339,3457975,473073,3457190
"375E07","96",-101.3,0.674948557710553,10,881.201452563487,473339,3457975,473043,3457145
"375E07","103",-104.75,2.49284690951645,8,1182.55739818412,473339,3457975,472878,3456886
"375E07","107",-106.4,2.70185121722126,5,1082.21485851932,473339,3457975,472969,3456958
"375E07","108",-105.636363636364,1.02691063610494,11,1067.18695644203,473339,3457975,472961,3456977
"375E07","114",-100,1.15470053837925,10,855.51972507944,473339,3457975,472956,3457210
"375E07","118",-106.1,1.10050493461461,10,1221.27965675352,473339,3457975,472957,3456815
"375E07","120",-106.909090909091,1.51357493732854,11,1217.88833642498,473339,3457975,473015,3456801
"3763C0","1",-107.2,1.31656117720877,10,1067.19866941446,473211,3457866,472943,3456833
"3763C0","2",-104.4,0.547722557505166,5,1075.948418838,473211,3457866,472939,3456825
"3763C0","3",-103.25,1.35680105059994,12,1085.87752532226,473211,3457866,472938,3456815
"3763C0","10",-107.5,0.577350269189626,4,1180.86154988635,473211,3457866,472956,3456713
"3763C0","11",-106.75,0.5,4,1156.30878228957,473211,3457866,472980,3456733
"3763C0","19",-101.909090909091,0.700649049745371,11,902.924138563146,473211,3457866,472865,3457032
"3763C0","20",-103.333333333333,0.577350269189626,3,880.155099968182,473211,3457866,472899,3457043
"3763C0","24",-103.454545454545,0.522232967867094,11,875.262817672498,473211,3457866,473065,3457003
"3763C0","28",-108,0.894427190999916,6,788.726188230111,473211,3457866,473019,3457101
"3763C0","29",-105.818181818182,1.40129809949074,11,804.046018583514,473211,3457866,472940,3457109
"3763C0","33",-108,NA,1,792.790640711657,473211,3457866,472877,3457147
"3763C0","37",-99.25,5.52884995439213,12,390.216606514895,473211,3457866,473198,3457476
"3763C0","44",-100.333333333333,0.866025403784439,9,392.628322972248,473211,3457866,473480,3457580
"3763C0","45",-101.285714285714,4.02965199962667,7,393.801980695882,473211,3457866,473473,3457572
"3763C0","46",-97.5833333333333,0.668557923421521,12,394.609933985448,473211,3457866,473450,3457552
"3763C0","52",-89.25,0.452267016866645,12,253.071136244337,473211,3457866,473217,3457613
"3763C0","55",-77.25,0.452267016866645,12,196.562967010574,473211,3457866,473265,3457677
"3763C0","58",-83,1.48323969741913,11,174.771279105006,473211,3457866,473330,3457738
"3763C0","65",-92.8333333333333,0.937436866561092,12,161.111762450791,473211,3457866,473372,3457860
"3763C0","66",-90.0833333333333,0.514928650544437,12,172.072659071684,473211,3457866,473383,3457861
"3763C0","70",-89.5833333333333,9.11001779594443,12,253.355481487968,473211,3457866,473453,3457941
"3763C0","71",-83.5,0.522232967867094,12,166.712327078714,473211,3457866,473338,3457974
"3763C0","80",-97.2727272727273,0.646669790682863,11,237.018986581244,473211,3457866,473448,3457869
"3763C0","86",-89.2,0.421637021355784,10,392.665251836727,473211,3457866,473306,3457485
"3763C0","88",-92.9090909090909,3.70012284808344,11,351.455544841734,473211,3457866,473300,3457526
"3763C0","94",-96,1.49071198499986,10,689.942026550057,473211,3457866,473073,3457190
"3763C0","96",-101.181818181818,1.4709304414677,11,740.314122518273,473211,3457866,473043,3457145
"3763C0","103",-104.777777777778,2.48886408717801,9,1035.03091741262,473211,3457866,472878,3456886
"3763C0","107",-105.1,2.55821118057999,10,939.695695424854,473211,3457866,472969,3456958
"3763C0","108",-101.727272727273,0.467099366496914,11,923.483080516368,473211,3457866,472961,3456977
"3763C0","114",-101.5,0.904534033733291,12,703.81886874394,473211,3457866,472956,3457210
"3763C0","118",-101.545454545455,0.820199532264724,11,1081.25713870476,473211,3457866,472957,3456815
"3763C0","120",-105.8,1.03279555898864,10,1082.88549717872,473211,3457866,473015,3456801
"3763C0","121",-110,NA,1,1071.25533837643,473211,3457866,473043,3456808
"3765C3","1",-98.5833333333333,0.90033663737852,12,362.249913733599,472818,3457173,472943,3456833
"3765C3","2",-104.636363636364,1.36181696807811,11,368.43588316015,472818,3457173,472939,3456825
"3765C3","11",-108,0.707106781186548,5,468.875249933284,472818,3457173,472980,3456733
"3765C3","18",-91.9090909090909,0.831209414593634,11,180.646062785769,472818,3457173,472870,3457000
"3765C3","19",-93.25,1.91287503750007,12,148.627050027914,472818,3457173,472865,3457032
"3765C3","20",-92.6363636363636,1.5015143870591,11,153.169840373358,472818,3457173,472899,3457043
"3765C3","24",-93.3636363636364,1.02691063610494,11,299.848294975976,472818,3457173,473065,3457003
"3765C3","28",-85.8333333333333,0.577350269189626,12,213.506440183897,472818,3457173,473019,3457101
"3765C3","29",-79.1,0.994428926011753,10,137.767920794356,472818,3457173,472940,3457109
"3765C3","33",-67.5,1,12,64.4748012792595,472818,3457173,472877,3457147
"3765C3","37",-95.9166666666667,0.792961461098759,12,486.013374301572,472818,3457173,473198,3457476
"3765C3","45",-108.2,1.09544511501033,5,766.958929800025,472818,3457173,473473,3457572
"3765C3","52",-107.25,0.886405260427918,8,593.970537989891,472818,3457173,473217,3457613
"3765C3","58",-107.857142857143,1.21498579258791,7,762.475573379239,472818,3457173,473330,3457738
"3765C3","65",-107.428571428571,0.534522483824849,7,882.544616435906,472818,3457173,473372,3457860
"3765C3","66",-107,1.49071198499986,10,890.263444155717,472818,3457173,473383,3457861
"3765C3","71",-106.333333333333,0.984731927834662,12,954.987434472308,472818,3457173,473338,3457974
"3765C3","80",-106.909090909091,1.04446593573419,11,938.784320278092,472818,3457173,473448,3457869
"3765C3","86",-107.285714285714,2.98408476836063,7,579.213259516735,472818,3457173,473306,3457485
"3765C3","88",-101.833333333333,0.577350269189626,12,597.438699784338,472818,3457173,473300,3457526
"3765C3","94",-99.7272727272727,2.4936282437809,11,255.566038432339,472818,3457173,473073,3457190
"3765C3","96",-95.9090909090909,1.22102788293679,11,226.73552875542,472818,3457173,473043,3457145
"3765C3","103",-100.545454545455,3.07777960106426,11,293.20470664708,472818,3457173,472878,3456886
"3765C3","107",-97.6363636363636,2.20330330516374,11,262.727996224232,472818,3457173,472969,3456958
"3765C3","108",-107.2,1.98885785202351,10,242.621103781184,472818,3457173,472961,3456977
"3765C3","114",-80.6363636363636,0.924416277737175,11,142.874070425672,472818,3457173,472956,3457210
"3765C3","118",-94.6,2.83627298482435,10,384.037758560275,472818,3457173,472957,3456815
