"NodeId","TestId","avgRSS","sdRSS","n.det","distance","NodeUTMx","NodeUTMy","TestUTMx","TestUTMy","e.dist"
"339E4D","20",-103,0,3,704.040481790643,473336,3457595,472899,3457043,697.129632508978
"339E4D","24",-101.083333333333,0.668557923421521,12,651.079872212312,473336,3457595,473065,3457003,520.423481585935
"339E4D","27",-95.4545454545455,0.522232967867094,11,614.176684676323,473336,3457595,473014,3457072,327.22582757512
"339E4D","53",-77.3333333333333,0.492365963917331,12,148.00337833982,473336,3457595,473199,3457651,116.12776999567
"339E4D","65",-103,2.67261241912424,8,267.434104033124,473336,3457595,473372,3457860,697.129632508978
"339E4D","67",-101.636363636364,1.96329963442809,11,292.98464123568,473336,3457595,473408,3457879,556.810013632787
"339E4D","71",-97.9090909090909,0.943879807448539,11,379.005277008118,473336,3457595,473338,3457974,389.046181767914
"339E4D","74",-91.3,1.25166555703457,10,335.657563597188,473336,3457595,473315,3457930,254.183017214817
"339E4D","91",-43.9090909090909,0.831209414593634,11,5,473336,3457595,473339,3457599,10
"339FBA","9",-102,0.816496580927726,4,1055.54725142932,473209,3457723,472945,3456701,585.240107442641
"339FBA","11",-100.25,1.42222616792382,12,1016.14024622588,473209,3457723,472980,3456733,476.182907633283
"339FBA","20",-102.2,5.89067059000926,5,747.328575661335,473209,3457723,472899,3457043,602.9210192178
"339FBA","24",-99.25,1.21543108701099,12,734.258809957361,473209,3457723,473065,3457003,433.964128919758
"339FBA","27",-89.8,0.421637021355784,10,679.577810114486,473209,3457723,473014,3457072,233.496769704717
"339FBA","53",-76.6666666666667,3.96194014303216,12,72.691127381545,473209,3457723,473199,3457651,111.512589745965
"339FBA","65",-80.25,1.13818036595899,12,212.927217612028,473209,3457723,473372,3457860,137.763707430561
"339FBA","67",-87.25,3.13702232872339,12,252.857667473225,473209,3457723,473408,3457879,202.826576803859
"339FBA","71",-75,0,12,282.209142304072,473209,3457723,473338,3457974,100.445979022263
"339FBA","74",-86.0833333333333,2.74551976643381,12,232.561819738322,473209,3457723,473315,3457930,190.301816151133
"339FBA","91",-92.0909090909091,1.13618180363404,11,179.655225362359,473209,3457723,473339,3457599,266.078751939586
"375E07","20",-104,0,2,1030.64251804396,473339,3457975,472899,3457043,1010.5256238357
"375E07","27",-97.6666666666667,0.492365963917331,12,959.705163057905,473339,3457975,473014,3457072,381.955413354855
"375E07","53",-90.9,1.52388392675499,10,352.953254695292,473339,3457975,473199,3457651,248.440999738075
"375E07","65",-84.75,3.67114052131933,12,119.6411300515,473339,3457975,473372,3457860,176.937971528796
"375E07","67",-70.6666666666667,0.887625364598595,12,118.224362971428,473339,3457975,473408,3457879,74.3878174715139
"375E07","71",-39,1.20604537831105,12,1.4142135623731,473339,3457975,473338,3457974,10
"375E07","74",-63.0833333333333,1.16450015288132,12,51,473339,3457975,473315,3457930,35.9876704477195
"375E07","91",-91.4166666666667,1.83195540504146,12,376,473339,3457975,473339,3457599,255.891253447486
"3763C0","20",-103.333333333333,0.577350269189626,3,880.155099968182,473211,3457866,472899,3457043,756.48723125755
"3763C0","24",-103.454545454545,0.522232967867094,11,875.262817672498,473211,3457866,473065,3457003,783.733686701115
"3763C0","27",-97.3333333333333,0.492365963917331,12,818.073957536848,473211,3457866,473014,3457072,372.621599215108
