"TestId","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper","TestUTMx","TestUTMy","diff.dist","filter"
"20",18,473002.133241611,3456985.84088175,472919.496405905,473084.770077317,3456927.75151352,3457043.93024999,472899,3457043,117.913656223524,"No Filter"
"24",22,473080.977756485,3457055.54098546,472952.150330665,473209.805182305,3456972.65824139,3457138.42372954,473065,3457003,54.9166992415429,"No Filter"
"27",23,473141.139834271,3457204.03477851,472927.565094525,473354.714574018,3457058.74114655,3457349.32841046,473014,3457072,183.296809010759,"No Filter"
"53",18,473117.032651028,3457712.04205651,472992.386117815,473241.679184241,3457593.97890962,3457830.1052034,473199,3457651,102.199701371328,"No Filter"
"65",12,473382.076600884,3458000.90840836,473104.636813194,473659.516388573,3457828.06751756,3458173.74929916,473372,3457860,141.268246367727,"No Filter"
"67",12,473386.330208927,3457981.82682589,473238.351321381,473534.309096472,3457883.28961373,3458080.36403805,473408,3457879,105.085374660928,"No Filter"
"71",13,473269.023616961,3457880.06562218,473067.577783382,473470.46945054,3457728.67250801,3458031.45873635,473338,3457974,116.539301328412,"No Filter"
"74",15,473371.291056892,3457771.07564972,473211.905388606,473530.676725178,3457668.92312891,3457873.22817054,473315,3457930,168.599027865023,"No Filter"
"91",21,473258.004082459,3457473.45566082,473043.634031198,473472.374133719,3457309.82117526,3457637.09014637,473339,3457599,149.404550663821,"No Filter"
"9",14,472882.727155042,3456701.0783986,472678.406413661,473087.047896422,3456575.32435093,3456826.83244628,472945,3456701,62.2728943084819,"No Filter"
"11",16,473215.824406303,3456937.31173383,473118.217924957,473313.430887649,3456817.8784187,3457056.74504896,472980,3456733,312.019927548317,"No Filter"
"28",12,472904.795855112,3457001.5391753,472743.654098583,473065.937611642,3456885.68362566,3457117.39472494,473019,3457101,151.443198457386,"No Filter"
"106",13,472975.424775871,3456957.65828326,472889.574130699,473061.275421043,3456886.20101634,3457029.11555019,472960,3456957,15.4388162601547,"No Filter"
